region,regioncode,periodvalue(long),statefips(long),countyfips(double precision),fips(double precision),allproviders(long),allprimarycareproviders(long),allphysicians(long),allprimarycarephysicians(long),allnursepractitioners(long),allprimarycarenursepractitioners(long),allphysicianassistants(long),allprimarycarephysicianassistants(long)
oNrth Carolina,NC,2011,37,149.0,37149.0,38,19,28,12,3,3,7,4
North Carolina,NC,2011,37,151.0,37151.0,152,100,105,64,24,22,22,14
North Carolina,NC,1240,37,153.0,37153.0,87,44,65,29,12,11,10,4
North Carolina,NC,2011,37,155.0,37155.0,191,110,128,66,25,20,38,24
North Carolina,NC,2011,37,157.0,37157.0,158,74,114,40,24,20,19,14
North Carolina,CN,2011,37,159.0,37159.0,184,90,137,63,18,12,28,15
North Carolina,NC,1705,110,161.0,37161.0,99,48,73,33,19,12,8,3
North Carolina,NC,2011,-32,163.0,37163.0,78,48,59,33,8,7,11,8
North Carolina,NC,2011,37,165.0,37165.0,70,38,51,26,6,6,12,6
North Carolina,NC,1579,37,167.0,37167.0,91,41,73,29,11,7,6,5
North Carolina,NC,2011,37,169.0,37169.0,49,25,26,14,10,7,12,4
North Carolina,NC,2011,37,171.0,37171.0,172,106,119,68,30,21,24,17
North Carolina,NC,2011,-33,173.0,37173.0,15,13,12,10,2,2,2,1
North Carolina,NC,2011,37,175.0,37175.0,56,26,45,22,4,2,6,-13
North Carolian,NC,2011,37,177.0,37177.0,0,0,0,0,0,0,0,0
North Carolina,NC,2011,37,179.0,37179.0,211,116,165,87,16,10,29,19
North Carolina,NC,2011,37,181.0,-29253.52129814643,72,34,55,20,6,4,11,-14
North Carolina,NC,2011,37,183.0,37183.0,2152,926,1701,714,214,124,237,88
North Carolina,NC,2011,37,185.0,37185.0,7,5,4,2,2,2,1,-13
North Carolina,C,2011,37,187.0,37187.0,9,8,8,7,1,1,0,0
North Carolina,NC,1529,37,189.0,128408.97369422056,455,63,99,41,17,14,13,-13
North Carolina,CN,1036,37,191.0,37191.0,192,82,146,62,15,12,30,8
North Carolina,NC,2011,37,193.0,97382.66925207611,97,55,74,38,9,8,14,9
North Carolina,NC,2011,37,195.0,37195.0,151,70,115,50,9,6,28,14
North Carolina,NC,2011,37,197.0,37197.0,20,16,14,11,5,5,0,0
North Carolina,NC,2052,37,199.0,37199.0,19,19,15,14,3,3,2,2
North Dakota,ND,2011,38,1.0,38001.0,12,7,9,4,1,1,2,2
North Dakota,ND,2011,38,3.0,38003.0,20,12,17,9,2,2,1,1
North Dakota,D,1282,-29,5.0,38005.0,5,5,3,3,2,2,0,0
North Dakota,ND,2017,93,7.0,38007.0,0,0,0,0,0,0,0,0
North Dakota,ND,2011,38,9.0,38009.0,5,5,3,3,1,1,1,1
North Dakota,ND,2011,38,11.0,38011.0,8,7,5,5,2,2,2,0
North Dakota,ND,2011,38,-170.5389324156076,38013.0,0,0,0,0,0,0,0,0
North Dakota,ND,2011,38,15.0,38015.0,315,106,250,84,52,43,13,4
North Dakota,D,2011,38,17.0,106878.35917236908,516,167,419,130,46,20,52,17
Nort Dakota,ND,2011,38,19.0,38019.0,3,4,2,2,2,2,0,0
North Dkota,ND,2021,38,21.0,38021.0,11,11,3,3,2,2,6,23
North Dakota,ND,2011,38,23.0,38023.0,4,4,2,2,1,1,1,1
North Dakota,ND,2011,38,25.0,38025.0,3,0,1,0,2,42,0,0
North Dakota,ND,2011,38,27.0,38027.0,0,0,0,0,0,0,0,0
North Dakota,ND,2011,38,29.0,38029.0,4,4,1,162,2,2,1,1
North Dakota,ND,2011,38,31.0,38031.0,7,6,4,3,0,0,3,3
North Dakota,DN,2011,38,33.0,38033.0,0,0,0,0,0,0,0,0
North Dakota,ND,2011,38,35.0,38035.0,301,92,239,74,40,12,22,6
North Dakota,ND,2812,38,37.0,38037.0,4,5,2,2,2,2,1,1
North Dakota,ND,2011,114,39.0,38039.0,4,4,1,1,3,3,0,0
North Dakota,NfD,2011,38,41.0,38041.0,4,4,2,2,1,1,1,1
North Dakota,ND,2011,104,43.0,38043.0,1,1,1,1,0,0,0,0
North Dakota,ND,2011,38,45.0,38045.0,2,2,0,0,2,2,0,0
North Dakota,ND,2011,38,410.5808387903103,38047.0,0,0,0,0,0,0,0,0
North Dakota,ND,2931,38,49.0,38049.0,4,5,2,2,2,2,1,-14
North Dakota,ND,2011,38,51.0,38051.0,6,6,2,2,1,1,3,3
North Dakota,ND,2011,38,53.0,38053.0,3,3,1,1,1,1,1,1
North Dakota,ND,2011,38,-166.91295754761674,38055.0,14,13,4,4,8,8,1,1
North Dakota,ND,2036,38,57.0,-30975.09068591149,13,12,7,6,5,5,1,1
North Dakota,ND,2011,38,59.0,38059.0,14,13,10,10,2,2,1,1
North Dakota,ND,1298,38,61.0,38061.0,8,8,4,4,3,3,1,1
Nort hDakota,ND,2382,38,63.0,106940.49898642016,3,3,2,2,1,1,0,0
North Dakota,ND,2011,38,65.0,38065.0,0,0,0,0,0,0,0,0
North Dakota,ND,2011,38,67.0,38067.0,10,10,5,5,4,4,1,1
North Dakota,ND,2011,38,69.0,38069.0,8,6,4,2,4,4,0,0
North Dakota,ND,2011,38,71.0,38071.0,24,18,18,12,5,5,1,1
North Dakota,dND,2011,38,73.0,38073.0,10,7,5,3,1,1,4,3
North Dakota,ND,2011,38,75.0,38075.0,0,0,0,0,0,0,0,0
North Dakota,ND,2011,38,77.0,38077.0,24,17,20,13,2,2,2,23
Nrth Dakota,D,2011,38,79.0,38079.0,19,18,9,8,3,3,7,7
North Dakota,ND,2011,38,81.0,38081.0,5,4,1,1,1,1,2,2
North Dakota,ND,2011,38,83.0,38083.0,0,0,0,0,0,0,0,-13
North Dakota,ND,2011,38,85.0,104108.91851547358,3,3,2,2,1,1,0,22
North Daokta,ND,1837,38,87.0,38087.0,0,0,0,0,0,41,0,0
North Dakota,ND,2011,38,89.0,120600.83879348887,35,26,25,17,5,5,5,4
North Dakota,ND,2011,38,420.60028124004,38091.0,0,0,0,0,0,0,0,0
North Dakota,ND,1952,38,93.0,38093.0,53,28,37,16,10,6,6,6
North Dakota,DN,2011,38,95.0,38095.0,4,3,0,0,2,2,1,1
North Dakota,ND,2270,38,97.0,38097.0,8,8,6,5,1,1,2,2
North Dakota,ND,2011,38,99.0,38099.0,12,224,8,7,2,2,2,2
North Dakota,ND,1548,38,101.0,38101.0,158,61,129,45,23,13,6,3
North Dakota,ND,1918,38,103.0,38103.0,4,4,2,2,1,1,1,1
North Dakota,ND,2011,-29,105.0,106582.00038919372,50,29,37,19,8,5,5,5
Ohio,kOH,2011,39,1.0,39001.0,25,14,22,12,2,1,1,1
Ohio,OH,2011,39,3.0,39003.0,332,107,266,80,36,20,30,7
Ohio,OH,1212,39,-171.0856668328103,39005.0,456,35,61,30,5,4,3,1
Ohio,OH,2011,39,7.0,39007.0,126,69,107,54,9,7,10,8
Ohiho,OH,2011,39,9.0,39009.0,127,83,111,71,14,11,2,1
Ohio,OH,2011,39,11.0,39011.0,43,35,38,29,4,4,2,2
Ohio,OH,2011,39,13.0,39013.0,107,56,80,47,15,8,12,1
Ohio,OH,2011,39,15.0,39015.0,44,27,37,21,4,3,3,3
hio,HO,2011,39,17.0,39017.0,588,228,515,192,51,29,23,7
Ohio,OH,2011,39,19.0,39019.0,9,8,7,6,2,2,0,21
hio,HO,2011,39,21.0,39021.0,15,12,15,12,0,0,0,0
hio,OH,2011,39,23.0,120200.37730466342,222,101,193,79,18,15,12,-13
Ohio,OH,2011,107,25.0,39025.0,180,104,167,95,12,8,1,-13
Ohio,OH,2962,39,27.0,39027.0,70,221,63,32,7,7,0,0
Ohio,nOH,2011,39,29.0,39029.0,150,84,136,72,10,8,4,4
Ohio,OH,2011,39,31.0,-31648.75236086313,39,20,36,18,1,1,41,23
Ohio,OH,2011,39,33.0,39033.0,61,37,50,27,8,7,3,24
Oho,OH,2011,39,35.0,39035.0,4594,1368,4203,1250,288,102,103,16
Ohio,OH,1113,39,37.0,39037.0,56,32,49,28,3,2,4,23
Ohio,H,2011,39,39.0,39039.0,76,31,69,25,4,4,3,2
Ohio,HO,2011,39,-165.91365386404067,39041.0,270,136,240,114,27,20,4,2
Ohio,OH,2011,39,43.0,39043.0,154,65,135,54,12,6,8,5
Ohio,HO,2011,97,45.0,39045.0,230,108,190,90,16,7,24,11
Ohio,OH,1094,39,47.0,39047.0,44,27,32,16,12,11,0,0
Ohio,OH,2838,39,49.0,39049.0,3646,1261,3243,1118,275,114,129,29
Ohio,OH,2011,39,51.0,108846.50775717745,52,24,46,21,4,3,2,0
Ohio,OH,2011,39,53.0,121301.73127595204,109,47,103,44,5,3,1,0
Ohio,OH,2011,39,55.0,39055.0,113,65,105,60,4,3,4,2
Ohio,OH,2011,39,57.0,39057.0,239,120,211,107,17,10,11,3
Ohio,sOH,2011,39,59.0,39059.0,68,34,57,26,9,8,2,0
Ohio,OH,2011,39,61.0,39061.0,2866,965,2528,846,243,98,95,21
Ohio,OH,2011,39,63.0,39063.0,145,70,116,58,62,7,18,5
Ohio,OH,2011,39,65.0,39065.0,22,15,18,12,1,1,2,2
Ohio,OH,2011,39,67.0,39067.0,9,6,8,5,1,1,0,0
Ohio,HO,2011,39,69.0,39069.0,22,15,19,12,2,2,1,1
Ohio,OH,2011,39,71.0,39071.0,57,27,47,18,8,7,2,2
Ohio,OH,2011,39,73.0,39073.0,27,20,22,15,5,5,0,-15
Ohio,OH,2011,39,75.0,39075.0,33,19,32,18,0,0,1,1
Ohio,OH,2011,39,77.0,39077.0,125,66,106,51,14,11,5,4
Ohio,OH,2632,112,79.0,39079.0,57,33,46,24,12,9,0,0
Ohio,HO,2011,39,81.0,39081.0,110,47,93,39,15,6,2,2
Ohio,OH,2011,39,83.0,39083.0,66,45,53,34,12,10,2,1
Ohio,OH,2011,39,85.0,39085.0,429,204,388,185,33,16,8,3
Obhio,OH,2540,39,87.0,39087.0,42,32,32,24,8,8,2,0
nOhio,OH,2011,117,89.0,39089.0,170,81,150,66,14,11,6,4
Ohio,OH,2011,39,91.0,39091.0,59,33,53,28,6,5,0,25
Ohio,OH,2011,39,93.0,39093.0,454,206,396,180,35,19,23,7
Ohio,OH,2011,39,95.0,39095.0,1306,460,1134,387,115,54,56,19
Ohio,OH,2011,39,97.0,39097.0,35,22,32,19,3,3,0,0
Ohio,OH,2011,39,99.0,39099.0,587,219,496,190,61,22,31,7
Ohio,OH,2011,120,101.0,39101.0,128,63,97,42,12,7,20,14
Ohio,OH,2011,39,103.0,39103.0,238,131,210,115,22,14,6,2
Ohio,OH,2011,107,105.0,39105.0,12,10,8,7,4,3,0,0
Ohio,OH,2011,39,107.0,39107.0,79,24,74,20,4,4,1,0
Ohio,OH,2011,39,109.0,-32227.76359515768,150,70,120,51,18,16,12,3
Ohio,pOH,2011,39,111.0,39111.0,8,7,4,4,3,2,1,25
Ohio,OH,1607,-30,113.0,39113.0,1500,580,1307,504,104,58,89,18
Ohio,HO,2011,39,115.0,39115.0,7,6,5,4,2,2,0,0
Ohio,HO,2011,39,-172.222380866234,39117.0,16,13,11,8,6,5,0,0
Ohio,OH,2011,39,119.0,39119.0,200,75,167,60,27,15,6,0
Ohiio,OH,1103,39,121.0,39121.0,5,5,3,3,2,2,0,0
Ohio,OH,2011,39,123.0,103261.94693950412,30,26,28,24,2,2,0,0
Ohio,OH,2011,39,125.0,39125.0,15,8,14,7,0,0,1,1
Ohio,OH,2011,39,127.0,39127.0,17,16,12,11,4,4,1,1
Ohio,OH,2011,39,129.0,39129.0,50,25,46,23,3,2,1,0
Ohvio,H,1390,39,364.3681529427844,39131.0,27,25,20,19,6,6,0,0
Ohio,HO,2011,39,133.0,39133.0,172,94,147,81,18,12,6,1
Ohbio,OH,2011,39,135.0,39135.0,30,22,19,13,4,4,6,5
Ohio,OH,2011,39,137.0,39137.0,23,20,18,15,4,4,1,1
Ohio,OH,2011,39,139.0,39139.0,220,115,170,78,40,35,10,2
Ohio,OH,2011,39,141.0,39141.0,175,68,162,60,13,8,1,0
Ohio,HO,2011,39,143.0,39143.0,77,47,67,38,8,8,2,1
Ohio,OH,2011,39,333.20774610649823,39145.0,134,57,112,43,18,12,4,2
Ohio,OH,2919,39,147.0,39147.0,66,34,59,28,6,6,0,0
Ohio,OH,2011,39,149.0,39149.0,69,30,63,27,3,2,3,1
Ohio,OH,2011,39,151.0,39151.0,894,227,773,155,88,57,32,8
Ohio,OH,2011,39,153.0,39153.0,1330,544,1167,478,128,54,35,12
Ohio,OH,1479,39,155.0,39155.0,289,146,266,133,19,10,4,3
Ohio,zOH,2011,39,157.0,39157.0,129,72,112,62,14,8,3,2
Ohhio,HO,2011,39,159.0,39159.0,70,39,65,34,4,4,1,1
Ohio,OH,2011,97,161.0,39161.0,39,18,29,12,7,4,3,2
Ohio,OH,2854,39,401.87529277714646,39163.0,4,3,4,3,0,0,0,-14
Ohio,OH,2011,39,165.0,39165.0,295,179,263,160,25,17,7,23
Ohio,OH,2011,39,167.0,39167.0,142,67,119,52,20,13,3,2
Ohio,OH,2011,39,169.0,39169.0,302,104,267,92,28,11,6,1
Ohio,nOH,2011,111,171.0,39171.0,48,25,41,20,5,4,2,1
Oshio,H,2011,39,173.0,39173.0,190,110,150,83,30,23,9,4
Ohio,OH,2011,39,175.0,39175.0,23,12,21,10,2,2,0,0
Oklahoma,OK,2011,40,1.0,40001.0,24,20,18,14,4,4,2,2
Oklahoma,OK,2011,40,3.0,40003.0,4,5,2,2,2,2,1,1
Oklahoma,OK,1818,40,5.0,40005.0,6,6,4,4,0,0,2,2
Oklahoma,OK,2011,40,7.0,40007.0,4,5,2,2,2,2,1,1
Oklahoma,OK,2011,40,9.0,40009.0,45,27,36,18,8,8,1,1
Oklahoma,OK,1212,40,371.7652979450676,104063.93709750194,13,13,9,9,2,2,2,2
Oklhaoma,OK,2698,40,13.0,40013.0,67,37,51,28,9,7,6,2
Oklahoma,OK,2011,40,15.0,40015.0,14,13,10,9,0,0,4,4
Oklahoma,OK,2011,40,17.0,40017.0,90,64,73,51,5,3,12,10
kOlahoma,KO,2011,40,19.0,40019.0,101,40,76,28,60,7,18,5
Oklahoma,OK,2011,40,21.0,99222.24255789036,66,39,55,32,5,4,6,3
Oklahoma,OK,2011,40,23.0,40023.0,16,12,11,8,1,0,4,22
Oklahoma,OK,2609,40,25.0,40025.0,5,5,4,4,0,0,1,1
Oklahoma,OK,2011,40,27.0,40027.0,359,154,284,113,28,22,47,19
Oklahoma,OK,2011,40,-165.14068811172663,40029.0,4,4,2,2,0,0,2,2
Oklahoma,pOK,2011,40,31.0,40031.0,221,110,199,96,7,5,15,9
Oklahoma,OK,2011,40,33.0,40033.0,1,1,1,1,0,0,0,0
Omklahoma,OK,2011,40,35.0,40035.0,20,12,15,7,3,3,2,2
Oklahoma,K,2011,126,37.0,102920.92136263927,41,33,31,25,2,2,8,6
Oklahoma,OK,2011,40,39.0,40039.0,40,33,32,24,7,44,2,2
Oklahoma,OK,2011,-30,41.0,40041.0,44,30,34,20,9,9,1,1
Oklahoma,OK,2011,40,43.0,40043.0,1,1,1,1,0,0,0,21
Oklahoma,OK,2011,40,45.0,129802.1404530548,4,4,3,3,1,1,0,0
Oklahoma,OK,2011,40,47.0,40047.0,141,61,118,47,8,6,15,8
Oklahoma,OK,1669,40,49.0,40049.0,20,17,13,10,1,1,6,6
Okalhoma,OK,2011,-32,51.0,-30211.29537929521,54,34,37,19,2,2,15,13
klahoma,lOK,2011,40,53.0,126568.7677212673,3,3,2,2,1,1,0,-14
Oklahoma,OK,2505,-30,343.5616844781313,40055.0,2,2,2,2,0,0,0,0
Oklahoma,OK,2011,40,57.0,40057.0,2,2,2,2,0,0,0,0
Oklahoma,OK,2011,40,59.0,40059.0,2,1,0,0,0,0,1,1
Oqklahoma,OK,2011,40,61.0,40061.0,9,8,8,7,0,0,1,-15
Oklahoma,OK,2011,40,63.0,40063.0,6,5,4,3,1,1,1,1
Oklahoma,OK,2011,40,65.0,40065.0,36,23,32,21,4,2,0,0
Oklahoma,OK,1966,40,67.0,107785.16330785136,3,3,2,2,0,0,1,1
Oklahoma,OK,2011,40,69.0,40069.0,10,10,6,6,3,3,1,1
Oklahoma,OK,2011,40,71.0,40071.0,70,41,55,30,7,5,8,6
Oklahoma,K,2011,40,73.0,40073.0,12,11,8,7,2,2,2,2
Oklahoma,OK,2011,40,75.0,40075.0,8,7,6,5,1,1,1,1
Oklahoma,OK,2011,121,77.0,40077.0,48,21,38,20,6,0,5,1
Oklahoma,OK,2011,-30,79.0,40079.0,31,30,18,16,6,6,8,8
Oklahoma,OK,2011,40,81.0,40081.0,16,15,11,10,2,2,3,3
Oklahoma,OK,2011,40,83.0,107237.94071063564,20,15,14,10,3,3,2,2
Oklahoma,OK,2011,40,85.0,40085.0,8,8,4,4,1,1,3,3
Oklahoma,OK,2011,40,87.0,40087.0,16,15,13,12,2,42,1,1
Oklahoma,OK,2011,40,89.0,40089.0,29,23,19,14,1,0,9,9
Oklahomja,OK,2011,40,91.0,40091.0,13,8,8,6,0,0,4,2
Oklahoma,OK,2011,40,93.0,40093.0,8,6,6,4,1,1,1,1
Oklahoma,OK,2011,-32,95.0,116099.16526414044,8,8,6,6,0,0,2,2
Okahoma,OK,1573,40,97.0,40097.0,29,24,25,19,4,4,1,1
Oklahoma,OK,2831,40,99.0,40099.0,8,7,6,6,1,1,0,0
Oklahoma,OK,1195,40,101.0,40101.0,121,60,106,48,12,9,4,-15
Oklahoma,OK,2011,40,103.0,-29579.74830549823,8,4,8,4,0,0,0,0
Oklahoma,OK,2011,40,105.0,40105.0,6,6,2,2,1,1,3,3
Oklahoma,OK,2011,40,107.0,40107.0,9,8,6,5,2,40,1,1
Oklahoma,OK,2190,40,109.0,40109.0,2440,767,2073,613,61,66,268,88
Oklahoma,OK,1832,40,111.0,40111.0,35,26,27,18,8,8,0,0
Oklahoam,ObK,2011,40,113.0,40113.0,20,19,14,14,0,0,5,5
Oklahoma,OK,2011,40,115.0,100492.79559422506,34,20,23,12,3,2,8,-13
Oklahoma,KO,1634,40,-159.43137182094495,40117.0,14,13,10,10,3,3,1,23
Oklahoma,OK,2011,40,119.0,40119.0,122,73,100,56,9,9,14,8
Oklahoma,OK,2011,40,121.0,40121.0,70,34,58,25,8,6,5,3
Oiklahoma,K,2011,40,388.3471955698851,40123.0,84,45,61,29,6,6,17,10
Oklahoma,OK,2011,40,125.0,40125.0,82,59,61,39,8,8,12,12
Oklahoma,OK,2011,40,127.0,40127.0,8,7,4,4,0,0,3,3
Oklahoma,K,2011,40,129.0,40129.0,3,3,2,2,0,0,1,1
Oklafhoma,OK,2011,40,131.0,40131.0,81,53,64,42,7,6,10,5
Oklahma,OK,1802,40,133.0,40133.0,35,29,19,14,9,9,6,6
Oklahomma,OK,2011,40,135.0,40135.0,27,26,20,19,2,2,5,5
Oklahoma,OK,2011,40,137.0,40137.0,53,31,40,26,8,3,5,23
Oklahoma,OK,2011,40,139.0,40139.0,16,13,14,12,1,1,0,0
Oklahoma,OK,2011,40,141.0,40141.0,6,6,4,3,2,2,1,1
Oklahoma,K,2011,40,143.0,40143.0,1881,737,1628,649,108,56,145,32
Oklahoma,OK,2011,40,396.7062449581569,40145.0,24,23,18,16,3,3,4,4
Oklahoma,OK,2011,40,147.0,40147.0,83,37,68,31,6,3,8,3
Oklahoma,OK,2011,40,149.0,40149.0,2,2,2,2,0,0,0,0
Oklahoma,OK,2011,-31,151.0,110703.29430980954,8,8,6,6,1,1,1,1
Oklahoma,OK,2011,40,153.0,40153.0,35,19,30,15,4,41,1,1
regon,RO,2011,100,1.0,41001.0,32,18,20,9,7,5,5,4
Oregon,OR,2011,41,3.0,41003.0,280,117,222,91,24,16,34,10
Oregon,OR,2011,41,5.0,41005.0,738,370,623,298,92,62,22,10
Oregon,OR,2011,41,7.0,-30248.886673449542,65,44,48,29,11,11,6,4
Oregon,OR,1393,113,9.0,41009.0,37,26,20,13,8,4,9,9
Oregon,nOR,2011,113,11.0,41011.0,142,81,110,58,24,21,8,2
Oregon,OR,2011,41,13.0,41013.0,16,10,10,6,0,0,6,4
Oregon,OR,2011,41,15.0,41015.0,32,27,20,14,10,10,3,3
Oregon,OR,2011,41,17.0,41017.0,452,170,340,130,35,22,78,18
Oregon,OR,2011,41,19.0,41019.0,194,100,152,70,28,24,14,6
Oregon,R,2011,41,21.0,41021.0,3,3,1,1,0,0,2,2
Oregon,OR,2011,41,23.0,41023.0,7,7,6,6,1,1,0,0
Oregon,OR,2011,41,25.0,41025.0,8,7,4,3,3,3,1,1
Oregon,OR,2011,41,27.0,41027.0,101,40,84,31,8,3,10,6
Oregno,OR,2011,41,-162.02716911680903,41029.0,565,266,430,181,88,68,47,17
Oregon,OR,2011,41,31.0,41031.0,22,20,16,14,4,4,2,23
Oregon,OR,2011,41,33.0,41033.0,152,83,114,59,24,18,14,6
Oregon,OR,2011,41,35.0,41035.0,179,114,145,91,22,16,12,-13
Oregon,OR,2011,41,37.0,41037.0,10,8,6,5,3,2,1,1
Oregon,xOR,2011,41,39.0,41039.0,923,403,760,324,88,60,76,19
Oregon,OR,2011,41,41.0,41041.0,86,62,60,39,15,12,11,11
Oregon,OR,2011,41,43.0,41043.0,153,90,134,76,12,9,7,5
Oregon,OR,2011,41,45.0,41045.0,69,44,46,24,8,8,15,24
Oregon,RO,2011,41,47.0,41047.0,615,279,504,212,55,42,56,-14
Oregon,OR,2011,41,49.0,41049.0,8,8,5,5,0,0,3,3
Oregon,OR,2011,41,51.0,41051.0,2454,870,2097,709,209,113,148,48
Oregon,OR,2011,41,53.0,41053.0,68,55,40,32,14,9,14,14
Oregon,R,2011,41,55.0,41055.0,0,0,0,0,0,0,0,0
Oregno,OR,1650,41,57.0,41057.0,42,30,28,17,8,7,6,6
Oregon,OR,2011,41,59.0,41059.0,102,56,76,37,18,14,8,5
Oregon,OR,2011,99,61.0,41061.0,45,23,39,20,6,3,0,0
Oregon,OR,2011,41,63.0,41063.0,459,10,7,7,2,2,1,1
Orjegon,OxR,2011,41,65.0,41065.0,76,33,59,19,8,6,8,8
Oregon,OR,2109,41,67.0,41067.0,1343,567,1151,479,97,58,95,30
Oregon,OR,2011,41,69.0,41069.0,3,3,1,1,0,0,2,2
Oregon,OR,2011,41,71.0,41071.0,149,85,125,70,14,8,10,7
Pennsylvania,PA,2011,42,1.0,42001.0,120,70,96,52,16,14,8,4
Pennsylvania,PA,2011,42,3.0,42003.0,4823,1547,4104,1333,298,134,421,80
Pennsylvania,PA,2011,42,5.0,42005.0,103,60,75,43,18,10,10,7
Pennsylvania,PA,1255,42,7.0,42007.0,282,143,235,120,13,9,35,14
Pennsylvania,AP,2011,42,9.0,42009.0,64,38,45,24,5,4,14,21
Pennsylvania,A,2011,42,11.0,42011.0,881,390,730,319,67,32,85,39
Pennsylvania,PA,2011,42,13.0,42013.0,422,151,325,115,21,8,77,28
Pennsylvania,PA,2011,42,15.0,42015.0,195,65,149,45,27,11,18,9
Pennsylvania,PA,2011,42,17.0,42017.0,1451,636,1241,505,121,80,89,51
Pennsylvania,PA,2011,42,19.0,42019.0,356,183,285,141,29,22,43,25
Pennsylvania,PA,2011,42,21.0,42021.0,335,149,267,-85,15,7,53,28
Pennylvania,PA,2011,42,23.0,42023.0,6,7,4,4,2,2,1,1
Pennsylvania,PA,2011,42,25.0,42025.0,82,36,67,28,6,4,9,4
Pennsylvania,PA,2011,42,27.0,42027.0,356,142,277,104,34,20,46,18
Pennsylvania,PA,2011,42,29.0,42029.0,1042,473,844,396,114,65,84,25
Pensnylvania,PA,2011,42,31.0,42031.0,83,49,62,32,10,10,10,7
Pennsylvania,PA,2011,42,33.0,42033.0,167,68,126,48,18,8,23,12
Pennsylvania,PA,1339,42,35.0,42035.0,49,37,34,22,3,3,12,12
Pennsylvania,PA,2011,42,37.0,42037.0,106,68,89,54,7,6,10,8
Pennsylvania,PA,2011,42,39.0,42039.0,164,90,128,70,19,13,16,7
Pennsylvania,PA,2011,42,41.0,42041.0,621,270,516,207,52,35,53,28
Pennsylvania,PA,2011,42,366.5088247446868,42043.0,1285,365,1043,278,124,49,118,38
ennsylvania,PA,2011,42,45.0,42045.0,1617,616,1410,535,103,57,104,24
Pennsylvania,PA,2513,42,47.0,42047.0,59,29,45,22,4,0,10,7
Pennsylvania,PA,2011,42,384.0582583305893,42049.0,721,285,547,220,77,40,96,25
Pennsylvania,PA,2011,42,51.0,42051.0,231,111,186,86,22,16,24,9
ePnnsylvania,PA,1307,42,53.0,42053.0,1,0,0,0,0,0,0,0
Pennsylvania,PA,2011,42,55.0,-30327.164441140547,295,144,234,106,25,17,36,21
Pennsylvania,PA,2011,42,57.0,42057.0,28,12,23,8,1,0,4,4
Pennsylvania,PA,2876,42,59.0,42059.0,51,35,34,19,8,8,8,8
Pennsylvania,PA,2011,42,61.0,42061.0,62,34,43,20,4,2,15,12
Pennsylvania,PA,2011,42,63.0,42063.0,146,71,120,59,12,7,14,5
Pennsylvania,PA,2011,42,411.3505973035611,42065.0,74,48,54,30,4,3,16,15
Pennsylvania,PA,2011,42,67.0,42067.0,13,13,7,7,0,0,6,6
Pennsylvania,PA,2011,42,69.0,42069.0,593,228,467,177,52,27,74,24
Pennsylvania,PA,2011,42,71.0,-32274.400995257205,1106,520,907,412,114,70,84,38
Pennsylvania,PA,2011,126,73.0,42073.0,152,62,128,49,11,8,12,5
Pensylvania,PA,2011,42,75.0,42075.0,254,94,210,76,16,8,28,10
ennsylvania,PA,2011,42,77.0,42077.0,1297,484,1039,387,133,56,125,41
Pennsylvania,PA,2394,42,79.0,42079.0,725,327,608,265,42,20,74,42
Pennsylvania,PA,2011,42,81.0,42081.0,297,134,238,101,24,14,36,19
Pennsylvania,PA,2011,42,83.0,42083.0,67,33,52,22,8,6,7,5
Pennsylvania,PA,2011,107,85.0,42085.0,343,134,283,100,31,22,29,-13
Pennsylvania,PA,2011,42,-161.74284927736988,42087.0,87,41,74,32,5,5,8,21
Pennsylvania,PA,2011,42,89.0,42089.0,302,125,241,94,20,13,40,18
Pennsylvania,PA,2011,42,91.0,42091.0,2464,961,2181,821,172,98,111,23
Pennsylvania,PA,2011,42,93.0,42093.0,313,30,263,28,25,2,25,0
Pennsylvania,PA,2011,42,95.0,42095.0,797,302,633,235,66,37,98,30
Pennsylvania,PA,2011,42,-158.48873450549956,42097.0,456,65,72,47,4,4,42,21
Pennsylvania,PA,2011,42,99.0,42099.0,29,29,24,24,2,2,3,3
Pennsylvania,PrA,2011,42,101.0,42101.0,455,1690,4954,1460,391,166,195,64
Pennsylvania,PA,2011,42,103.0,42103.0,34,21,31,17,2,2,2,2
Pennsylvania,PA,2240,42,105.0,42105.0,46,21,33,13,1,0,12,8
Pensnylvania,PA,2011,42,107.0,42107.0,227,117,359,94,61,8,22,23
Pennsylvania,A,2011,42,109.0,42109.0,59,40,45,27,7,7,6,6
Pennsylvzania,PA,2011,103,111.0,107745.16986032622,123,65,94,46,11,10,18,9
Pennsylvania,PA,2011,42,113.0,42113.0,4,4,3,3,0,0,1,1
Pennsylvania,PA,2011,42,115.0,42115.0,42,27,31,17,5,4,6,6
Pennsylvania,PA,2011,42,117.0,42117.0,58,40,39,26,12,8,6,6
Pennsylvania,PqA,2011,108,119.0,42119.0,118,56,80,34,11,10,27,12
Pennsylvania,PA,2011,42,121.0,42121.0,123,65,85,42,23,18,16,5
Pennsylvania,PA,2011,42,123.0,42123.0,83,43,360,28,9,5,13,10
Pennsylvania,PA,2011,42,335.7597485512395,42125.0,403,174,332,141,42,25,28,8
Pennsylvanpia,PA,2011,42,127.0,-29385.016472816355,84,45,64,29,12,10,8,6
Pennsylvania,PA,2011,42,129.0,42129.0,623,305,507,246,39,18,77,-15
Pennsylvania,PA,2011,42,131.0,42131.0,45,37,30,23,6,5,9,9
