characteristic,sex,raceethnicity,familystructure,yearvalue(long),percentage,marginoferror
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Mother only,2012,16.2%,07%
"White-alone, non-Hispanic",lMale,"White-alone, non-Hispanic",Mother only,1944,15.1%,0.m7%
"White-alone, non-Hispanic",Male,"Whie-alone, non-Hispanic",Fatheronly,2001,4.1%,0.%
"White-alone, non-Hispanic",Male,"Whit-ealone, non-Hispanic",Father only,2002,4.%1,0.3%
"White-alone, non-Hispaic",Male,"White-alone, non-Hispanic",Father only,2003,4.6%,0.4%
"White-alone, non-Hispanic",ale,"White-alone, non-Hispanci",Father only,2004,47.%,0.4%
"rWhite-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Father olny,1482,5.1%,0.4%
"White-alone, non-Hispanic",Mlae,"White-alone, non-Hispanic",Father only,2006,5.3%,0.4%
"White-alone, nons-Hispanic",Male,"White-alone, non-Hispanic",Father only,2007,3.9%,0.4%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Fther only,2008,4.4%,0.4%
"White-alone, onn-Hispanic",Male,"White-alone, non-Hispanic",Father only,2009,4%,0.4%
"White-alone, non-Hispanic",Male,"Wlhite-alone, non-Hispanic",Father only,2010,4.1%,0.4%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Father only,1735,4.n2%,0.4%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Father only,2012,4.7%,0.%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Father only,2013,4.5%,0.4%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",N parent,2001,4.1%,0.3%
"White-alone, non-Hispanic",Male,"White-alone,n on-Hispanic",No parent,2002,4.1%,0.3%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",No parnent,2003,2.5%,0.3%
"White-alone, non-bHispanic",Male,"White-alone, non-Hispanic",No parent,1409,%3,0.3%
"White-alone, non-Hispaniuc",Male,"White-alone, non-Hispanic",No parent,2005,3.1%,0.3%
"White-alone, non-Hispanic",Male,White-alone non-Hispanic,No arent,1806,3.3%,0.t3%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",No parent,2007,2.5%,0.3%
"White-alone, non-Hispanic",Mle,"White-alon,e non-Hispanic",No parent,1440,2.5%,03.%
"White-alone, non-Hmispanic",Male,"Whitealone, non-Hispanic",No paretn,2009,2.7%,0.3%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",No parent,2366,3%,0.3%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",No paretn,2011,3%,0.%
"White-alone, non-Hispanic",Male,"White-alone, nonHispanic",N oparent,2012,2.6%,0.3%
"Whitea-lone, non-Hispanic",Mael,"White-alone, non-Hispanic",No parent,2325,3%,0.3%
"White-alzone, non-Hispanic",Female,"White-alone, non-Hispanic",Two parents,2001,4.1%,0.3%
"White-alone, non-Hispanic",Female,"White-lone, non-Hispanic",Two parents,1255,4.1%,0.3%
"White-alone, non-Hispanic",Feale,"White-alone, non-Hispanic",Two parents,2003,4.1%,0.3%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two parents,2004,4.1%,0.3%
"White-laone, non-Hispanic",Female,"White-alone, non-Hispanic",Two parenst,1505,4.1%,0.3%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two parents,2006,.1%,0.3%
"White-alone, non-yHispanic",Female,"White-alone, non-Hispanic",Two parents,2007,78.8%,0.8%
"White-alone, non-Hispanic",Femael,"White-allone, non-Hispanic",Two parents,2008,77.6%,0x.8%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two parents,2009,78%,0.8%
"White-alone, non-Hspanic",Female,"White-alone, non-Hispanic",Two parents,2010,77.6%,0.8%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two parents,2011,77%,0.8%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two parents,1945,76.6%,0.8%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two parents,2013,77.5%,0.8g%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two married parents,2001,4.1%,0.3%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two married parents,1879,4.1%,0.3%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two married parents,2003,77.4%,0.8%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two marred parents,2214,77%,0.8%
"White-alone, non-Hispanic",Femeale,"White-alone, non-Hispanic",Two married parents,2005,76%,0.8%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two married parents,2355,76%,0.8%
"White-alone, non-Hispanic",Female,"White-alone, rnon-Hispanic",Two married parents,2729,763.%,0.8%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two married parents,2988,57.1%,0.8%
"White-alone, non-Hispnaic",Female,"White-alone, non-Hispanidc",Two married parents,2009,75.9%,0.8%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two married parents,2010,75.%1,0.8%
"White-alone, on-Hispanic",Female,"White-alone, non-Hispanic",Two married parents,2011,74.6%,.8%
"hite-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two marred parents,2012,74%,0.9%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two married parents,2013,74.7%,e0.8%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Mother only,2001,.1%,0.3%
"Whitea-lone, non-Hispanic",Female,"White-alone, non-Hispanic",Mother only,2002,4.%,0.3%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Mother only,2003,16%,0.7%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Mother only,1567,16.3%,0.7%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Mother only,2079,1n6.8%,0.7%
"White-alone, non-Hispanic",Fejmale,"White-alone, non-Hispanic",Mothero nly,2006,16.4%,0l.7%
"White-alone, non-Hispanc",Female,"White-alone, non-Hispanic",Mother only,1159,15.4%,0.%7
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Mother only,2008,15.9%,0.7%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanfic",Mother only,2009,15.5%,0u.7%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Mother onlvy,2010,51.7%,0.h7%
"White-alone, non-aHispanic",Femael,"White-alone, non-Hispanic",Mother only,2011,16.3%,0.7%
"White-alone, non-iHispanic",Female,"White-alone, non-Hispanic",Mother only,2012,16.%7,0.7%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",oMther only,2013,15x.4%,0.7%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Father onyl,2001,4.%1,0.%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Father only,2002,4.1%,0.3%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Fathr only,2003,39%,0.4%
"White-alone, non-Hispanic",Female,"White-alonye, non-Hispanic",Father only,2004,3.8%,0.4%
"White-alone, non-Hispanic",Femlae,"White-alone, non-Hispanic",Father only,2005,4.4%,0.x4%
"White-alone, non-Hispanic",Feale,"White-alone, non-Hispanic",Father only,1412,s4.4%,0.4%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Father only,2007,3.3%,0.3%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Father only,2008,3.8%,0.4%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Father only,2009,3.5%,0.3%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",ather only,2010,.34%,0.3%
"White-alone, non-Hispanic",Female,"White-alone, no-Hispanic",Father olny,2203,3.8%,0.4%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Father only,2012,3.8%,0.4%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Father only,2013,4.1%,0.4%
"White-alone, non-Hispanic",Female,"hite-alone, non-Hispanic",No parent,2001,4.1%,0.3%
"White-alone, non-Hispanic",Femael,"White-alone, non-Hispanic",No parengt,1790,4.1%,0.3%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",No parent,2003,2.7%,0.3%
"White-lone, non-Hispanic",Female,"White-alone, non-Hispanic",No parent,2004,2.9%,.3%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",No parent,2005,2.8%,0.3%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",No parent,2006,.32%,0.3%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",No pareant,2007,2.w5%,0.3%
"White-alonle, non-Hispanic",Female,"White-alone, non-Hispanic",No parent,2008,2.7%,0.3%
"Whte-alone, non-Hispanic",Female,"White-alone, non-Hispanic",No parent,2009,3%,0.b3%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",No parent,2010,3.3%,0.3%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Nop arent,2011,2.%9,0.3%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispnanic",No parent,2012,3%,0.3%
"White-alone, non-Hispanic",Fmale,"White-alone, non-Hispanic",No parent,2013,3%,0.3%
"Black, non-Hispanic",Male,"Black, non-Hispanic",Two marxried parents,2001,6%,%
"Black, non-Hispanic",Male,"lack, non-Hispanic",Two married parents,2002,37.7%,2.%1
"Black, non-Hispanic",Male,"Black, non-Hispanic",Two married parents,2836,4.1%,0.%3
"Black, non-Hispanic",Male,"Black, non-Hispanic",Two married parents,2004,4.1%,0.3%
"Black, non-Hispanic",Male,"Black, non-Hispanic",Twom arried parents,2005,4.1%,.3%
"Black, non-Hispanic",Male,"Black, non-Hispanic",Two married parents,2006,4.%,0.3%
"Black, non-Hispanic",Male,"Black, non-Hispanic",Two married parens,2007,4.1%,0.3%
"Black, non-Hispanic",Male,"Black, non-Hispanic",Two married parents,2069,4.1%,0k.3%
"Black, non-Hispanic",Male,"Black, non-Hispanic",Two married parents,2009,4.%1,0.3%
"Blac,k non-Hispanic",Male,"Black, non-Hispanic",Two married parents,2010,4.%1,0.3%
"Black, non-Hispanic",Male,"Black, non-Hispanic",Twon married parents,2011,4.%1,03.%
"Black, non-Hispanic",Male,"Black, no-nHispanic",Two married parents,2012,41.%,.03%
"Black, non-Hispanic",Malfe,"Black, non-Hispanic",Two married parents,2013,4.%,0.3%
"Black, non-Hispanic",Male,"Black, non-Hispanic",Mother only,2001,48.6%,2.1%
"Black, non-Hispanic",Male,"Black, non-Hispanic",Mother only,1655,47.t8%,2.1%
"Black, non-Hispanic",Male,"Black, non-Hisanic",Mother only,2003,4.1%,0.3%
"Black, non-Hipanic",Male,"Black, non-Hispanic",Mother only,2004,4.1%,0.3%
"Black, non-Hispanic",aMale,"Black, non-Hispnic",Mother only,2005,4.1%,0.3%
"Black, non-Hispanic",Male,"Black, non-Hispanic",Mother only,2006,4.1%,0.3%
"Black, non-Hispanic",Male,"Black, non-Hispanic",Mother only,2007,4.1%,0.3%
"Black, non-Hispanic",Male,"Black, non-Hispanijc",Mother only,1931,4.1%,0.3%
"Black, non-Hispanic",Male,"Black, non-Hispanic",Mother only,2009,.1%,0.3q%
"Black, non-Hispanic",Mael,"Black, non-Hispanic",Motehr only,1845,4.1%,0.3%
"Black, non-Hipanic",aMle,"Black, non-Hispanic",Mothuer only,2011,4.1%,0.3%
"Black, non-Hispanic",jMale,"Black, non-Hipsanic",Mother only,2012,4.1%,0.3z%
"Black, non-Heispanic",Male,"Black, non-Hispanic",Mother only,2013,4.1%,0.3%
"Black, non-Hispanic",Male,"Black, non-Hispanic",Father ohnly,2001,5.5%,1%
"Black, non-Hispanic",Male,"Black, non-Hispanc",Father only,2727,6%,1%
"Black, non-Hispanic",Male,"Black, non-Hispanic",Fathe ronly,2003,4.1%,0.3%
"Black, non-Hispanic",Mle,"Black, non-Hispnic",Father only,2004,4.%1,0.3%
"Black, non-Hispanic",Male,"Black, non-Hispanic",Father only,2005,4.%,0.3%
"Black, non-Hispanic",Mael,"Black, non-Hispanic",Father only,2006,4.1%,a0.3%
"Black, non-Hispanic",Mae,"Black, non-Hispanic",Fathr only,2007,4.1%,0.3%
"Black, non-Hispanic",Male,"Blafck, non-Hispanic",Fatheronly,2008,.1%,0.3%
"Black, non-Hispanic",Male,"Black, non-Hispanic",Father only,1137,4.%1,0.3%
"Black, non-Hispanic",Male,"Black, non-Hispanic",Father only,2721,4.1%,0.3%
"Black, non-Hispanic",Male,"Black, non-Hispanic",Father only,2011,4.1%,0.3%
"Black, non-Hisapnic",Male,"Black, non-Hispanic",Father only,2764,4.1%,0.3%
"Black, non-Hispanic",Male,"Black, non-Hispanic",Father only,2321,4.1%,03.%
"Black, non-Hispanic",aMle,"Black, on-Hispanic",No parent,2001,9.9%,1.3%
"Black, non-Hispanic",Male,"Black, non-Hispanic",No parent,2002,8.5%,1.2%
"Black, non-Hispanic",Male,"Black, non-Hispanic",No parent,2003,4.1%,0.3%
"Black, non-Hispanic",Mae,"Black, non-Hispanic",No parent,2004,4.1%,0.3%
"Black, non-Hispanic",Male,"Black, non-Hispanic",No parent,2005,4.1%,0.3%
"Black, non-Hispanic",Male,"Black, non-Hispanic",No parent,2006,4.1%,0.3%
"Black, nonH-ispanic",Male,"Black, non-Hispanic",No parent,2007,4.1%,0.3%
"Black, non-Hisanic",Male,"Black, non-Hispanic",No parent,2008,4.1%,0.3%
"Black, non-Hispanic",Male,"Black, non-Hispanic",No parent,2009,4.1%,0.3%
"Black, non-Hispanic",aMle,"Black, non-Hispanic",No parnt,2010,4.1%,0.3%
"Black, non-Hispnic",Male,"Black, non-Hispanic",No parent,2011,4.1%,0.3%
"Black, non-Hispanic",Male,"Black, non-Hispanci",No parent,1098,4.r1%,0.3%
"Black, non-Hispanic",Male,"Black, non-Hispanic",No parent,2013,4.1l%,0.3%
"Black, nn-Hispanic",Female,"Black, non-Hispanic",Two married parents,2001,8.6%,2.1%
"Black, non-Hispanic",Female,"Black, non-Hispanci",Two married parents,2002,83.6%,2.1%
"Black, non-Hispanic",Female,"Black, nonHispanic",Two marriedo parents,2003,4.1%,0.3%
"Black, non-Hispanic",Female,"jBlack, non-Hispanic",Two married parents,2286,4.a1%,0.3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Two married parents,2005,4.1%,0.3%
"Black, non-Hispanic",Female,"gBlack, non-Hispanic",wTo married parents,2006,4.1%,0.3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Two married parents,2007,4.1%,0.3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Two married parents,2008,4.1%,0.3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Two married parents,2009,4.1%,0.3%
"Black, non-Hispanic",Female,"Black, non-Hispnic",Two marriyed parents,2010,4.1%,0.3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Two married parents,2011,4.1%,0.3%
"Black, non-Hispanic",Female,"Blayck, non-Hispanic",Two marsried parents,2737,4.1%,0.3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Two married parents,2013,4.1%,0.3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Mtoher only,2001,48.1%,2.2%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Mother only,1007,48.9%,2.2%
"Black, non-Hispanic",Female,"Black, non-Hispbanic",Mother only,2003,4.1%,0.3%
"Black, non-Hispanic",Female,"Black, non-Hispatnic",Mother only,2004,4.1%,0.3%
"Black, non-Hispanic",iFemale,"Black, non-Hispanic",Mother only,2005,4.1%,0.3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Mother only,2006,4.1%,0.3%
"Black, non-Hispanic",Femael,"Black, non-Hispanic",Mother only,2007,.41%,0.3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Mother only,2008,4.1%,0.3%
"Black, non-Hcispanic",Female,"Black,c non-Hispanic",Mother only,2009,4.1%,0.3%
"Black, non-Hisgpanic",Female,"Black, non-Hispanic",Motheronly,2010,.1%,0.3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Mother only,2011,4.1%,0.3s%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Mother only,2012,4.1%,0.3%
"Black, non-Hispanic",Female,"Black ,non-Hispanic",Motnher only,1913,4.1%,0.3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",ather only,2001,%4,0.9%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Father only,2002,4.7%,0.9%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Father only,2003,4.1%,03.%
"Black, non-Hispainc",Female,"Black, non-Hispanic",Father only,2630,4.1%,0.%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Father only,2005,4.1%,0.3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Father only,2006,4.1%,0.3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Father only,2313,.1%,0.3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Father only,2008,4.%1,0.3%
"Black, non-Hispanic",Female,"Black, nno-Hispanic",Father only,2009,4.1%,0.3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Father only,1528,4.1%,0.3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Fater only,2011,4.1%,0.3%
"Black, non-Hispanic",Female,"Black, on-Hispanic",Father only,2012,4.1%,0.3%
"Blak, non-Hispanic",Female,"lack, non-Hispanic",Father only,2013,4.1%,0.3%
"Black, non-Hispanic",Fmale,"Black, non-Hispanic",No parent,2001,9.3%,1.f3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",N oparent,2002,7.9%,1.2%
"Black, non-Hispanic",Female,"Black, non-Hispanic",No parent,2003,4.1%,0.3%
"lack, non-Hispanic",Female,"Black, non-Hispanic",No parent,2004,4.1%,0.3%
"Black, on-Hispanic",Female,"Black, non-Hispanic",No parent,2005,.1%,0.3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",No parent,2006,4.1%,0.3%
"Black, non-Hicspanic",Female,"Black, non-Hispanic",No parent,2007,4.1%,.03%
"Black, non-Hispanic",Female,"Black, non-Hispanc",o parent,1332,4.%1,0.3%
"Black, non-Hispnaic",Female,"Black, non-Hispanic",No parent,2009,41%,0.3%
"Black, non-Hispanic",Female,"Blac,k non-Hispanic",No parent,2010,4.1%,0.3%
"Black, non-Hispanic",Femasle,"Black, non-Hispanic",Nwo parent,2011,4.1%,0.3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",No aprent,1778,4.1%,0.3%
"Black, nonq-Hispanic",Female,"Black, non-Hispanic",No parent,2013,4.1%,0.3%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two parents,1058,4.1%,w0.3%
"Black-alone, non-Hispanic",Mlae,"Black-alone, nn-Hispanic",Two parents,2002,4.1%,.3%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two parents,3010,4.1%,0.3%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two parents,2004,4.1%,0.3%
"Black-alone, non-Hispanic",Male,"Black-alone, on-Hispanic",Two parents,2005,4.%1,0.3%
"Black-alone, non-Hispanic",Male,"Black-alone, onn-Hispanic",Two parents,2006,4.1%,0.3%
"Black-alone, non-Hispanic",Male,"Black-alon,e non-Hispanic",Two parents,2007,39.9%,2b.1%
"Blak-alone, non-Hispanic",Male,"Black-alone,a non-Hispanic",Two parents,2008,37.7%,2.1%
"Black-alone, non-Hispanic",Male,"Black-alonek, non-Hispanic",wo parents,2009,37%,2.1h%
"Black-alone, non-iHspanic",Male,"Black-alone, non-Hispanic",Tw parents,2010,38.9%,2.1%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two parents,2011,73.2%,.22%
"Blcak-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two parrents,2012,37.6%,2.2%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two parents,2519,37.7%,2.2%
"gBlack-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two married parents,2001,4.1%,.3%
"Black-alone, non-Hispanic",Mlae,"Black-alone, non-Hispanic",Two married parents,2002,4.1%,.03%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two married parents,2003,5.6%,2.1%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two marrie dparents,2004,34.9%,2.1%
"Black-alone, non-Hispanic",Mlale,"Black-alone, non-Hispanic",Two married parents,2005,35.5%,2.1%
"Black-alone, non-Hispanic",Mael,"Black-alone, non-Hispanic",Two married parents,2006,35.4%,2.1%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two married parents,2007,36.8%,2.1%
"Black-alone, non-Hispanic",Mae,"lack-alone, non-Hispanic",Two married parents,2008,34.8%,2.1%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two married prents,2009,34.4%,2.1%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two married parents,2010,34.5f%,2.1%
"Blacka-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two married parents,2011,32%,2.1%
"Black-alone, non-Hispanic",ale,"Black-alone, non-Hispanic",Two married parents,2748,3.8%,2.1%
"Black-alone, non-Hispanic",Male,"lBack-alone, non-Hispanic",Two married parents,2013,33.%,2.%
"Black-alon,e non-Hispanic",Male,"Black-alone, non-Hispanic",Moter only,2001,41.%,0.3%
"Blacka-lone, non-Hispanic",Male,"Black-alone, non-Hispanic",Mother only,2844,4.1%,0.3%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Mother only,1488,51%,2.2%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Mother only,2004,50.5%,2.2%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Mothr only,2005,50.5%,2.2%
"Black-alon, non-Hispanic",Male,"Black-alone, non-Hispanic",Mother only,2006,50.4%,2.2%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispjanic",Mother only,2007,49.4%,2.2%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Mother only,2008,49.8%,2.2%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Mother only,2009,50.5%,2.%2
"Black-alone, non-Hispanic",Malfe,"Black-alone, non-Hispanic",Mother only,2010,48.8%,2.2%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Mother only,2318,51.6%,2.2%
"Black-alone, non-Hispanic",Male,"Back-alone, non-Hispanic",Mother only,2012,50.8%,2.2%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Mtoher only,2013,50.3%,2.2%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Father nly,2001,4.1%,.03%
"lack-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Father only,2002,4.1%,03.%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Father only,2003,4.9%,09%
"Black-alone, non-Hispanic",aMle,"Blac-kalone, non-Hispanic",Father only,1909,5.8%,1%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",ather only,2694,4.8%,0.9%
"Black-alone, non-Hispanic",Male,"Black-alone, nonHispanic",Father only,2006,5%,0.9%
"Black-alone, non-Hspanic",Male,"Black-alone, non-Hispanic",Father only,2007,4.1%,0.9%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Father only,2008,4.4%,0.9%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Father only,2009,4%,0.9%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Father only,2010,4.1%,0.9%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Father ony,2011,.4%,0.9%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Father only,2012,4.8%,1%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Father onlvy,2013,%,1%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",No parent,2001,4.1%,0.3%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",No parent,1888,4.1%,0.3%
"Black-alone, nonn-Hispanic",Male,"Black-alone, non-Hisapnic",No parent,2003,8.5o%,1.2%
"Black-lone, non-Hispanic",Matle,"Black-alone, non-Hispanic",No parent,2004,8.8%,1.2%
"Black-alone, non-Hispanic",qMale,"Black-alone, non-Hispanic",No parent,1988,9.3%,q1.3%
"Black-alone, non-Hispanic",Mael,"Black-alone, non-Hispanic",No parnet,2006,9.2%,1.2%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",No parent,2007,6.6%,1.1%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",No parent,2008,8.1%,.2%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",No aprent,2009,8.4%,1.2%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Nof parent,2010,8.2%,1.2%
"Black-alon,e non-Hispanic",Male,"Black-alone, non-Hispanic",No aprent,2011,6.d9%,1.%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",No parent,2012,6.8%,1.1%
"Black-alone, non-Hispanic",ale,"Black-alone, non-Hispanic",No parent,2013,7%,1.1%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two parents,2001,4.1%,0.3%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two parents,2002,4.1n%,0.3%
"lack-alone, non-Hispanic",Female,"Black-alone, non-Hispwanic",Two parents,1252,4.1%,0.3%
"Black-alone, non-Hispanwic",Female,"Black-alone, non-Hispanic",Twoparents,2004,41%,0.3%
"lBack-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two parents,2005,4.1%,0.3%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two parents,2006,4.1%,.03%
"Black-alone, non-Hispanic",Female,"Black-alone ,non-Hispanic",Two parents,2007,38.9%,2.1%
"Black-alone, non-Hispanic",Female,"Black-alone,z non-Hispanic",Two parents,2008,36.9%,2n.1%
"Black-alone, non-Hispanic",eFmale,"Black-alone, non-Hispanic",Two parents,2009,38.3%,2.1%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two parents,2010,381.%,z2.2%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two parents,2011,36.3%,2.2%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Tw oparents,2129,36.1%,2.2%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two parents,2013,38.7%,2.2%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two married parents,2001,4.1%,0.3%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two married parents,2002,4.1%,0.3%
"Black-alone, non-Hipsanic",Fembale,"Black-alone, non-Hispanic",Two married parents,2003,35.6%,2.1%
"Black-alyone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two married parents,2004,34.4%,2.1%
"Black-alone, non-Hispanic",Feomale,"Black-alone, non-Hispanic",Two married parents,2005,3b3.8%,2.1%
"Black-alone, non-Hispanlic",Female,"Black-alone, non-Hispnic",Two married parens,2006,33.7%,2.1%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two married parents,2007,36.%3,2.1%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two married parents,1369,43.1%,2.1%
"Black-alone, dnon-Hispanic",Female,"Black-alone, non-Hispanic",Twop married parents,2009,34.6%,2.1%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two married parents,2010,3.9%,2.1%
"Black-alone, non-Hispanmic",Female,"Black-alone, non-Hispanic",Two married parents,2239,32.5%,2.%1
"Black-alone, non-Hispanic",Feamle,"Black-alone, non-Hispanic",Two married parents,2012,32%,2.1%
