OBJECTID,COMPTYPE,COMPKEY,HANSEGKEY,UNITID,UNITTYPE,BRGUNITID,UNITDESC_BRG,UNITDESC_SEG,INSTDATE,EXPDATE,STATUS,STATUSDT,CONDITION,CONDDT,OWN,LSTVERIFY,MAINTBY,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,OVERRIDEYN,OVERRIDECOMMENT,ADDDTTM,MODDTTM,BR_NBR,BR_CODE,BR_TYPE,BR_NAME,BR_FACILITIES,BR_FEATURES,BR_RATING,BR_INSET,BR_GEO,BR_OWNER,BR_OWNER_NAME,GEOBASID,XGEOBASID,GISSEGKEY,EARTHQUAKE_RESPONSE_TEAM,SHAPE_Length
24931,66,511777,13191,BRG-003NAC, ,BRG-003NAC,UNIVERSITY BR - N APPR C                                                                                                                                                                                                                                       ,UNIVERSITY BR BETWEEN POINT B AND EASTLAKE AVE NE                                                                                                                                                                                                              ,,, ,, ,, ,, ,DISTRICT4, ,N,,2009/12/21 00:00:00+00,2018/05/07 00:00:00+00,3,   3N,E,UNIVERSITY BRIDGE N APPR,EASTLAKE AVE NE,"NE PACIFIC, NE NORTHLAKE",2,0,NE,SDOT,Seattle Dept. of Transportation,138750010,0,13191,BRGTEAM-J,1201.16714447638
24932,66,511874,8936,BRG-088N, ,BRG-088N,WOODLAND PARK /SR-99 - N BR                                                                                                                                                                                                                                    ,AURORA AVE N BETWEEN N 50 UPPER ST AND N 59TH ST                                                                                                                                                                                                               ,,, ,, ,, ,, ,DISTRICT6, ,N,,2009/12/21 00:00:00+00,2011/04/05 00:00:00+00,88,  88N,ST,WOODLAND PARK (N BR) / AURORA,PEDESTRIANS,SR 99,2,0,NO,DOT,State of Washington,0,52500490,8936, ,150.756890053112
24933,66,511864,18189,BRG-079, ,BRG-079,CARKEEK PARK PED /RR                                                                                                                                                                                                                                           ,NW 116TH ST BETWEEN 12TH AVE NW AND DEAD END                                                                                                                                                                                                                   ,,, ,, ,, ,, ,DISTRICT5, ,N,,2009/12/21 00:00:00+00,2011/04/05 00:00:00+00,79,  79,PK,CARKEEK PARK / RAILROAD,PEDESTRIANS,RAILROAD (PARK),5,0,NO,PRKS,Other,0,14150090,18189, ,108.550745994715
24934,66,511845,287258,BRG-061, ,BRG-061,NE PACIFIC ST /RAINIER VISTA                                                                                                                                                                                                                                   ,BURKE GILMAN TRL BETWEEN 15TH AVE NE AND MONTLAKE CUT CONNCTR TRL                                                                                                                                                                                              ,,, ,, ,, ,, ,DISTRICT4, ,N,,2009/12/21 00:00:00+00,2011/04/05 00:00:00+00,61,  61,PR,NE PACIFIC ST / RAINIER VISTA,NE PACIFIC PLACE,RAINIER VISTA,4,0,NE,SDOT,Seattle Dept. of Transportation,139450010,0,287258, ,131.363317209655
24935,66,520728,590096,BRG-293, ,BRG-293,S SPOKANE ST /1ST AVE RAMP                                                                                                                                                                                                                                     ,1ST AV S OFF RP BETWEEN WEST SEATTLE BR WB AND 1ST AVE S                                                                                                                                                                                                       ,,, ,, ,, ,, ,DISTRICT2, ,N,,2010/03/23 00:00:00+00,2012/11/07 00:00:00+00,0, , , , , ,0,0, , , ,,,590096, ,901.959780704513
24936,66,515758,1276,BRG-915, ,BRG-915,N-N RAMP BR SR 509 OC                                                                                                                                                                                                                                          ,1ST AV S ON RP BETWEEN SR509 NB AND 1ST S AVE S                                                                                                                                                                                                                ,,, ,, ,, ,, ,DISTRICT1, ,N,,2010/01/21 00:00:00+00,,915, 915,ST,N-N RAMP BR SR 509 OC,S CLOVERDALE ST,SR-509,1,0,S,DOT,State of Washington,700090,0,1276, ,465.297493687228
24937,66,511800,21700,BRG-017N, ,BRG-017N,ADMIRAL WAY - N BR                                                                                                                                                                                                                                             ,SW ADMIRAL WAY BETWEEN 39TH AVE SW AND WALNUT AVE SW                                                                                                                                                                                                           ,,, ,, ,, ,, ,DISTRICT1, ,N,,2009/12/21 00:00:00+00,2018/05/03 00:00:00+00,17,  17N,E,ADMIRAL WAY BR (NORTH),SW ADMIRAL WAY,"FAIRMOUNT AVE S , RAVINE",3,0,SW,SDOT,Seattle Dept. of Transportation,173050130,0,21700,BRGTEAM-A,435.377343571039
24938,66,511977,334939,BRG-238, ,BRG-238,N CROCKETT ST PED /WESTLAKE                                                                                                                                                                                                                                    ,WESTLAKE EAST RDWY AVE N BETWEEN WESTLAKE SHORE RDWY 3 AVE N AND CROCKETT ST                                                                                                                                                                                   ,,, ,, ,, ,, ,DISTRICT7, ,N,,2009/12/21 00:00:00+00,2011/04/05 00:00:00+00,238, , ,WESTLAKE AVE N & N CROCKETT ST, , ,0,0,N,SDOT,Seattle Dept. of Transportation,0,0,334939, ,32.0481576594732
24939,66,515730,489760,BRG-874, ,BRG-874,S-STEWART RAMP BRIDGE                                                                                                                                                                                                                                          ,STEWART ST OFF RP BETWEEN I5 SB AND STEWART ST                                                                                                                                                                                                                 ,,, ,, ,, ,, ,DISTRICT7, ,N,,2010/01/21 00:00:00+00,,874, 874,ST,S-STEWART RAMP BRIDGE,SR 5 RAMP SB, ,1,0,CE,DOT,State of Washington,0,0,489760, ,1091.134096456
24940,66,511829,13505,BRG-043, ,BRG-043,JOE DESIMONE BR                                                                                                                                                                                                                                                ,WESTERN AVE BETWEEN PINE ST AND VIRGINIA ST                                                                                                                                                                                                                    ,,, ,, ,, ,, ,DISTRICT7, ,N,,2009/12/21 00:00:00+00,2011/04/05 00:00:00+00,43,  43,E,JOE DESIMONE BRIDGE,"PEDESTRIANS, SHOPS",WESTERN AVE (PDA),4,1,DT,SDOT,Seattle Dept. of Transportation,0,104200110,13505, ,74.6890339455371
24941,66,515683,491164,BRG-820, ,BRG-820,NB VIADUCT STA 2075                                                                                                                                                                                                                                            ,I5 NB BETWEEN W SEATTLE BR - I5 NB RP AND I5 NB COLLECTOR S                                                                                                                                                                                                    ,,, ,, ,, ,, ,DISTRICT2, ,N,,2010/01/21 00:00:00+00,,820, 820,ST,NB VIADUCT STA 2075,SR 5 NB, ,1,0,S,DOT,State of Washington,0,0,491164, ,2440.09659908613
24942,66,511956,1567,BRG-200W, ,BRG-200W,GENERAL INSURANCE W                                                                                                                                                                                                                                            ,12TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST                                                                                                                                                                                                                  ,,, ,, ,, ,, ,DISTRICT4, ,N,,2009/12/21 00:00:00+00,2011/03/25 00:00:00+00,200, 200,PR,GENERAL INSURANCE CO PED BR,PEDESTRIANS,12 AVE NE,5,0,NE,PRIV,Other,0,3300040,1567, ,81.5776585265307
24943,66,512030,12224,BRG-321, ,BRG-321,PINE ST /I-5                                                                                                                                                                                                                                                   ,PINE ST BETWEEN BOREN AVE AND MINOR AVE                                                                                                                                                                                                                        ,,, ,, ,, ,, ,DISTRICT7,DISTRICT3,N,,2009/12/21 00:00:00+00,2011/04/05 00:00:00+00,321, 321,ST,PINE ST AND BOREN AVE / I-5,"PINE ST, BOREN AVE",SR 5,1,1,DT,DOT,State of Washington,91600130,0,12224, ,975.247668531777
24944,66,515760,11905,BRG-917, ,BRG-917,SR 520 OC                                                                                                                                                                                                                                                      ,MONTLAKE BLVD E BETWEEN SR520 WB MONTLAKE BV OFF RP AND MONTLAKE BV ON RP                                                                                                                                                                                      ,,, ,, ,, ,, ,DISTRICT3, ,N,,2010/01/21 00:00:00+00,,917, 917,ST,SR 520 OC,MONTLAKE BLVD  E,SR 520,0,0,CE,DOT,State of Washington,0,112200020,11905, ,248.409652590287
24945,66,512044,8280,BRG-342, ,BRG-342,"STRUCTURE OVER 8TH AVE/PIKE TO PINEDuplicate structure of 243N.  Number will be reused for new asset.                                                                                                                                                        ",8TH AVE BETWEEN PIKE ST AND PINE ST                                                                                                                                                                                                                            ,,2010/03/31 00:00:00+00,REMOVED,2010/03/31 00:00:00+00, ,, ,, ,DISTRICT7, ,N,,2009/12/21 00:00:00+00,2023/10/25 00:00:00+00,0, , ,STRUCTURE OVER 8TH AVE/PIKE TO, , ,0,0, , , ,,,8280, ,270.213043357316
24946,66,531730,491957,BRG-885, ,BRG-885,I-5 NB /NE RAVENNA BLVD                                                                                                                                                                                                                                        ,I5 NB BETWEEN NE RAVENNA BV OFF RP AND NE LAKE CITY WY OFF RP                                                                                                                                                                                                  ,,, ,, ,, ,, ,DISTRICT4,DISTRICT6,N,,2010/09/17 00:00:00+00,,885,885,0,I-5 EXP / NE RAVENNA BLVD,SR 5,NE RAVENNA BLVD,0,0,NE,DOT,State of Washington,0,0,491957, ,1390.97325963036
24947,66,515712,491393,BRG-851, ,BRG-851,SR 5 RAMP SB                                                                                                                                                                                                                                                   ,AIRPORT WY S OFF RP BETWEEN I5 SB COLLECTOR AND AIRPORT WAY NB OFF RP                                                                                                                                                                                          ,,, ,, ,, ,, ,DISTRICT2, ,N,,2010/01/21 00:00:00+00,,851, 851,ST,SR 5 RAMP SB,8TH AVE S AND SR5 ONRAMP, ,1,2,S,DOT,State of Washington,0,0,491393, ,640.970117742184
24948,66,511931,9962,BRG-142, ,BRG-142,DELRIDGE WAY SW PED                                                                                                                                                                                                                                            ,DELRIDGE WAY SW BETWEEN SW GENESEE ST AND SW OREGON ST                                                                                                                                                                                                         ,,, ,, ,, ,, ,DISTRICT1, ,N,,2009/12/21 00:00:00+00,2018/05/07 00:00:00+00,142, 142,E,DELRIDGE WAY PED BR,PEDESTRIANS,DELRIDGE WAY SW,1,0,SW,SDOT,Seattle Dept. of Transportation,180550010,0,9962,BRGTEAM-P,222.978634864335
24949,66,515715,491379,BRG-848, ,BRG-848,SBCD DEARBORN ST OC                                                                                                                                                                                                                                            ,I5 SB COLLECTOR BETWEEN I5 SB - I90 EB ON RP AND DEARBORN OFF RP                                                                                                                                                                                               ,,, ,, ,, ,, ,DISTRICT2, ,N,,2010/01/21 00:00:00+00,,848, 848,ST,SBCD DEARBORN ST OC,SR 5 SB,S DEARBORN ST,1,2,S,DOT,State of Washington,0,0,491379, ,318.249818589696
24950,66,511921,13727,BRG-131WR, ,BRG-131WR,WS HIGHRISE - W APPR RAMP                                                                                                                                                                                                                                      ,W SEATTLE BR WB OFF RP BETWEEN WEST SEATTLE BR WB AND W SEATTLE BR WB-CHELAN OFF RP                                                                                                                                                                            ,,, ,, ,, ,, ,DISTRICT1, ,N,,2009/12/21 00:00:00+00,2011/04/05 00:00:00+00,131, 131W,E,W SEATTLE FREEWAY (WEST),SW SPOKANE ST,"W/E MARGINAL,DELRIDGE,DUWAMISH",1,0,SW,SDOT,Seattle Dept. of Transportation,97240080,0,13727, ,1961.81591147273
24951,66,512037,20314,BRG-330, ,BRG-330,S HOLGATE ST /I-5                                                                                                                                                                                                                                              ,S HOLGATE BR BETWEEN S HOLGATE ST AND BEACON AVE S                                                                                                                                                                                                             ,,, ,, ,, ,, ,DISTRICT2, ,N,,2009/12/21 00:00:00+00,2011/03/24 00:00:00+00,330, 330,ST,S HOLGATE ST / I-5,S HOLGATE ST,SR 5,1,0,S,DOT,State of Washington,0,0,20314, ,1007.58118137523
24952,66,511946,13065,BRG-157, ,BRG-157,SWEDISH HOSP BALLARD PED                                                                                                                                                                                                                                       ,TALLMAN AVE NW BETWEEN NW CENTRAL PL AND NW MARKET ST                                                                                                                                                                                                          ,,, ,, ,, ,, ,DISTRICT6, ,N,,2009/12/21 00:00:00+00,2011/03/25 00:00:00+00,157, 157,PR,BALLARD COMM HOSPITAL PED BR,PEDESTRIANS,TALLMAN AVE NW,5,0,NO,PRIV,Other,99750030,0,13065, ,133.198442145387
24953,66,511811,4385,BRG-026, ,BRG-026,PINE ST PED /3RD AVE                                                                                                                                                                                                                                           ,3RD AVE BETWEEN PINE ST AND STEWART ST                                                                                                                                                                                                                         ,,, ,, ,, ,, ,DISTRICT7, ,N,,2009/12/21 00:00:00+00,2012/12/20 00:00:00+00,26,  26,PR,BON MARCHE SKYBRIDGE,PEDESTRIANS,3RD AVE,4,1,DT,PRIV,Other,0,20800130,4385, ,97.2698311830412
24954,66,515728,491681,BRG-872, ,BRG-872,GALER-LAKEVIEW VIADUCT                                                                                                                                                                                                                                         ,I5 NB BETWEEN LAKEVIEW BV OFF RP AND I5 NB SR520 EB ON RP                                                                                                                                                                                                      ,,, ,, ,, ,, ,DISTRICT3,DISTRICT4,N,,2010/01/21 00:00:00+00,,872, 872,ST,GALER-LAKEVIEW VIADUCT,SR 5, ,1,0,CE,DOT,State of Washington,0,80900140,491681, ,2031.59429171123
24955,66,511979,527193,BRG-242, ,BRG-242,EDGAR MARTINEZ /RR                                                                                                                                                                                                                                             ,EDGAR MARTINEZ DR S BETWEEN S ATLANTIC ST OFF RP AND 4TH AVE SB OFF RP                                                                                                                                                                                         ,,, ,, ,, ,, ,DISTRICT2, ,N,,2009/12/21 00:00:00+00,2010/09/16 00:00:00+00,242,242, ,SR519 BRIDGE, , ,0,0, , ,State of Washington,31500080,0,527193, ,2699.43220765433
24956,66,511892,16241,BRG-104, ,BRG-104,NE 105TH ST /THORNTON CR                                                                                                                                                                                                                                       ,NE 105TH ST BETWEEN 40TH AVE NE AND 41ST PL NE                                                                                                                                                                                                                 ,,, ,, ,, ,, ,DISTRICT5, ,N,,2009/12/21 00:00:00+00,2011/03/25 00:00:00+00,104, 104,E,NE 105TH ST / THORNTON CREEK,NE 105TH ST,THORNTON CREEK,5,0,NE,SDOT,Seattle Dept. of Transportation,128200240,0,16241, ,30.0214858945452
24957,66,511816,6230,BRG-031W, ,BRG-031W,"4TH AVE S, JACKSON-SEATTLE - W BR                                                                                                                                                                                                                              ",4TH AVE S BETWEEN 2ND AV ET S AND SEATTLE BLVD S                                                                                                                                                                                                               ,,, ,, ,, ,, ,DISTRICT2, ,N,,2009/12/21 00:00:00+00,2018/05/07 00:00:00+00,0, , ,"4TH AVE S, JACKSON-SEA- W BR", , ,0,0, , , ,,,6230,BRGTEAM-N,1122.03485338609
24958,66,511875,8936,BRG-088C, ,BRG-088C,WOODLAND PARK /SR-99 - C BR                                                                                                                                                                                                                                    ,AURORA AVE N BETWEEN N 50 UPPER ST AND N 59TH ST                                                                                                                                                                                                               ,,, ,, ,, ,, ,DISTRICT6, ,N,,2009/12/21 00:00:00+00,2010/09/16 00:00:00+00,88,  88M,ST,WOODLAND PARK (M BR) / AURORA,PEDESTRIANS,SR 99,2,0,NO,DOT,State of Washington,0,52500490,8936, ,191.833131545882
24959,66,511879,14663,BRG-091, ,BRG-091,E PINE ST PED                                                                                                                                                                                                                                                  ,E PINE ST BETWEEN EVERGREEN PL AND 40TH AVE                                                                                                                                                                                                                    ,,, ,, ,, ,, ,DISTRICT3, ,N,,2009/12/21 00:00:00+00,2010/09/16 00:00:00+00,91,  91,E,E PINE ST AND 39TH AVE,PEDESTRIANS,RAVINE,5,0,CE,SDOT,Seattle Dept. of Transportation,0,83050030,14663, ,378.442969059772
24960,66,515737,491982,BRG-887, ,BRG-887,8TH-RAMP BR                                                                                                                                                                                                                                                    ,NE 70TH ST ON RP BETWEEN NE 70TH ST AND I5 NB                                                                                                                                                                                                                  ,,, ,, ,, ,, ,DISTRICT4, ,N,,2010/01/21 00:00:00+00,,887, 887,ST,8TH-RAMP BR,SR 5 ON RAMP NB,SR 5 OFF RAMP NB,5,0,NE,DOT,State of Washington,0,47950240,491982, ,284.644381502896
24961,66,511926,12786,BRG-137, ,BRG-137,SENECA ST OFF RAMP                                                                                                                                                                                                                                             ,SENECA ST OFF RP BETWEEN ALASKAN WY VI NB AND 1ST AVE                                                                                                                                                                                                          ,,2023/08/31 00:00:00+00,REMOVED,2023/08/31 00:00:00+00, ,, ,, ,DISTRICT7, ,N,,2009/12/21 00:00:00+00,2023/10/25 00:00:00+00,137, 137,ST,SENECA ST RAMP/ALASKA WY VIA,SENECA ST,"WESTERN AVE, POST ALLEY",1,1,DT,DOT,State of Washington,96200010,0,12786, ,523.650048660281
24962,66,511907,12734,BRG-120, ,BRG-120,BURKE GILMAN TR /SAND PT                                                                                                                                                                                                                                       ,SAND POINT WAY NE BETWEEN MATTHEWS N AVE NE AND NE 95TH ST                                                                                                                                                                                                     ,,, ,, ,, ,, ,DISTRICT5, ,N,,2009/12/21 00:00:00+00,2018/05/03 00:00:00+00,120, 120,PK,BURKE GILMAN TRL/SANDPOINT WY,BURKE GILMAN TRAIL,SANDPOINT WAY NE (PARK),3,0,NE,PRKS,Other,0,95550380,12734,BRGTEAM-E,137.982528596839
24963,66,512045,7245,BRG-500, ,BRG-500,MONORAIL                                                                                                                                                                                                                                                       ,5TH AVE BETWEEN BLANCHARD ST AND BELL ST                                                                                                                                                                                                                       ,,, ,, ,, ,, ,DISTRICT7, ,N,,2009/12/21 00:00:00+00,2018/05/07 00:00:00+00,500, 500,SC,MONORAIL,MONORAIL,VARIOUS ARTERIALS,0,0,DT,SC,Other,38850190,0,7245,BRGTEAM-I,4899.88603540649
24964,66,520732,13557,BRG-228, ,BRG-228,WESTLAKE PED /SHIP CANAL                                                                                                                                                                                                                                       ,WESTLAKE EAST RDWY AVE N BETWEEN NEWELL ST AND SHIP CANAL TRL                                                                                                                                                                                                  ,,, ,, ,, ,, ,DISTRICT7, ,N,,2010/03/23 00:00:00+00,2011/03/25 00:00:00+00,0, , , , , ,0,0, , , ,,,13557, ,307.282061555113
24965,66,512042,489864,BRG-340, ,BRG-340,UNIVERSITY ST /I-5                                                                                                                                                                                                                                             ,UNION ST OFF RP BETWEEN I5 SB AND UNION ST                                                                                                                                                                                                                     ,,, ,, ,, ,, ,DISTRICT7, ,N,,2009/12/21 00:00:00+00,2011/04/05 00:00:00+00,340, 340,ST,7TH AVE-UNIV ST / CANTIL I-5,"7TH AVE, UNIVERSITY ST",SR 5,5,1,DT,DOT,State of Washington,0,101000100,489864, ,311.051889705178
24966,66,515738,492938,BRG-891, ,BRG-891,I-5 SBCD /NORTHGATE WAY                                                                                                                                                                                                                                        ,I5 SB COLLECTOR BETWEEN I5 SB CORLISS AV OFF RP AND NORTHGATE I5 SB ON RP                                                                                                                                                                                      ,,, ,, ,, ,, ,DISTRICT5, ,N,,2010/01/21 00:00:00+00,2010/09/16 00:00:00+00,891, 891,ST,NE 110TH ST OC,SR 5,NE 110TH ST,1,0,NE,DOT,State of Washington,0,127150120,492938, ,167.585987160227
24967,66,511833,23274,BRG-047, ,BRG-047,23RD AVE W /RR                                                                                                                                                                                                                                                 ,W EMERSON PL BETWEEN 23RD AVE W AND GILMAN AVE W                                                                                                                                                                                                               ,,, ,, ,, ,, ,DISTRICT7, ,N,,2009/12/21 00:00:00+00,2010/09/16 00:00:00+00,47,  47,E,23RD AVE W / RAILROAD,W EMERSON PL,RAILROAD,4,0,MA,SDOT,Seattle Dept. of Transportation,185650040,0,23274, ,205.068482603334
24968,66,610794,,,,,,,,,,,,,,,,,,,,,,0, , , , , ,0,0, , , ,,,,,92.9313870013116
24969,66,512020,17607,BRG-306, ,BRG-306,NE 80TH ST /I-5                                                                                                                                                                                                                                                ,NE 80TH ST BETWEEN CORLISS WAY N AND BANNER WAY NE                                                                                                                                                                                                             ,,, ,, ,, ,, ,DISTRICT4,DISTRICT6,N,,2009/12/21 00:00:00+00,2011/03/24 00:00:00+00,306, 306,ST,NE 80TH ST / I-5,NE 80TH ST,SR 5,1,0,NE,DOT,State of Washington,136400030,0,17607, ,316.132986615767
24970,66,512025,14725,BRG-314, ,BRG-314,E ROANOKE ST /I-5                                                                                                                                                                                                                                              ,E ROANOKE ST BETWEEN BOYLSTON AVE E AND HARVARD AVE E                                                                                                                                                                                                          ,,, ,, ,, ,, ,DISTRICT3,DISTRICT4,N,,2009/12/21 00:00:00+00,2011/03/24 00:00:00+00,314, 314,ST,ROANOKE ST / I-5,ROANOKE ST,SR 5,2,0,CE,DOT,State of Washington,115200070,0,14725, ,293.142423987556
24971,66,515720,491524,BRG-859, ,BRG-859,NBCD VIADUCT STA 2195                                                                                                                                                                                                                                          ,I5 NB COLLECTOR BETWEEN MADISON ST OFF RP AND I5 NB N                                                                                                                                                                                                          ,,, ,, ,, ,, ,DISTRICT3, ,N,,2010/01/21 00:00:00+00,,859, 859,ST,NBCD VIADUCT STA 2195,SR 5,"MARION,COLUMBIA,CHERRY,JAMES",1,1,DT,DOT,State of Washington,0,0,491524, ,1234.76653697479
24972,66,511914,2524,BRG-128, ,BRG-128,GAMMA PHI BETA PED                                                                                                                                                                                                                                             ,17TH SB AVE NE BETWEEN NE 45TH ST AND NE 47TH ST                                                                                                                                                                                                               ,,, ,, ,, ,, ,DISTRICT4, ,N,,2009/12/21 00:00:00+00,2010/09/16 00:00:00+00,128, 128,PR,GAMMA PHI BETA PEDESTRIAN BR,PEDESTRIANS,ALLEY,5,0,NE,PRIV,Other,0,6800010,2524, ,61.5903553402048
24973,66,511852,286989,BRG-067, ,BRG-067,E WATERWAY - N BR                                                                                                                                                                                                                                              ,WEST SEATTLE BRIDGE TRL BETWEEN EAST MARGINAL WAY S AND SW SPOKANE NR ST                                                                                                                                                                                       ,,, ,, ,, ,, ,DISTRICT1,DISTRICT2,N,,2009/12/21 00:00:00+00,2011/04/05 00:00:00+00,67,  67,E,E DUWAMISH WTRWY N BRIDGE,PEDESTRIANS,E WATERWAY OF DUWAMISH,5,0,SW,SDOT,Seattle Dept. of Transportation,0,0,286989, ,470.626404180142
24974,66,511834,5198,BRG-050, ,BRG-050,33RD AVE W /RR                                                                                                                                                                                                                                                 ,33RD AVE W BETWEEN 33RD AV W PED BR AND W HARLEY ST                                                                                                                                                                                                            ,,, ,, ,, ,, ,DISTRICT7, ,N,,2009/12/21 00:00:00+00,2010/09/16 00:00:00+00,50,  50,E,33RD AVE W / RAILROAD,PEDESTRIANS,RAILROAD,5,0,MA,SDOT,Seattle Dept. of Transportation,23150170,0,5198, ,181.834179512343
24975,66,511911,4377,BRG-125U, ,BRG-125U,COLUMBIA ST PED /AEO 2ND                                                                                                                                                                                                                                       ,3RD AVE BETWEEN COLUMBIA ST AND MARION ST                                                                                                                                                                                                                      ,,, ,, ,, ,, ,DISTRICT7, ,N,,2009/12/21 00:00:00+00,2013/01/11 00:00:00+00,125, 125U,PR,SEA TRUST PED BR (UPPER),PEDESTRIANS,ALLEY,5,1,DT,PRIV,Other,0,9550090,4377, ,49.8687171133623
24976,66,511890,2076,BRG-102, ,BRG-102,15TH AVE NE /THORNTON CK                                                                                                                                                                                                                                       ,15TH AVE NE BETWEEN NE 104TH ST AND NE 106TH ST                                                                                                                                                                                                                ,,, ,, ,, ,, ,DISTRICT5, ,N,,2009/12/21 00:00:00+00,2011/04/05 00:00:00+00,102, 102,E,15TH AVE NE AT NE 105TH ST,15TH AVE NE,RAVINE,4,0,NE,SDOT,Seattle Dept. of Transportation,5550470,0,2076, ,411.510887070531
24977,66,511781,22837,BRG-005A, ,BRG-005A,HARBOR AVE - LOWER N BR                                                                                                                                                                                                                                        ,SW SPOKANE NR ST BETWEEN HARBOR AV SW OFF RP AND HARBOR AVE SW                                                                                                                                                                                                 ,,, ,, ,, ,, ,DISTRICT1, ,N,,2009/12/21 00:00:00+00,2018/05/07 00:00:00+00,5,   5A,E,HARBOR AVE SW - BRIDGE A,SW SPOKANE ST/HARBOR AVE,RAILROAD,4,0,SW,SDOT,Seattle Dept. of Transportation,181910095,0,22837,BRGTEAM-F,116.78296042749
24978,66,515714,491479,BRG-849, ,BRG-849,SBCD VIADUCT ST 2133                                                                                                                                                                                                                                           ,I5 SB BETWEEN I5 SB COLLECTOR S AND I5 EXPRESS I5 SB RP                                                                                                                                                                                                        ,,, ,, ,, ,, ,DISTRICT2, ,N,,2010/01/21 00:00:00+00,,849, 849,ST,SBCD VIADUCT ST 2133,SR 5 SB, ,1,2,S,DOT,State of Washington,0,0,491479, ,2320.63307841237
24979,66,511951,3587,BRG-162, ,BRG-162,24TH AVE NW PIER                                                                                                                                                                                                                                               ,24TH AVE NW BETWEEN DEAD END AND NW 54TH ST                                                                                                                                                                                                                    ,,, ,, ,, ,, ,DISTRICT6, ,N,,2009/12/21 00:00:00+00,2011/04/05 00:00:00+00,0,162, , , , ,0,0, , , ,,,3587, ,267.510377435025
24980,66,511987,5722,BRG-252, ,BRG-252,RR /NW 65TH ST                                                                                                                                                                                                                                                 ,37TH AVE NW BETWEEN NW 64TH ST AND NW 65TH ST                                                                                                                                                                                                                  ,,, ,, ,, ,, ,DISTRICT6, ,N,,2009/12/21 00:00:00+00,2010/09/16 00:00:00+00,252,252, , NW 65TH ST UNDERCROSSING, , ,0,0, , ,Other,0,0,5722, ,34.3322535098273
24981,66,511866,8903,BRG-081A, ,BRG-081A,SR-99 /BROAD ST                                                                                                                                                                                                                                                ,AURORA AVE N BETWEEN AURORA AV NB OFF RP AND AURORA AV SB OFF RP                                                                                                                                                                                               ,,, ,, ,, ,, ,DISTRICT7, ,N,,2009/12/21 00:00:00+00,2010/09/16 00:00:00+00,81,  81A,ST,AURORA AVE N / BROAD ST,SR 99,BROAD ST,1,0,QA,DOT,State of Washington,52500050,0,8903, ,220.82607965052
24982,66,511885,8923,BRG-095, ,BRG-095,N 41ST ST PED /SR-99                                                                                                                                                                                                                                           ,AURORA AVE N BETWEEN N 40TH ST AND N 41ST ST                                                                                                                                                                                                                   ,,, ,, ,, ,, ,DISTRICT4,DISTRICT6,N,,2009/12/21 00:00:00+00,2018/05/07 00:00:00+00,95,  95,E,N 41ST ST / AURORA AVE N,PEDESTRIANS,SR 99,2,0,NO,SDOT,Seattle Dept. of Transportation,120800140,0,8923,BRGTEAM-O,117.779747559929
24983,66,511900,3450,BRG-114, ,BRG-114,23RD AVE S /I-90                                                                                                                                                                                                                                               ,23RD AVE S BETWEEN S JUDKINS ST AND MOUNTAINS TO SOUND TRL                                                                                                                                                                                                     ,,, ,, ,, ,, ,DISTRICT3, ,N,,2009/12/21 00:00:00+00,2010/09/16 00:00:00+00,114, 111,ST,23RD AVE S OC,SR 5,SR-90,2,0,S,DOT,State of Washington,13750090,0,3450, ,574.996684561718
24984,66,511809,12152,BRG-024, ,BRG-024,PHINNEY AVE N /N 57TH ST                                                                                                                                                                                                                                       ,PHINNEY AVE N BETWEEN N 56TH ST AND N 58TH ST                                                                                                                                                                                                                  ,,, ,, ,, ,, ,DISTRICT6, ,N,,2009/12/21 00:00:00+00,2018/05/07 00:00:00+00,24,  24,E,PHINNEY AVE N / N 57TH ST,PHINNEY AVE N,N 57TH ST,2,0,NO,SDOT,Seattle Dept. of Transportation,91150250,0,12152,BRGTEAM-O,250.060351791317
24985,66,511962,23389,BRG-213, ,BRG-213,32ND AVE W SEWER TRESTLE                                                                                                                                                                                                                                       ,W GOVERNMENT WAY BETWEEN 32ND S AVE W AND 33RD AVE W                                                                                                                                                                                                           ,,, ,, ,, ,, ,DISTRICT7, ,N,,2009/12/21 00:00:00+00,2010/04/01 00:00:00+00,213,213, , , , ,0,0, , ,Other,0,0,23389, ,232.081896651768
24986,66,511942,2031,BRG-154, ,BRG-154,UW PED /15TH AVE NE                                                                                                                                                                                                                                            ,15TH AVE NE BETWEEN NE CAMPUS WB PY AND NE 41ST ST                                                                                                                                                                                                             ,,, ,, ,, ,, ,DISTRICT4, ,N,,2009/12/21 00:00:00+00,2011/04/05 00:00:00+00,154, 154,PR,UW PED BR / 15TH AVE NE,PEDESTRIANS,15TH AVE NE,3,0,NE,PRIV,Other,0,5550040,2031, ,148.565481922007
24987,66,512036,13767,BRG-328, ,BRG-328,YESLER WAY /I-5                                                                                                                                                                                                                                                ,YESLER WAY BETWEEN 6TH AVE AND 7TH AVE                                                                                                                                                                                                                         ,,, ,, ,, ,, ,DISTRICT3,DISTRICT2,N,,2009/12/21 00:00:00+00,2011/03/24 00:00:00+00,328, 328,ST,YESLER WAY / I-5,YESLER WAY,SR 5,1,1,DT,DOT,State of Washington,107850150,0,13767, ,495.118416689229
