fullcomplaintid(long),complaintyearnumber(long),monthnumber(long),recordcreatedate,complaintprecinctcode(long),patrolboroughname,county,lawcodecategorydescription,offensedescription,pdcodedescription,biasmotivedescription,offensecategory,arrestdate,arrestid
228971154748197,2019,7,07/28/2019,79,PATROL BORO BKLYN NORTH,KINGS,FELONY,ROBBERY,"ROBBERY,PERSONAL ELECTRONIC DEVICE",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,07/28/2019,K31710604
247506983883690,2019,7,07/28/2019,79,PATROL BORO BKLYN NORTH,KINGS,FELONY,ROBBERY,"ROBBERY,PERSONAL ELECTRONIC DEVICE",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,07/28/2019,K31710607
201907912656117,2114,8,08/20/2019,79,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-TRANSGENDER,Gender,05/01/2021,B31682806
114995315578369,2019,9,10/02/2019,79,PATROL BORO BKLYN NORTH,KINGS,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201907912786117,2019,9,10/02/2019,79,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
253940223481973,2019,10,10/06/2019,79,PATROL BORO BKLYN NORTH,KINGS,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
245434411924106,2019,10,10/13/2019,79,PATROL BORO BKLYN NORTH,KINGS,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
132575886116908,2210,10,10/17/2019,79,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-HISPANIC,Ethnicity/National Origin/Ancestry,05/01/2021,B31682806
195813241573399,2019,6,06/13/2019,81,PATROL BORO BKLYN NORTH,KINGS,FELONY,GRAND LARCENY,"LARCENY,GRAND FROM PERSON,PERSONAL ELECTRONIC DEVICE(SNATCH)",ANTI-JEWISH,Religion/Religious Practice,06/14/2019,K31702902
201908112355917,2238,6,06/13/2019,81,PATROL BORO BKLYN NORTH,KINGS,FELONY,GRAND LARCENY,"LARCENY,GRAND FROM PERSON,PERSONAL ELECTRONIC DEVICE(SNATCH)",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201908112373817,2019,6,06/22/2019,284,PATROL BORO BKLYN NORTH,KINGS,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-TRANSGENDER,Gender,07/24/2019,K31709845
201908312225217,2019,3,03/14/2019,83,PATROL BORO BKLYN NORTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201908412100817,2019,1,01/14/2019,84,PATROL BORO BKLYN NORTH,KINGS,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-TRANSGENDER,Gender,01/14/2019,K31674720
201908412126817,2019,1,01/30/2019,84,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201908412176417,2019,2,02/27/2019,84,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-LGBT (MIXED GROUP),Sexual Orientation,05/01/2021,B31682806
201908412250117,2698,4,04/07/2019,84,PATROL BORO BKLYN NORTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201908412252917,2019,4,04/08/2019,249,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201908412296417,2019,5,05/02/2019,84,PATROL BORO BKLYN NORTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201908412390717,2019,6,06/22/2019,84,PATROL BORO BKLYN NORTH,KINGS,FELONY,ROBBERY,"ROBBERY,CAR JACKING",ANTI-MUSLIM,Religion/Religious Practice,06/22/2019,K31704373
201908412443717,2019,7,07/19/2019,84,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-BLACK,Race/Color,05/01/2021,B31682806
201908412456017,2019,7,07/27/2019,84,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-BLACK,Race/Color,07/26/2019,K31710427
201908412543317,2967,9,09/14/2019,84,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,05/01/2021,B31682806
201908412726317,2103,12,12/18/2019,84,PATROL BORO BKLYN NORTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-BLACK,Race/Color,05/01/2021,B31682806
201908812112217,2019,1,01/31/2019,253,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201908812252117,2019,5,05/22/2019,88,PATROL BORO BKLYN NORTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,06/06/2019,K31701421
192263906392768,2019,8,08/06/2019,88,PATROL BORO BKLYN NORTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
292645462367015,2019,9,09/15/2019,88,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,09/15/2019,K31718849
201908812467417,2019,10,10/10/2019,88,PATROL BORO BKLYN NORTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201908812580917,2019,12,12/28/2019,88,PATROL BORO BKLYN NORTH,KINGS,FELONY,ROBBERY,"ROBBERY,OPEN AREA UNCLASSIFIED",ANTI-HISPANIC,Ethnicity/National Origin/Ancestry,05/01/2021,B31682806
201909012174317,2019,2,02/16/2019,90,PATROL BORO BKLYN NORTH,KINGS,FELONY,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF,CRIMINAL, UNCL 2ND",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201909012346417,2676,5,05/04/2019,90,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201909012354617,2019,5,05/08/2019,90,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-JEWISH,Religion/Religious Practice,05/15/2019,K31697392
201909012356917,2019,5,05/08/2019,90,PATROL BORO BKLYN NORTH,KINGS,FELONY,CRIMINAL MISCHIEF & RELATED OF,CRIMINAL MIS 2 & 3,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
230156999587267,2019,5,05/14/2019,90,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-TRANSGENDER,Gender,05/01/2021,B31682806
201909012412117,1190,5,05/30/2019,90,PATROL BORO BKLYN NORTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201909012560417,2019,7,07/30/2019,90,PATROL BORO BKLYN NORTH,KINGS,FELONY,GRAND LARCENY,"LARCENY,GRAND FROM PERSON,UNCL",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201909012689717,2019,9,09/22/2019,90,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-ARAB,Ethnicity/National Origin/Ancestry,09/22/2019,K31719978
201909012691217,2417,9,09/22/2019,90,PATROL BORO BKLYN NORTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201909012713017,2019,9,10/02/2019,90,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201909012772317,2019,10,10/27/2019,90,PATROL BORO BKLYN NORTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201909012833017,2019,11,11/21/2019,253,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
180544057467191,2019,1,01/07/2019,94,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",ANTI-JEWISH,Religion/Religious Practice,04/06/2019,K31690180
201909412084317,1874,1,01/12/2019,94,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201909412091217,2019,1,01/17/2019,94,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201909412104517,2019,1,01/28/2019,94,PATROL BORO BKLYN NORTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201909412108317,2901,23,01/31/2019,94,PATROL BORO BKLYN NORTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201909412156917,2019,3,03/12/2019,94,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
203008855904588,1684,3,03/13/2019,94,PATROL BORO BKLYN NORTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
270146835210707,2019,3,03/16/2019,94,PATROL BORO BKLYN NORTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201909412183117,2019,3,04/01/2019,94,PATROL BORO BKLYN NORTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,04/06/2019,K31690178
201909412187817,2019,4,04/05/2019,-129,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-JEWISH,Religion/Religious Practice,04/06/2019,K31690179
201909412188617,2019,4,04/06/2019,94,PATROL BORO BKLYN NORTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,04/05/2019,K31690185
201909412188717,2019,4,04/06/2019,94,PATROL BORO BKLYN NORTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,04/05/2019,K31690190
201909412229417,2019,5,05/09/2019,94,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201909412267917,2649,6,06/10/2019,-123,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,06/11/2019,K31702285
201909412461317,2019,11,11/03/2019,-129,PATROL BORO BKLYN NORTH,KINGS,FELONY,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF,CRIMINAL, UNCL 2ND",ANTI-CATHOLIC,Religion/Religious Practice,11/03/2019,K31726701
193694948722572,1251,11,11/20/2019,94,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201909412495217,2019,12,12/05/2019,94,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,05/01/2021,B31682806
123917561660967,2019,12,12/22/2019,94,PATROL BORO BKLYN NORTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201910012134217,2019,3,03/11/2019,100,PATROL BORO QUEENS SOUTH,QUEENS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-OTHER ETHNICITY,Ethnicity/National Origin/Ancestry,05/01/2021,B31682806
201910012328417,2019,9,09/02/2019,100,PATROL BORO QUEENS SOUTH,QUEENS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
207319336769029,2019,10,10/03/2019,100,PATROL BORO QUEENS SOUTH,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-CATHOLIC,Religion/Religious Practice,05/01/2021,B31682806
201910112130217,2019,2,02/11/2019,101,PATROL BORO QUEENS SOUTH,QUEENS,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-JEWISH,Religion/Religious Practice,06/27/2019,Q31696251
201910112130217,2019,2,02/11/2019,101,PATROL BORO QUEENS SOUTH,QUEENS,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-JEWISH,Religion/Religious Practice,08/28/2019,Q31704457
201910112540217,2019,10,10/15/2019,101,PATROL BORO QUEENS SOUTH,QUEENS,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-TRANSGENDER,Gender,10/15/2019,Q31710151
269761424672629,2019,12,12/24/2019,101,PATROL BORO QUEENS SOUTH,QUEENS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201910212216417,2019,3,03/18/2019,102,PATROL BORO QUEENS SOUTH,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201910212301317,2019,4,04/30/2019,102,PATROL BORO QUEENS SOUTH,QUEENS,FELONY,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF,CRIMINAL, UNCL 2ND",ANTI-MUSLIM,Religion/Religious Practice,04/29/2019,Q31688353
201910212380117,1813,6,06/08/2019,102,PATROL BORO QUEENS SOUTH,QUEENS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201910312418917,1410,5,05/14/2019,103,PATROL BORO QUEENS SOUTH,QUEENS,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-MUSLIM,Religion/Religious Practice,05/14/2019,Q31690349
201910312891417,2019,10,10/28/2019,103,PATROL BORO QUEENS SOUTH,QUEENS,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201910412211717,2019,1,03/05/2019,104,PATROL BORO QUEENS NORTH,QUEENS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201910412247817,2139,3,03/22/2019,104,PATROL BORO QUEENS NORTH,QUEENS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201910412384417,2019,5,05/23/2019,104,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,05/01/2021,B31682806
236041039534406,2784,7,07/09/2019,104,PATROL BORO QUEENS NORTH,QUEENS,FELONY,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF,CRIMINAL, UNCL 2ND",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201910412540317,2019,7,07/23/2019,276,PATROL BORO QUEENS NORTH,QUEENS,FELONY,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF,CRIMINAL, UNCL 2ND",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201910412549617,2019,7,07/26/2019,104,PATROL BORO QUEENS NORTH,QUEENS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-LGBT (MIXED GROUP),Sexual Orientation,05/01/2021,B31682806
201910412568617,2394,8,08/04/2019,104,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF, CRIMINAL 4, OF MOTOR",ANTI-BLACK,Race/Color,05/01/2021,B31682806
201910412607917,1219,8,08/21/2019,104,PATROL BORO QUEENS NORTH,QUEENS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201910412634917,2019,9,09/01/2019,104,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-HISPANIC,Ethnicity/National Origin/Ancestry,05/01/2021,B31682806
201910412758717,2019,10,10/25/2019,104,PATROL BORO QUEENS NORTH,QUEENS,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-BLACK,Race/Color,05/01/2021,B31682806
201910512386517,2019,4,04/27/2019,105,PATROL BORO QUEENS SOUTH,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-BLACK,Race/Color,05/01/2021,B31682806
201910512537817,2019,6,06/17/2019,105,PATROL BORO QUEENS SOUTH,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
197727610504346,2019,8,08/07/2019,105,PATROL BORO QUEENS SOUTH,QUEENS,FELONY,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF, CRIMINAL 3 & 2, OF M",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201910612825517,2019,11,11/28/2019,106,PATROL BORO QUEENS SOUTH,QUEENS,FELONY,CRIMINAL MISCHIEF & RELATED OF,CRIMINAL MIS 2 & 3,ANTI-WHITE,Race/Color,05/01/2021,B31682806
201910712182617,1194,3,03/05/2019,107,PATROL BORO QUEENS SOUTH,QUEENS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201910712191217,2019,3,03/11/2019,107,PATROL BORO QUEENS SOUTH,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201910712201217,2019,3,03/16/2019,107,PATROL BORO QUEENS SOUTH,QUEENS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201910712236517,2019,4,04/03/2019,266,PATROL BORO QUEENS SOUTH,QUEENS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,04/05/2019,Q31685005
201910712236517,2019,4,04/03/2019,277,PATROL BORO QUEENS SOUTH,QUEENS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,04/04/2019,Q31684836
201910712265617,2019,4,04/17/2019,107,PATROL BORO QUEENS SOUTH,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,05/01/2021,B31682806
205536361002093,2019,5,05/08/2019,107,PATROL BORO QUEENS SOUTH,QUEENS,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
165374026484857,2019,10,10/01/2019,107,PATROL BORO QUEENS SOUTH,QUEENS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201910812204617,2019,3,03/13/2019,108,PATROL BORO QUEENS NORTH,QUEENS,FELONY,CRIMINAL MISCHIEF & RELATED OF,CRIMINAL MIS 2 & 3,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
217053401961240,2166,8,08/15/2019,108,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201910812526917,2758,8,08/20/2019,108,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201910812545017,2019,8,08/30/2019,108,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
247259698256399,2019,10,10/22/2019,108,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201910912118117,2019,1,01/16/2019,109,PATROL BORO QUEENS NORTH,QUEENS,FELONY,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF,CRIMINAL, UNCL 2ND",ANTI-BUDDHIST,Religion/Religious Practice,05/01/2021,B31682806
201910912344017,2019,3,04/01/2019,109,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-BLACK,Race/Color,05/01/2021,B31682806
201910912803517,2019,8,08/15/2019,241,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201911012419317,3011,5,05/26/2019,110,PATROL BORO QUEENS NORTH,QUEENS,FELONY,CRIMINAL MISCHIEF & RELATED OF,CRIMINAL MIS 2 & 3,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201911012501517,2019,6,06/29/2019,110,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-TRANSGENDER,Gender,06/29/2019,Q31696472
201911012501917,2019,6,06/29/2019,110,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-TRANSGENDER,Gender,07/23/2019,Q31699814
201911012502017,2215,6,06/29/2019,110,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-TRANSGENDER,Gender,07/23/2019,Q31699816
201911012629817,2019,8,08/17/2019,110,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
215922470636563,2019,2,02/22/2019,112,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",ANTI-JEWISH,Religion/Religious Practice,03/05/2019,Q31680459
201911212135117,2019,2,02/22/2019,112,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",ANTI-JEWISH,Religion/Religious Practice,02/27/2019,Q31679685
162468768650240,2019,2,02/22/2019,112,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",ANTI-JEWISH,Religion/Religious Practice,03/01/2019,Q31679958
201911212191317,2019,4,04/07/2019,112,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",ANTI-TRANSGENDER,Gender,04/07/2019,Q31685303
