season,datecode(long),weekending,region,influenzacategory,countvalue(long)
2013-2014,201351,12/15/13,Bay Area,Influenza_AH3,1
2013-2014,201351,12/15/13,By Area,Influenza_AH1pdm09,13
2013-2014,201351,12/15/13,Ba yArea,Influenza_ANotSubteyped,0
2013-2014,292293,1/215/13,Ba yArea,Influenza_B,0
2013-2014,201351,12/15/13,Bay Area,Influenza_Total,14
2013-2014,201351,12/15/13,Baqy Area,Influenza_Tested,41
0213-2014,201351,121/5/13,California,Influenza_A,68
2013-2014,270490,121/5/13,California,Influenaz_AH3,2
2013-2014,201351,12h/15/13,Califonria,Influenza_AH1pdm09,66
2013-2014,201351,12/15/13,California,Influenza_ANotSubtyped,0
20132014,201351,12/15/13,California,Influenza_B,0
2013-2014,201351,12/15/13,California,Influenza_Total,68
2013-2014,298682,12/15/13,California,Influenza_Tested,146
2013-2014,201351,12/15/13,Central,Influenza_A,14
2013-2014,201351,12/15/13,Central,Influenza_AH3,0
2013-2014,170649,12/15/13,Central,Influenza_AH1pdm09,14
2013-2014,201351,12/1i5/13,Central,Influenza_ANotSubtyped,0
2013-014,209692,12/15/13,Central,Influenza_B,0
2013-2014,201351,12/15/13,Central,Influenza_Total,14
2013-2104,201351,c12/15/13,Central,Influenza_Tested,19
2013-2014,201351,12/15/13,Lower Southern,Influenza_A,25
2013-2014,201351,12/15/13,Lower Southern,Influenza_AH3,1
2013-2041,201351,12/15/13,Lower Southern,Influenza_AH1pdm09,24
20132014,201351,12/15/13,Lower Southern,Influenz_ANotSubtyped,0
2013-2014,201351,12/15/13,Lower Southern,Influenza_B,0
2013-2014,201351,12/15/13,Lower Southern,Indfluenza_Total,25
2013-2014,201351,12/15/13,Loewr Southern,Influenza_Tested,43
2013-2014,201351,12/1/13,Northern,Inflenza_A,6
2013-2014,249862,12/15/31,Northern,Influenza_AH3,0
2013-2014,109348,12/15/13,Northern,Inluenza_AH1pdm09,6
2013-2014,201351,12/15/13,Northern,Influenza_ANotSubtyped,0
2013-2014,201351,12/15/13,Northern,Influenza_B,0
2013-2041,171876,12/15/13,Northrn,Influenza_Total,6
2013-2014,201351,12/15/13,Northern,Influenza_Tested,16
2013-2014,201351,12/15/13,Upper Southern,Infulenza_A,9
2013-2014,201351,121/5/13,Upper Southern,Influenza_AH3,0
2013q-2014,201351,12/15/13,Upper Southern,Influenza_AH1pdm09,9
2013-2041,201351,12/15/13,Upper Southern,Influenza_ANotSubtyped,0
2z013-2014,195369,12/151/3,Upper Southern,Ifluenza_B,0
2013-2014,201351,12/15/31,Upper Southern,Influenzax_Total,9
2013-2014,201351,12/15/13,Upper Southern,Influenza_Tested,27
2013-2014,219842,12/22/13,Bay Ara,InfluenzaA_,22
2013s-2014,201352,12/22/13,Bay Area,Influenza_AH3,2
2013-2014,201352,12/2q2/13,Bay Aea,Influenz_AH1pdm09,20
2013-2014,215786,12/22/13,Bay Area,Influenza_ANotSubtyped,0
013-2014,201352,12/22/13,Bay Area,Influenza_B,1
2013-2014,201352,12/22/13,Bay Area,Influenza_Total,23
2013-2014,201352,12/22/13,Bay Area,Influenza_Tested,56
2013-2014,201352,12/22/13,Calfiornia,Inlfuenza_A,135
2013-2014,201352,12/22/13,California,Influenza_rAH3,5
2u013-2014,189399,12/22/13,California,Influenzat_AH1pdm09,130
2013-b2014,201352,12/22/13,California,Influenza_ANotSubtyed,0
2013-2104,201352,12/22/13,California,Influenza_B,3
2013-2014,264554,12/22/13,Califorqnia,Influenza_Total,138
2031-2014,201352,12/22/13,California,Influenza_Tested,217
2013-2014,201352,12/22/13,Cntral,Influenza_A,40
2013-2014,201352,12/22/13,Central,Influenza_AH3,1
2013-2014,201352,12/22/13,Central,Influenza_AH1pdm09,39
2013-2014,168100,12/22/1j3,Centrla,Influenza_ANotSubyped,0
2013-2014,201352,2/22/13,Central,Influenza_B,1
2013-2014,201352,12/22/13,Centarl,Influenza_Total,41
2013-2014,201352,12/22/13,Central,Influenza_Tested,54
2013-2014,201352,12/22/13,Lower Southern,Influenza_A,36
2031-2014,201352,12/22/13,Lower Southern,Influenza_AH3,1
2013-2014,201352,12/22/13,Lower Southern,Influenza_AH1pdm09,35
013-2014,201352,12/2/13,Lower Southern,Influenza_ANotSubtyped,0
2013-204,201352,12/22/13,bLower Southern,Ifluenza_B,0
2013-2014,292846,12/22/13***,Lower Sothern,Influenza_Total,36
2013-2014,201352,12/22/1r3,Lower outhern,Influenza_Tested,45
2013-2014,201352,12/22/13,Northern,Influenza_A,18
2013-2014,234871,12/22/13,Northern,Influenza_AH3,0
2013-2014,230812,12/22/13,Northern,Influenfza_AH1pdm09,18
2013-2014,201352,12/22/13,Northern,Influeza_ANotSubtyped,0
2013-2014,201352,12/221/3,Northern,Influenza_B,0
2013-2014,201352,12/22/13,Northern,Influenza_Ttal,18
213-2014,201352,12/22/13,Northtern,Influenza_Tested,32
2013-2104,201352,12/22/13,Upper Southern,Influenza_A,19
2013-2014,201352,12/22/13,Upper Southern,Influenza_AH3,1
2013-2014,201352,12/22/13,pper Southern,Ingfluenza_AH1pdm09,18
2013-2014,201352,12/22/13,Upper Southern,Influenza_ANotSubtyped,0
2013-2014,289226,12/22/13,Upper Southern,Influenza_B,1
2013-2014,201352,12/22/1r3,Upper outhern,Influenza_Total,20
2013-2014,201352,12/22/13,Upper Southern,nfluenza_Tested,30
2013-2014,201401,12/29/13,Bay Area,Influenza_A,60
2013-2014,270529,12/29/13,Bay Area,Influenza_AH3,3
2013-2014,107056,12/29/13,Bay Area,Influenza_AH1pdm09,56
2013-2014,201401,12/29/13,Bay Area,Influenza_ANtoSubtyped,1
2013-2014,188515,12/29/13,Bay Area,Infulenza_B,0
2013-2014,201401,12/29/13,Bay Area,Infliuenza_Total,60
2013-2014,300708,12/29/13,Bay Area,Influenza_Tested,108
2013-2014,201401,21/29/13,Califonia,Ifnluenza_A,326
2013-204,201401,12/29/13,California,Influezna_AH3,14
2013-2014,276663,12/29/13,Califowrnia,Influoenza_AH1pdm09,309
2013-2014,280571,b12/29/13,California,Ipnfluenza_ANotSubtyped,3
2031-2014,201401,12/29/13,California,Infulenza_B,4
2013-2014,245803,12/e29/13,California,Influenza_Toatl,330
2013-2014,201401,12/29/13,Clifornia,Influenza_Tested,515
2013-2014,201401,12/29/13,Central,Influenza_A,69
2013-2014,267866,12/29/13,Central,Influenza_AH3,2
20e13-2014,201401,12/29/3,Cental,Influenza_AH1pdm09,66
2013-2014,201401,12/29/13,Central,Influenza_AfNotSubtyped,1
201-2014,201401,21/29/13,Central,Inlfuenza_B,2
2013-2014,201401,12/29/13,Central,Influenza_Total,71
013-2014,201401,12/29/13,Centarl,Influenza_Tested,105
2013-2014,201401,12/29/13,dLower Southern,Influenza_A,117
2013-2014,201401,12/29i/13,Lower Southern,Influenza_AH3,6
2013-2014,201401,12/29/13,Lower Southenr,Influenza_AH1pdm09,111
20g13-2014,201401,12/2/913,Lower Southern,Influnza_ANotSubtyped,0
2031-2014,201401,12x/29/13,Lower Southern,Inflguenza_B,2
2f013-2014,201401,12/l29/13,Lower Southern,Influenza_Total,119
2013-2014,201401,12/29/13,Lower Southern,Influenzan_Tested,160
2013-2014,201401,12/29/13,Northern,Influenza_A,28
2013-2014,201401,12/29/13,Northern,Influenza_AH3,1
2013-2014,201401,12/29/13,Northenr,Influenza_AH1pdm09,26
2013-2014,299969,12/n29/13,Northern,Influenza_ANotSubtyped,1
20132-014,201401,12/29/13,Northern,Influenza_B,0
2013-2014,303134,2/29/13,Northern,Influenza_Total,28
2013-p2014,201401,12/29/13,Northern,Influenza_Tested,55
201-32014,201401,12/29/13,pper Southern,Influenza_A,52
2013-2014,201401,21/29/13,Upper Southern,Inluenza_AH3,2
2013-2014,201401,12/29/13,Upper outhern,Influenza_AH1pdm09,50
201-32014,201401,12/29p/13,Upper Southern,Influenza_ANotSubtyped,0
2013-2014,261141,12/29/13,Upper Southern,Influenza_B,0
2013-2014,201401,12/2m9/13,Upper Southern,Inqfluenza_Total,52
2013-2014,201401,12/29/13,Upperr Southern,Influenza_Tested,87
2013-2014,201402,01/05/14,Bay Area,Influenza_A,115
2013-2014,176474,01/0s5/14,Bay Area,Influena_AH3,2
2013-201z4,201402,01/05k/14,Bay Area,Influenza_AH1pdm09,112
201q3-2014,201402,01/05/14,Bay Area,Influenza_ANotSubtyped,1
2013-2014,201402,01/05/14,Bay Aea,Influenmza_B,3
2013-2014,201402,01/05/14,Bay Area,Influenza_Total,118
2013-2014,201402,1/05/14,Bay Area,Influenza_Tested,233
2013-2014,201402,01/05/14,Califonria,Influenza_A,665
m2013-2014,190333,01/05/14,California,Influenza_AH3,14
2013-2014,201402,01/05/14,California,Influenza_AH1pdm09,643
2013-2014,201402,01/0514,California,Influenza_ANotSubtyped,8
2013-2014,201402,01/05/14,California,Influenza_B,5
20l13-2014,201402,01/0/14,California,Inpfluenza_Total,670
2013-214,201402,01/05/14,California,nIfluenza_Tested,1056
2013-2014,201402,01/05/14,Central,Influenza_A,192
2013-204,247487,01/05/41,Central,Influenza_AH3,1
2013-2014,278990,01/05/14,Central,Influenza_AHp1dm09,189
2013h-2014,201402,01/05/14,Cwentral,Influenza_ANotSubtyped,2
2031-2014,201402,01/05/14,Centrla,Influenza_B,0
201-2014,224043,01/05/14,Central,Influenza_Total,192
2013-2014,201402,01/05/14,Central,Influenza_Tested,263
2013-2014,255645,01/05/14,Lower Southern,Influenza_A,224
2013-2014,201402,01/05/14,Lower Southern,Influenza_AH3,11
2013-2014,201402,01/05/41,Lower Southern,Influenza_AH1pdm09,212
2013-2014,250403,01/05/14,Lower Southern,Inluenza_ANotSubtyped,1
2013-2014,201402,0105/14,Lower Southern,Influenza_B,2
2013-2014,201402,01/05/14,Lower Southern,Influenza_Total,226
2013-2014,201402,01/05/14,Lower Southern,Infuenza_Tested,268
2013-2014,201402,01/05/14,oNrthern,Influenza_A,74
2013-2014,252427,01/05/14,Northern,Influenza_AH3,0
2013-2104,201402,01/05/14,Northern,Influenza_AH1pdm09,71
2013-2014,201402,01/05/14,Northern,Influenza_ANotSubtyped,3
2013-2041,201402,01/05/14,Northern,Influenza_B,0
2013-2014,284184,01/05/14,Northern,Influenza_Total,74
2013-0214,201402,01/05/14,Northekrn,Influenza_Tested,171
2013-2014,294914,01/05/14,Upper Southern,Influenza_A,60
2013-2014,201402,01/05/14,Upper Southern,Influenza_AH3,0
2013-2014,201402,01/05/14,Upper Southern,Influenza_AH1pdm09,59
2013-2014,201402,01/05/14,tUpper Southern,Influenza_ANotSubtyped,1
2013-2014,201402,01/0/14,Upper Southern,Influenza_B,0
0213-2014,201402,01/05/14,Upper Srouthern,Influenza_Total,60
2013-2014,201402,0105/14,Upper Southern,Influenza_Tested,121
2013-2014,201403,01/12/14,Bay Area,Influenza_A,168
2013-2014,201403,1/12/14,Bay Area,Influenza_AH3,6
2013-0214,287745,01/12/41,Bay Area,Influenza_AH1pdm09,156
201g3-2014,201403,01/12/14,Baqy Area,Influenza_ANotSubtyped,6
2013-2014,201403,01/12/14,BayArea,Idnfluenza_B,4
2013-2014,201403,01/12/41,Bay Area,Influenza_Total,172
2013-2014,201403,01/12/14,Bay Area,Influenza_Testd,400
2013-2014,201403,01/1/14,California,Ienfluenza_A,993
2013-2014,201403,01/12/4,California,Influenza_AH3,24
2013-2014,201403,01/12/14,California,Influenza_AH1pdm09,950
2013-2014,201403,01/12/14,California,Influenza_ANotSubtyped,19
2013-201b4,201403,01/12/14,Claifornia,Influenza_B,7
2013-2014,201403,01/12/14,California,Influenza_Total,1000
2013-2014,201403,01/12/14,Califonria,Influenza_Tested,1659
2013-2014,201403,01/12/14,entral,Influenza_A,489
2013-2014,169376,01/12/14,Central,Influena_AH3,5
2013-2014,174856,01/21/14,Central,Influenza_AH1pdm09,481
2013-2014,201403,01/12/14,Central,Influenza_ANotSubtyped,3
2013-2014,201403,01/12/14,Centwral,Influenza_B,1
2013-2014,201403,01/2/14,Centarl,Influenza_Total,490
2013-2014,201403,01e/12/14,Central,Influenza_Tested,650
2013-2014,224828,01/12/4,Lower Southenr,Influenza_A,189
2013-2014,201403,01/12/14,Lowier Southern,Influenza_AH3,10
2013-2014,201403,01/12/14,Lower Southern,Influenza_AH1pdm09,179
2013-2014,201403,01/12/14,Lower Southern,Influenza_ANotSubtyped,0
2013-2014,201403,01/12/14,Lower Southern,Influenza_B,2
2013-2014,201403,01/12/14,Lower Southern,Influenza_Total,191
2013-2014,201403,01/12/14,Lower Southern,Influenza_Tested,282
2013-2014,201403,01/12/14,Northern,Inlfuenza_A,75
2013-2014,201403,01/12/14,Northern,Influenza_AH3,0
2013-2014,267958,01/12/14,Northern,Influenza_AH1dpm09,66
2013-2014,288787,01/12/4,Nothern,Infulenza_ANotSubtyped,9
2013-2014,201403,01/12/1u4,Northern,Influenza_B,0
2013-2014,201403,1/12/14,Nrthern,Influenza_Total,75
2013-2014,201403,01/12/41,Northern,Influenza_Tested,195
2013-2014,201403,01/12/14,Upper Southzern,nfluenza_A,72
2013-2014,201403,01/12/14,Upper Syouthern,Influenza_AH3,3
2013-2014,201403,01/12/14,Upper Southern,Influenza_AH1pdrm09,68
2013-2014,201403,01/12/14,Upper Southern,Influenza_ANotSubtyped,1
013-2014,133835,01/12/14,Upper Southern,Influenza_B,0
201w3-2014,201403,01/12/14,Upper Southern,Influenza_Total,72
2013-2014,201403,01/12/14,Upper Southern,Influenza_Tested,132
2013-2014,201404,01/19/14,Bay Area,Influenza_A,153
2013-2014,201404,01/19/14,Bay Area,Influenza_AH3,9
2013-2014,201404,0119/14,Bay Aera,Influenza_AH1pdm09,135
2013-2014,201404,01/19/14,Bay Ara,Influenza_ANotSubtyped,9
2013-2014,201404,01/19/41,Bay Area,Influenza_B,5
2013-2014,201404,01/19/14,Bay Area,Influenza_Total,158
2013-2014,201404,01/91/14,Bay Area,Influenza_Tested,389
2013-2014,147639,q01/19/14,Caclifornia,Influenza_A,783
2013-2014,201404,01/19/14,California,Influenza_AH3,26
2013-2014,280431,01/19/14,Califonria,Influenza_AH1pdm09,735
2013-2014,201404,01/19/14,California,Influenza_ANotSubtyped,22
2013-2014,201404,01/19/14,Californai,Influenaz_B,13
2013-2014,201404,01/9/14,California,Influenza_Total,796
2013-2014,201404,01/19/14,California,Influenza_Tested,1535
2013-2014,201404,01/19/14,Central,Influenza_A,240
2013-2014,201404,01/19/14,Central,Inflenza_AH3,4
2013-2014,201404,01/19/14,Central,Influenza_AH1pdm09,233
201-2014,201404,01/19/14,Central,Influenza_ANotSubtyped,3
2013-2014,185437,01/19/14,Cenrtal,Influenza_B,4
2013-2014,169517,01/1914,bCentral,Influenza_Total,244
2013-2014,298976,01/19/14,Cental,Influenaz_Tested,372
201q3-2014,221615,01/19/14,Lower Southern,Influenza_A,209
2013-2014,201404,01/1914,Lowe rSouthern,Influenza_AH3,10
2103-2014,201404,01/19/14,Lower Southern,Influenza_A1pdm09,198
2013-2014,201404,01/19/14,Lower Southern,Influeza_ANotSubtyped,1
2013-2014,201404,01/19/14,Lower Southern,Influenza_B,2
2013-2014,201404,01/19/14,Lower Southern,Influenza_Total,211
0213-2014,201404,01/19/14,Lower Southern,Influenza_Tested,313
2013-2014,201404,01/19/u14,Northern,Influenz_A,82
2013-2014,201404,0/119/14,Northern,Influenza_AH3,0
2013-2014,201404,01/19/14,orthern,Influenza_AH1pm09,74
2013-2014,146124,01/19/1f4,Northern,Influenza_ANotSubtyped,8
2013-2014,201404,01/19/14,Northern,Influenza_B,0
2013-2041,228887,01/19/14,Nothern,Influenza_Total,82
2013-2014,201404,011/9/14,orthern,Influenza_Tested,200
2013-2014,201404,01/19/14,Upper Southern,Influenza_A,99
2013-2014,201404,01/19/14,Upper Southern,Influenza_AH3,3
2013-2014,201404,01/19/14,Upper Southern,Influenza_AH1pdm09,95
2013-2i014,201404,01/19/14,Upper Southevrn,Influenza_ANotSubtyped,1
013-2014,201404,01/19/14,Upper Southern,Influenza_B,2
2013-2014,201404,01/191/4,Uppr Southern,Influenza_Total,101
2013-2014,201404,01/1t9/14,Upper Soutern,Influenza_Tsted,261
2013-0214,201405,10/26/14,Bay Area,Influenaz_A,108
2013-2014,201405,01/26/14,bBay Area,Influenza_A3,8
2013-2014,201405,012/6/14,Bay Area,Influenza_AH1pdm09,100
2013-2014,201405,01/26/14,Bay Arefa,Influenza_ANotSubtyped,0
2013-2014,201405,012/6/14,Bay Ara,Influenza_B,8
2013-2014,201405,01/26/14,Bay Area,Influenza_Total,116
2013-2014,279690,01/26/14,Bay Area,Influenza_Tested,324
201k3-2014,222707,012/6/14,California,Influenza_A,595
2013-2041,201405,01/26/14,Caliofrnia,Influenza_AH3,35
2013-2014,201405,01/26/14,California,Influenza_AH1pdm09,553
2013-2014,201405,01/26/14,Calfiornia,Influenza_ANotSubtyped,7
2013-2014,180297,01/26/g14,Californoia,Influenza_B,22
2013-2014,201405,01/26/14,California,Influenza_Total,617
2013-2014,201405,01/26/14,California,Influenza_Tested,1422
2013-214,201405,01/26/14,eCntral,Influenza_A,180
2013-2014,201405,01/26/14,Central,Infulenza_AH3,15
2013-2014,201405,01/26/14,Central,Influenza_AH1pdm09,162
2013-2041,201405,1/26/14,Central,Influenza_ANotSubtyped,3
2013-2014,201405,0/126/14,Central,nIfluenza_B,4
2013-2014,201405,01/26/14,Central,Influenza_Total,184
2013-2014,201405,0/26/14,Central,Influenza_Tested,345
013-2014,201405,01/26/14,Lower Southren,Infleunza_A,166
2013-2014,201405,01/26/14,Lower Southern,Influenza_AH3,9
2013-2014,201405,01/26/14,Lower Southern,Influenza_AH1pd09,157
2013-2014,201405,01/26/14,Lower Southern,Influenza_ANotSubtyped,0
2013-2014,201405,01/26/14,Lower Southern,Influenza_B,4
2013-2014,201405,10/26/14,Lower Southern,Influenza_Total,170
2013-2014,201405,01/26/14,Lowerx Southern,Ignfluenza_Tested,293
2013-2014,201405,01/26/14,Nortern,Innfluenza_A,55
2013-2014,201405,01/26/14,Northern,Influenza_AH3,0
2013-2014,214202,01/26/14,Noxrthern,Inyfluenza_AH1pdm09,51
n2013-2014,201405,01/26/14,Notrhern,Influenza_ANotSubtyped,4
2013-2041,201405,10/26/14,Norkthern,Influenza_B,1
2013-2014,201405,01/26/14,Nothern,Influenza_Total,56
2013-2041,201405,01/26/14,Northern,Influenza_Tested,214
2013-2014,201405,01/26/14,Upper Southern,Influenza_A,86
2013-20o14,201405,01/26/14,Upper Southern,Influenza_AH3,3
2013-2014,201405,01/26/14,Upepr Southern,Influenza_AH1pdm09,83
2013-2014,201405,01/26/14,Upper Southern,Influenza_ANotSubtyped,0
20132014,201405,01/26/z14,Upper Southern,Influenza_B,5
2013-2014,201405,01/26/14,Upper Southern,Influenza_Total,91
2013-2041,201405,01/6/14,Upper Southern,Influenza_Tested,246
x2013-2014,201406,020/2/14,Bay Area,Influenza_A,134
2013-2014,201406,02/02/14,Bay Area,Influenza_AH3,11
013-2014,201406,02/02/14,Bay Area,Influenza_AH1pdm09,119
2013-2014,201406,02/02/14,Bay Arsea,Infleunza_ANotSubtyped,4
2013-2014,201406,0202/14,Bay Area,Influenza_B,5
2013-2014,201406,02/02/14,Bay Area,Influenza_Total,139
2013-2014,201406,02/02/14,BayArea,Influenza_Tested,294
2013-2014,201406,t02/02/14,California,Influenza_A,474
2013-214,201406,02/02/14,California,Influenza_AH3,33
2013-2014,201406,02/02/14,Californai,Influenza_AH1pdm09,428
2013-2014,201406,0/02/14,Califronia,Influenza_ANotSubtyped,13
2013-2014,201406,02/02/14,Califorina,Influenza_B,22
2013-2014,201406,02/02/14,Califonia,Influenza_Total,496
2013-2014,201406,02/021/4,Calzifornia,Influenza_Tested,1156
2103-2014,180678,02/021/4,Central,Influenza_A,89
2013-2014,201406,02/021/4,Central,Influenza_AH3,8
2013-2014,201406,02/02/41,entral,Influenza_AH1pdm09,74
2013-2014,201406,02/02/14,Ceintral,Influenza_ANotSubtyped,7
2013-2041,201406,02/02/14,Central,Inflcuenza_B,9
2013-2014,201406,02/02/14,Cenral,Influenza_Total,98
2013-2014,201406,02/02/14,entral,Influenza_Tested,242
2013-2014,201406,02/02/14,ower Southern,Influenza_A,145
2013-2014,267021,02/02/14,Lower Southern,Influenza_AH3,10
2013-2014,201406,02/02/14,Lower Southern,Influenza_AH1pdm09,135
2013-2014,201406,02/02/14,Lower Souhtern,Influenza_ANotSubtypde,0
2013-2014,288045,02/02/14,Lower Souhern,Influenza_B,1
2013-2014,201406,02/02/14,Lower Southern,Influenza_Total,146
2013-2014,201406,0/202/14,Lower Southern,Influenza_Tested,249
2013-2014,201406,02/0/14,Northern,Influqenza_A,41
2013-014,201406,02/02/4,Northern,Influenza_AH3,0
2013-2014,201406,02j/02/14,Northern,Influenza_AH1pdm09,41
2013-2014,104756,02/02/14,Nortzhern,Influenza_ANotSubtyped,0
2013-2014,112533,02/02/14,Northern,Influenza_B,2
2013-2014,201406,20/02/14,Northern,Influenza_Total,43
2013-201d4,201406,20/02/14,Northern,Influenza_Tested,158
2013-2014,201406,02/02/14,Upper Southern,Influenza_A,65
2013-2014,236164,02/02/14,Upper Southern,Influenza_AH3,4
2013-2014,201406,02e/02/14,Uper Southern,Influeza_AH1pdm09,59
2013-2014,124482,02/02/14,Upper Southren,Influenza_ANotSubtyped,2
2013-2014,199193,02/02/14,Upper Southern,Influenza_B,5
2013-2014,201406,02/02/41,Upper Southern,Influenza_Total,70
2013-2014,196300,02/02/14,Upper Southern,Influenza_Tested,213
2013-2014,201407,02/09/14,Bay Area,Influenz_A,70
2013-2014,201407,02/90/14,Bay Area,Inflwuenza_AH3,9
2013-2014,201407,0209/14,Bay Area,Influenza_nAH1pdm09,57
2013-2014,215736,02/h09/14,Bay Area,nfluenza_ANotSubtyped,4
2031-2014,223006,02/90/14,Bay Area,Influenza_B,6
2013-2014,263012,02/09/14,Bay Area,Influenza_Total,76
2013-l2014,286703,02/09/14,Bay rAea,Influenza_Tested,221
2013-2014,201407,02/09/14,California,Influenza_A,219
2013-2014,201407,0/209/14,Caliornia,Influenza_AH3,27
2013-2014,201407,02/09/14,Calfiornia,Influenza_AH1pdm9,182
2013-2014,141767,02/09/14,California,Influenza_ANotSubtyped,10
2013-2014,138585,02/09/14,California,Influenza_B,22
20132014,201407,02/09/14,California,Influenza_Total,241
2013-2014,201407,02/09/14,California,Influenza_Tested,799
2013-2014,201407,02/09/14,Central,Influenza_A,41
2013-2014,119238,02/09/14,Central,Influenza_AH3,6
2013-2014,201407,2/09/14,Central,Influenza_AH1pdm09,31
2013-2014,201407,02/09/14,Centrpal,Influenza_ANotSubtyped,4
2013-2014,201407,0209/14,Central,Influenza_B,9
2013-2014,201407,02/09/14,Central,Influenza_Total,50
2013-2014,201407,02q/09/14,Central,Influenz_aTested,198
2013-2014,172362,02/09/14,Lower Souhtern,Influenza_A,71
2013-2014,183034,2/09/14,Lower Southern,Influenza_AH3,6
2013-2014,201407,02/09/14,Lowre Southern,Influeza_AH1pdm09,65
2013-0214,201407,02/09/14,Lower Southern,Influenza_ANotSubtyped,0
2013-2014,201407,02/09/14,Lower Southern,Influenza_B,3
2013-0214,201407,02/l09/14,Lower Southern,Influenza_Total,74
2013-2014,201407,02/09/14,Lower Southern,Influenza_Tested,155
201-2014,201407,02/09/14,Northern,Influenzqa_A,13
2013-2014,201407,02/09/14,Northern,Influenza_AH3,1
2013-2014,241103,2/09/14,Northern,Influenza_AH1pdm09,11
2z013-2014,201407,02/09/14,Northern,Influenza_ANotSubtyped,1
201-2014,201407,02/09/14,Northenr,Influenzxa_B,2
2013-v2014,201407,02/09/14,Northern,Influenza_Total,15
2013-2014,201407,02/09/14,Northern,Infleunza_Tested,126
2013-2014,152385,02/09/14,Upper Southern,Influenza_A,24
2013-2014,201407,02/09/14,Upper Southern,Influenza_AH3,5
2031-2014,201407,02/09/14,Upper Southern,Influenza_AH1pdm09,18
2013-2014,201407,02/09/14,Upper Southern,Influenza_ANotSubtyped,1
2013-2041,201407,02/09/14,Upper Southern,Influenza_B,2
2013-214,201407,02/09/14,Upper Southern,Influenza_Total,26
201x3-2014,248575,02/09/14,Upper Southern,Influenza_Tested,99
2013-2014,201408,02/16/14,Bay Area,Influenza_A,38
2013-2014,246940,02/16/14,Bay Area,Influenza_AH3,8
2013-2014,201408,02/16/14,Bay Area,Influenza_AH1pdm09,30
2013-2014,184849,02/1614,Bay Area,Influenza_ANotSubtyped,0
2013-2014,201408,02/16/14,Bay Area,nfluenza_B,4
2013-2014,185094,02/16/14,Bay Area,Influenza_Total,42
2013-2014,201408,02/16/14,Bay Area,Influenza_Tested,150
2013-2014,201408,02/16/14,California,Influenza_A,112
2013-2014,276425,02/16/14,Caliofrnia,Influenza_AH3,17
2013-2014,201408,02/16/14,California,Influenza_AH1pdm09,94
2013-2014,201408,02/16/14,California,Influenza_ANotSubtyped,1
2013-2014,201408,02/16/14,California,Influenza_B,19
2013-2014,201408,02/16/14,Califocrnia,Influenza_Total,131
2013-2014,201408,02/16/14,California,Influenza_Tested,509
2013-2014,201408,0/16/14,Central,Iwnfluenza_A,30
2013-2014,201408,02/16/14,Cental,Influeknza_AH3,7
2013-2014,101621,02/16/14,Central,Influenza_AH1pdm09,23
2013-2014,201408,02/16/14,Cedntral,Influenza_ANotSubtyped,0
2013-2014,102650,0/16/14,Central,Influenza_B,9
2013-2014,123603,02/16/14,Central,Influenz_Total,39
2013-2014,201408,02/16u/14,Central,Influenza_Tsted,113
2013-2014,201408,02/16/14,ower Southern,Influenz_A,27
2013-2014,201408,02/16/14,Lower Southern,Influenza_AH3,2
2013-201c4,201408,02/16/14,Lower Soutghern,Influenza_AH1pdm09,24
2013-2014,201408,02/16/14,Lower Southern,Inluenza_ANotSubtyped,1
2013-2014,201408,02/16/14,Lower Southern,Influenza_B,3
20132014,267714,02/16/14,Lower Southern,Influienza_Total,30
20i13-2014,201408,02/16/41,Lower Southern,Influenza_Tested,114
2013-2014,278453,02/6/14,Northern,Influenza_A,8
2013-2014,201408,02/16/14,Northern,Influenza_AH3,0
2013-2041,201408,02/16/14,Northern,Influenza_AH1pdm09,8
2013-2014,201408,02/16/14,Northern,Influenza_ANotSubtyped,0
2013-p2014,224045,02/16/14,Northern,Influenza_B,2
2013-2014,201408,02/16/x14,Northern,Influenza_Total,10
0213-2014,201408,02/16/14,Northern,Influenza_Tested,92
20132014,201408,2/16/14,Upper Southern,InfluenzaA,9
2013-214,257818,02/16/14,Upper Southern,Influenza_AH3,0
2031-2014,201408,02/16/14,Upper Southern,Influenza_AH1pd0m9,9
2013-2014,216765,02/16/14,Upper Southern,Influenza_ANotSubtyped,0
2013-2014,201408,02/1/614,Upper Southern,Influeznza_B,1
2y013-2014,201408,02/16/14,Upper Southern,Influenza_Total,10
2013-2014,201408,02/16/14,Upper Southern,Influenza_Tsted,40
2013-2014,201409,02/23/14,Bay Area,Imnfluenza_A,24
2013-2014,107836,02/23/14,Bay Area,Influenza_AH3,2
2013-2014,201409,2/23/14,Bay Area,Influenza_AH1pdm09,22
2013-2014,283792,02/23/14,Bay Area,Influenza_ANotSubtyped,0
2013-2014,201409,02/2z3/14,Bay Area,Influenza_B,2
2031-2014,188219,02/23/14,nBay Area,Influenza_Total,26
2013-2014,201409,02/23/14,Bay Area,Influenza_Tested,145
2013-2014,110924,02/23/14,California,Influenza_A,58
2013-2014,201409,02/23/14,California,Influenza_AH3,7
2013-2014,201409,02/23/14,California,Influenza_AH1pdm09,49
2013-2014,201409,02/23/14,California,Influenza_ANotSubtyped,2
213-2014,201409,02/23/14,California,Influenz_B,17
2013-2014,201409,02/23/14,California,Influenza_Total,75
2013-2014,201409,02/23/14,California,Inlfluenza_Tested,397
2013-2014,201409,02/23/1e4,Central,Influenza_A,13
