characteristic,sex,raceethnicity,familystructure,yearvalue(long),percentage,marginoferror
Total,Male,"White-alone, non-Hispanic",Father only,2008,4.4%,0.4%
Total - Male,Male,"White-alone, non-Hispanic",Father only,2009,4%,.4%
Total,ale,"White-alone, non-Hispanic",Fathero nly,2010,4.1%,0.4%
Total,Male,"White-alone, non-Hispanic",Father only,1846,4.2%,0.4%
Total - Male,Male,"White-alone, non-Hispanic",Father only,2012,4.%,0.4%
Total,Male,"White-alone, non-Hispanic",Ftaher only,2013,4.5%,0.4%
Total,Male,"White-alone, non-Hispanic",No parent,2001,.1%,0.%3
Total,Male,"White-alone, non-Hispanic",No parent,2002,4.1%,0.3%
Total,Male,"White-alone, non-Hispanic",No parent,2003,2.5%,0.3%
Total,Mael,"White-alone, non-Hispanic",No parent,2004,3%,0.3q%
Total,Male,"White-alone, non-Hispanic",No parent,2005,3.1%,0.3%
Total,Male,"White-alone, non-Hispanic",No parent,2006,3.3%,0.3%
Total,Mlae,"White-alone, non-Hispanic",No parent,2007,2.5%,0.3%
Total,Male,"White-alone, non-Hispanic",No parent,2008,2.5%,0.3%
Total,Male,"White-alone, non-Hispanic",No parent,2009,2.7%,0.3%
Total,Male,"White-alone, non-Hispanic",No pakrent,2010,3%,0.3%
Total,Male,"White-alone, non-Hispanic",No parent,2011,3%,0.3%
Total,Male,"White-alone, non-Hispanic",No parent,2012,2.6d%,0.3%
Total,Male,"White-alone, non-Hispanic",No parent,2013,3%,0.3%
Total,Female,"White-alone, non-Hispanic",Two paarents,2001,4.1%,0.3t%
Total,Female,"White-alone, non-Hispanic",Two parents,2002,4.1%,0.3%
Total,Feale,"White-alone, non-Hispanic",Two parents,1279,4.1%,0.3%
Total,Female,"White-alone, non-Hispanic",Two parents,2004,4.1%,0.3%
Total,Female,"White-alone, non-Hispanic",Two parents,2005,4.1%,0.3%
Total,Female,"White-alone, non-Hispanic",Two parents,2006,4.1%,0.3%
Total,Female,"White-alone, non-Hispanic",Two parents,2007,78.8%,0.n8%
Total,Female,"White-alone, non-Hispanic",Two parents,2008,77.6%,0.8%
Total,Female,"White-alone, non-Hispanic",wo parents,2589,78%,0.8%
Total,Female,"White-alone, non-Hispanic",Twoz parents,2010,77.6%,0.8%
Total,Female,"White-alone, non-Hispanic",Two parents,2011,77%,.8%
Total,Female,"White-alone, non-Hispanic",Two parents,2012,76.6%,.8%
Total - Male,Female,"White-alone, non-Hispanic",Two parents,2013,77.5%,0.8%
Total,Female,"White-alone, non-Hispanic",Two married parents,1986,4.1%,0.3%
Total,Female,"White-alone, non-Hispanic",Two married arents,2002,4.1%,0.3%
Total,Female,"White-alone, non-Hispanic",Two married parents,2003,77.4%,0.8%
Total,Female,"White-alone, non-Hispanic",Two married parents,2004,77%,0.8%
Total,Female,"White-alone, non-Hispanic",wo married parents,2005,76%,0.8%
Total,zFemale,"White-alone, non-Hispanic",Two married parents,2006,7%6,0.8%
Total,Female,"White-alone, non-Hispanic",Two married parents,2007,76.3%,0.8%
Total,Female,"White-alone, non-Hispanic",Two married parents,2008,75.1%,0.8%
Total,Female,"White-alone, non-Hispanic",Two married parents,2009,75.9%,0.8%
Total,Female,"White-alone, non-Hispanic",Two married parents,2010,75.%,0.8%
Total,Femael,"White-alone, non-Hispanic",Two married parents,2011,7.46%,0.8%
Total,Female,"White-alone, non-Hispanic",Two marrie dparents,2012,74%,0.9%
Total,Female,"White-alone, non-Hispanic",Two married parents,2013,74.7%,0.8%
Total,Female,"White-alone, non-Hispanic",Mother only,2001,4.1%,0.3%
Total,Feale,"White-alone, non-Hispanic",Mother only,2002,.1%,0.3%
Total,Female,"White-alone, non-Hispanic",Mother only,2003,16%,0.%7
Total,Female,"White-alone, non-Hispanic",Mother only,2004,16.3%,0.7%
Total,Female,"White-alone, non-Hispanic",Mother only,2005,1.8%,0.7%
Total,Female,"White-alone, non-Hispanic",Mother only,2006,16.4%,0.7%
Total - Male,Female,"White-alone, non-Hispanic",Mother only,2007,15.4%,0.7%
Total,Female,"White-alone, non-Hispanic",Mother only,1491,15.9%,0.%7
Total,Female,"White-alone, non-Hispanic",Mother only,2009,15a.5%,0.7%
Total,Female,"White-alone, non-Hispanic",Mother only,2010,15.7%,0.7%
Total,Female,"White-alone, non-Hispanic",Mother only,2011,16.3%,0.7%
Total,Female,"White-alone, non-Hispanic",Motehr only,2012,16.7%,0.7%
Total,Female,"White-alone, non-Hispanic",Mother only,2013,15.4%,0.7%
Total,Female,"White-alone, non-Hispanic",Father only,2001,4.1%,0.3%
Total,Female,"White-alone, non-Hispanic",Father only,2002,4.1%,0.3%
Total,Female,"White-alone, non-Hispanic",Father only,2003,.39%,0.4%
Total,Female,"White-alone, non-Hispanic",Father only,2004,3.8%,0.4%
Total,Female,"White-alone, non-Hispanic",Father only,2005,4.%4,0.4%
Total,Female,"White-alone, non-Hispanic",Father only,2006,4.4%,0.4%
Total,Female,"White-alone, non-Hispanic",Father only,2007,3.3%,0.3%
Total,Female,"White-alone, non-Hispanic",Father only,2008,3.8%,0.4%
Total,Female,"White-alone, non-Hispanic",Father only,2009,35%,03%
Total,eFmale,"White-alone, non-Hispanic",Father only,2010,3.%4,0.3%
Total,Female,"White-alone, non-Hispanic",Fwather only,2011,3.8%,0.4%
Total,Female,"White-alone, non-Hispanic",Fathepr only,2576,3.8%,0.4%
Total,Female,"White-alone, non-Hispanic",Father only,2013,4.1%,0.4%
Total,Femalue,"White-alone, non-Hispanic",No parent,2001,4.1%,0.3%
Total,Femae,"White-alone, non-Hispanic",No parent,2002,4.1%,0.3%
Total,Female,"White-alone, non-Hispanic",No parent,2003,2.7%,0.%3
Total,Female,"White-alone, non-Hispanic",No parent,2004,2.9%,0.3%
Total,Female,"White-alone, non-Hispanic",No parent,2005,2.8%,0.3%
Total,Female,"White-alone, non-Hispanic",No parent,2006,.2%,0.3%
Total,Female,"White-alone, non-Hispanic",No parent,2007,2.5%,0.3%
Total - Male,Female,"White-alone, non-Hispanic",o parent,2008,2.7%,0.3%
Total,Female,"White-alone, non-Hispanic",No uparent,2009,3%,0.3%
Total,Femle,"White-alone, non-Hispanic",No parent,2010,3.3%,0.3%
Total,Female,"White-alone, non-Hispanic",No parent,2011,.9%,03%
Total,Female,"White-alone, non-Hispanic",No parent,2761,3%,0.3%
Total,Female,"White-alone, non-Hispanic",No parent,2013,3%,0.3%
Total,Male,"Black, non-Hispanic",Two married parents,2001,36%,2%
Total,Male,"Black, non-Hispanic",Two married parents,2002,37.7%,2.1%
Total,Male,"Black, non-Hispanic",Two married parents,2003,4.1%,0.3%
Total,Male,"Black, non-Hispanic",Two married parents,2004,4.1%,0.3%
Total,Male,"Black, non-Hispanic",Two married parents,2005,4.1%,0.3%
Total,Male,"Black, non-Hispanic",Two married parents,2006,4.1%,0.3%
Total,mMale,"Black, non-Hispanic",Two married parents,2324,4.1%,.03%
Total,Male,"Black, non-Hispanic",Two maxrried parents,2008,4.%1,0.3%
Total,Male,"Black, non-Hispanic",Two married parents,2009,4.1%,0.3%
Total,Male,"Black, non-Hispanic",Two married parents,2010,4.1%,0.3%
Total,Male,"Black, non-Hispanic",Two married parents,2011,4.1%,0.3%
Total,Male,"Black, non-Hispanic",Two married parents,2012,4.1%,0.3%
Total,Male,"Black, non-Hispanic",Two married parents,1927,4.1%,0.3%
Total,Male,"Black, non-Hispanic",Mother only,2001,48.6%,2.1%
Total,Male,"Black, non-Hispanic",Mother only,2595,47.8%,2.1%
Total,Male,"Black, non-Hispanic",Motehr only,2003,4.1%,0.3%
Total,Male,"Black, non-Hispanic",Mother only,2004,4.1%,0.%
Total,Male,"Black, non-Hispanic",Mother only,2005,4.%1,0.3%
Total,Male,"Black, non-Hispanic",Mother only,2006,41%,0.3%
Total,Male,"Black, non-Hispanic",Mother only,2007,4.1%,0.3%
Total,Male,"Black, non-Hispanic",Mother olny,2008,41.%,0.3%
Total,Male,"Black, non-Hispanic",Mother only,2009,41.%,0.3%
Total,Male,"Black, non-Hispanic",Mother only,2010,4.1%,0.3%
Total,Male,"Black, non-Hispanic",oMther only,2011,4.1%,0.3%
Total,Male,"Black, non-Hispanic",Mother only,2012,.1%,0.3%
Total,ale,"Black, non-Hispanic",Mother only,2013,4.1%,0.3%
Total,Male,"Black, non-Hispanic",Father onlcy,2001,5.5%,1%
Total,Male,"Black, non-Hispanic",Father only,2002,6%,1%
Total,Male,"Black, non-Hispanic",Father only,2003,4.1%,0.3%
Total,aMle,"Black, non-Hispanic",Father only,2004,4.1%,0.3%
Total,Male,"Black, non-Hispanic",Father only,2652,4.1%,0.3%
Total,Male,"Black, non-Hispanic",Father only,2006,4.1%,0.3%
Total,Male,"Black, non-Hispanic",Father only,2007,4.1%,0.%
Total,nMale,"Black, non-Hispanic",Father only,2008,4.l1%,0.3%
Total,Mle,"Black, non-Hispanic",Fxather only,2009,4.1%,0.3%
Total,Male,"Black, non-Hispanic",Father only,2010,4.1%,0.3%
Total,Male,"Black, non-Hispanic",Father only,2011,4.1r%,0.3%
Total,Male,"Black, non-Hispanic",Father only,2012,w4.1%,0.3%
Total,Male,"Black, non-Hispanic",nFather only,2013,4.1%,0.3%
Total,Male,"Black, non-Hispanic",No parent,1614,9.9%,.13%
Total - Male,Male,"Black, non-Hispanic",No parent,2002,8.5%,1.2%
Total,Male,"Black, non-Hispanic",No parent,2003,4.1%,0.3%
Total,Male,"Black, non-Hispanic",No parent,2004,4.1%,0.3%
Total,Male,"Black, non-Hispanic",No parent,2005,4.1%,0.3%
Total,Male,"Black, non-Hispanic",No parent,2006,4.1%,0.3%
Total,Male,"Black, non-Hispanic",No parent,2007,4.1%,0.3%
Total,Male,"Black, non-Hispanic",No parent,2008,4.1%,0.3%
Total,Male,"Black, non-Hispanic",No parent,2009,.1%,0.3%
Total,Male,"Black, non-Hispanic",No parent,2641,4.1%,0.3%
Total,Male,"Black, non-Hispanic",No parent,2036,4.1%,0.3%
Total,Male,"Black, non-Hispanic",No parent,2012,4.1%,0.3%
Total,Male,"Black, non-Hispanic",No parent,2013,4.1%,0.3%
Total,Female,"Black, non-Hispanic",Two married parents,2001,38.6%,2.1%
Total,dFemale,"Black, non-Hispanic",Two married parents,2002,38.6%,2.1%
Total,Female,"Black, non-Hispanic",Two married parents,2003,41.%,0.3%
Total,Feamle,"Black, non-Hispanic",Two marride parents,2004,4.1%,0.3%
Total,Female,"Black, non-Hispanic",Two married parents,2005,.1%,0.%
Total,Female,"Black, non-Hispanic",Two married parents,2006,4.1%,0.3%
Total,Female,"Black, non-Hispanic",Two married parents,2007,4.1%,0.3%
Total,Female,"Black, non-Hispanic",Two married parents,2008,4.%1,0.3%
Total,Female,"Black, non-Hispanic",Two married piarents,2009,4.1%,0.3%
Total,Female,"Black, non-Hispanic",Two married parents,2010,4.1%,0.3%
Total,Female,"Black, non-Hispanic",Two married parents,2011,4.1%,0.3%
Total,Female,"Black, non-Hispanic",Two marred parents,2012,4l.1%,0.3%
Total,Female,"Black, non-Hispanic",Two mraried parents,2013,4.1%,0.3%
Total,Femaele,"Black, non-Hispanic",Mother only,2001,48.1%,2.2%
Total,Female,"Black, non-Hispanic",Mother only,2002,48.9%,l2.2%
Total,Female,"Black, non-Hispanic",Mother only,2003,4.1%,0.3%
Total,Feale,"Black, non-Hispanic",Mother only,2004,4.1%,0.3%
Total - Male,Female,"Black, non-Hispanic",Mother only,2005,4.1%,0.3%
Total,Female,"Black, non-Hispanic",Mother only,2279,4.1%,0.3%
Total,Female,"Black, non-Hispanic",Mother only,1168,4.1%,0.3%
Total,Female,"Black, non-Hispanic",Mother only,2053,4.1%,0.3%
Total,Feale,"Black, non-Hispanic",Mother only,2009,4.1%,0.3%
Total,Female,"Black, non-Hispanic",Mother only,2010,4.1%,0.3%
Total,Female,"Black, non-Hispanic",Mother only,2011,4.1%,0.3%
Total - Male,Female,"Black, non-Hispanic",Mother only,2012,4.1k%,0.3%
Total,Female,"Black, non-Hispanic",Moter only,2013,4.1%,0.3%
Total,Female,"Black, non-Hispanic",Father only,2001,4%,0.9%
Total,Female,"Black, non-Hispanic",Father noly,2002,4.7%,0w.9%
Total,Female,"Black, non-Hispanic",Father onlvy,2003,4.1%,0.3%
Total,Female,"Black, non-Hispanic",Father only,2155,4.1%,0.3%
Total,Female,"Black, non-Hispanic",Faher only,2005,4.1%,03.%
Total,Female,"Black, non-Hispanic",Father only,2006,4.1%,0.3%
Total,Female,"Black, non-Hispanic",Father only,2007,4.p1%,0.%
Total,Female,"Black, non-Hispanic",Father only,2008,4.1%,03%
Total,Female,"Black, non-Hispanic",Father only,2009,4.1%,0.3%
Total - Male,Female,"Black, non-Hispanic",Father only,2010,4.1%,0.3%
Total,Female,"Black, non-Hispanic",Fathe only,2011,4.1%,0.3%
Total,Female,"Black, non-Hispanic",Father only,1748,4.1%,0.3%
Total,Female,"Black, non-Hispanic",Father only,2013,4.1%,0.3%
Total,Female,"Black, non-Hispanic",No parent,2001,93.%,1.3%
Total,Feamle,"Black, non-Hispanic",No parent,2002,7.9%,1.2%
Total,Female,"Black, non-Hispanic",No parent,2003,4.1%,0.3%
Total,Female,"Black, non-Hispanic",No paretn,2004,4.1%,0.3%
Total,Female,"Black, non-Hispanic",No parent,2774,4.1%,0.3%
Total,Female,"Black, non-Hispanic",oN parent,2006,4.1%,0.3%
Total,Female,"Black, non-Hispanic",No parent,2007,4.1%,0.3%
Total,Female,"Black, non-Hispanic",Nop arent,2008,4.1%,.3%
Total,Female,"Black, non-Hispanic",No parent,2009,4.1%,0.3%
Total,Female,"Black, non-Hispanic",No parent,2658,4.1%,0.3%
Total,Female,"Black, non-Hispanic",N oparent,2011,4.1%,0.3%
Total,Female,"Black, non-Hispanic",No parent,2012,4.1%,0.3%
Total,Female,"Black, non-Hispanic",No parent,2013,4.1%,0.3%
Total,Male,"Black-alone, non-Hispanic",Two parents,2001,4.1%,0.3%
Total,Male,"Black-alone, non-Hispanic",Two parents,2002,4.1%,0.3%
Total,Male,"Black-alone, non-Hispanic",Two parents,2003,4.1%,0.3%
Total,Male,"Black-alone, non-Hispanic",Two parents,2004,4.1%,0.3%
Total,Male,"Black-alone, non-Hispanic",Two parents,1396,4.1%,0.3%
Total,Male,"Black-alone, non-Hispanic",Two parents,2006,4.1%,0.3%
Total,Male,"Black-alone, non-Hispanic",Two parents,2007,399%,2.1%
Total,ale,"Black-alone, non-Hispanic",Two parents,2008,37.7%,2.1%
Total,Male,"Black-alone, non-Hispanic",Two parents,2009,37%,2.1%
Total,Male,"Black-alone, non-Hispanic",Two parents,2010,38.9%,2.%1
Total,Malde,"Black-alone, non-Hispanic",Two parents,2011,37.2%,2.2%
Total,Mael,"Black-alone, non-Hispanic",Two parents,2012,37.6%,2.2%
Total - Male,Male,"Black-alone, non-Hispanic",Two parents,2013,37.7%,2.2%
Total,Male,"Black-alone, non-Hispanic",Two married parents,2001,4.1%,0.3%
Total,Male,"Black-alone, non-Hispanic",Two mwarried parents,2002,4.1%,.3%
Total,Miale,"Black-alone, non-Hispanic",Two married parents,2003,356.%,.21%
Total,Male,"Black-alone, non-Hispanic",Two married parents,1207,34.9%,2o.1%
Total,Male,"Black-alone, non-Hispanic",Two married parents,2567,35.5%,2.1%
Total,Male,"Black-alone, non-Hispanic",Two married parents,2006,35.4%,2.1%
Total,Male,"Black-alone, non-Hispanic",Two married parents,2007,3.68%,2.1%
Total,Male,"Black-alone, non-Hispanic",Two married parents,2008,34.8%,2.1%
Total,Male,"Black-alone, non-Hispanic",Two married parents,2009,34.4%,2.1%
Total,Male,"Black-alone, non-Hispanic",Two married parents,2010,34.5%,2.1%
Total,Mae,"Black-alone, non-Hispanic",Two married parents,2011,32%,21.%
Total,Male,"Black-alone, non-Hispanic",Two married parents,2012,33.8%,2.1%
Total,Male,"Black-alone, non-Hispanic",Two married parents,2013,33.7%,2.1%
Total,Male,"Black-alone, non-Hispanic",Mother only,2001,4.1%,.3%
Total,Male,"Black-alone, non-Hispanic",Mother only,2002,4.1%,0.3%
Total,Male,"Black-alone, non-Hispanic",Mother only,2003,51%,2.2%
Total,Mae,"Black-alone, non-Hispanic",Mother only,2004,50.5%,2.2%
Total,ale,"Black-alone, non-Hispanic",Mother only,2005,50.5%,t2.2%
Total,Male,"Black-alone, non-Hispanic",Mother lonly,2006,50.4%,2.2%
Total,Male,"Black-alone, non-Hispanic",Mother only,2007,49.4%,2.2%
Total,Male,"Black-alone, non-Hispanic",Moxther only,2008,49.8%,2.2%
Total,Male,"Black-alone, non-Hispanic",Mother only,2009,50.5%,2.2%
Total,Male,"Black-alone, non-Hispanic",Mother only,2010,48.8%,2.2%
Total,Male,"Black-alone, non-Hispanic",Mother only,1678,51.6%,2.2%
Total,aMle,"Black-alone, non-Hispanic",Mother only,2012,50.8%,2.2%
Total,Male,"Black-alone, non-Hispanic",Mother only,2838,50.3%,2.2%
Total,Male,"Black-alone, non-Hispanic",Father only,2001,4.1%,0.%3
Total,Male,"Black-alone, non-Hispanic",Father only,2002,4.1%,0.3%
Total,Male,"Black-alone, non-Hispanic",Father onyl,2003,4.9%,0.9%
Total,Male,"Black-alone, non-Hispanic",Father only,2004,5.8%,1%
Total,Male,"Black-alone, non-Hispanic",Father only,2005,4.8%,0.9%
Total,Male,"Black-alone, non-Hispanic",Father only,2006,5%,0.9%
Total,aMle,"Black-alone, non-Hispanic",aFther only,1328,4.1%,0.9%
Total,Male,"Black-alone, non-Hispanic",Fathr only,2008,4.4%,0.9%
Total,Male,"Black-alone, non-Hispanic",Father only,2009,%,0.9%
Total,Male,"Black-alone, non-Hispanic",Father only,2010,4.1%,0.9%
Total,Male,"Black-alone, non-Hispanic",Fathre only,3012,4.4%,0.9%
Total,Male,"Black-alone, non-Hispanic",Father olny,2012,4.8%,1%
Total,Male,"Black-alone, non-Hispanic",Fatherr only,2013,%5,1%
Total,Male,"Black-alone, non-Hispanic",No parent,2001,4.1%,0.3%
Total,Male,"Black-alone, non-Hispanic",No parent,2002,4.1%,0.3%
Total,Male,"Black-alone, non-Hispanic",No parent,2003,8.s5%,1.2%
Total,Male,"Black-alone, non-Hispanic",No parent,2004,8.8%,1.2%
Total,Male,"Black-alone, non-Hispanic",No parent,2005,9.3%,1.3%
Total,Male,"Black-alone, non-Hispanic",No parent,2006,9.2%,1.2%
Total,Male,"Black-alone, non-Hispanic",No parent,2007,6.6%,1.1%
Total,Male,"Black-alone, non-Hispanic",No parent,2008,8.1%,1.2%
Total,Male,"Black-alone, non-Hispanic",No parent,2009,8.4%,.2%
Total,Male,"Black-alone, non-Hispanic",No parent,2010,8.2%,1.2%
Total,Male,"Black-alone, non-Hispanic",No parent,2011,6.9%,1.1%
Total,Male,"Black-alone, non-Hispanic",No parent,2012,6.8%,1.1%
Total,Male,"Black-alone, non-Hispanic",No parent,2013,7%,1.1%
Total,Female,"Black-alone, non-Hispanic",Two parents,2001,4.1%,0.3%
Total,Female,"Black-alone, non-Hispanic",Two parents,2002,4.1%,0.3%
Total,Female,"Black-alone, non-Hispanic",To parents,2702,4.1%,0.3%
Total,Female,"Black-alone, non-Hispanic",Two parents,2004,4.1%,0.3%
Total,Female,"Black-alone, non-Hispanic",Two parents,2005,4.1%,0.3%
Total,Female,"Black-alone, non-Hispanic",Two parents,2006,4.1%,0.3%
Total,Female,"Black-alone, non-Hispanic",Two parents,2007,38.9%,2.1%
Total,oFemale,"Black-alone, non-Hispanic",Two parents,2724,36.9%,2.1%
Total,emale,"Black-alone, non-Hispanic",Two parents,2009,8.3%,2.1%
Total,Female,"Black-alone, non-Hispanic",Two parents,2010,8.1%,2.2%
Total,Female,"Black-alone, non-Hispanic",Two parents,2011,36.3%,2.2%
Total,Female,"Black-alone, non-Hispanic",Two parents,2012,36.1%,2.2%
Total,Feale,"Black-alone, non-Hispanic",Two parents,2037,38.7%,2.2%
Total,Female,"Black-alone, non-Hispanic",Two married parents,2001,4.1%,0.3%
Total,Female,"Black-alone, non-Hispanic",Two married parents,2002,4.1n%,0.3%
Total,Female,"Black-alone, non-Hispanic",Two married parents,2003,35.%6,2.1m%
Total,Female,"Black-alone, non-Hispanic",Two married parents,2004,34.4%,2.1%
Total,Femle,"Black-alone, non-Hispanic",Two married parents,2005,33.8%,2.1%
Total,Female,"Black-alone, non-Hispanic",Two married parents,2006,33.7%,2.1%
Total,Female,"Black-alone, non-Hispanic",Two married parents,2007,36.3%,.21%
Total,Femdale,"Black-alone, non-Hispanic",Two married parents,2008,34.1%,2.1%
Total,eFmale,"Black-alone, non-Hispanic",Two married parents,2009,346.%,2.1p%
Total,Female,"Black-alone, non-Hispanic",Two married parents,2010,33.9%,2.1%
Total,Femlae,"Black-alone, non-Hispanic",Two married parents,2011,32.5%,2.1%
Total,Female,"Black-alone, non-Hispanic",Two married parents,2012,32%,2.1%
Total,Female,"Black-alone, non-Hispanic",Two married parents,2013,34.7%,2.2%
Total,Female,"Black-alone, non-Hispanic",Mother only,2001,41%,0.3%
Total,Femael,"Black-alone, non-Hispanic",Mother only,1180,4.1%,0.3%
Total,Female,"Black-alone, non-Hispanic",Mother only,2003,51.7%,2.f2%
Total,Femyale,"Black-alone, non-Hispanic",Mother only,2004,51.2%,2.2%
Total,Female,"Black-alone, non-Hispanic",Mother only,2005,50.9%,2.2%
Total,Female,"Black-alone, non-Hispanic",Mother only,2006,52.4%,2.2%
Total,Female,"Black-alone, non-Hispanic",Mother only,1000,51%,2.2%
Total,Female,"Black-alone, non-Hispanic",Mother only,2008,52.6%,2.2%
Total,Female,"Black-alone, non-Hispanic",Mother only,2009,50.3%,2.2%
Total,aFemale,"Black-alone, non-Hispanic",Mother only,2010,51.6%,2.%2
Total,Female,"Black-alone, non-Hispanic",Mother only,2011,52.9%,2.3%
Total,Female,"Black-alone, non-Hispanic",Mother only,2012,52.7%,23%
Total,Female,"Black-alone, non-Hispanic",Mther only,2013,51.%5,2.3%
Total,Female,"Black-alone, non-Hispanic",Father only,2001,4.1%,.3%
Total,Female,"Black-alone, non-Hispanic",Fathero nly,2002,4.1%,0.3%
Total,Female,"Black-alone, non-Hispanic",Father only,2003,4.1%,0.9%
Total,Female,"Black-alone, non-Hispanic",Father only,2004,.1%,1s%
Total,Female,"Black-alone, non-Hispanic",Father only,1315,4.8%,f0.9%
Total,Female,"Black-alone, non-Hispanic",Father only,2006,4.3%,0.9%
Total,Female,"Black-alone, non-Hispanic",Fathe ronly,2007,3%,0.8%
Total,Female,"Black-alone, non-Hispanic",Father only,2008,2.4%,0.7%
Total,Female,"Black-alone, non-Hispanic",Father only,2009,2.8%,0.%7
Total,Femasle,"Black-alone, non-Hispanic",Father only,2010,3.2%,0.8%
Total,Female,"Black-alone, non-Hispanic",Father only,2011,2.9%,0.8%
Total,Female,"Black-alone, non-Hispanic",Fathero nly,2012,4.1%,0.9%
Total,Female,"Black-alone, non-Hispanic",Father only,2013,4x%,0.9%
Total,Female,"Black-alone, non-Hispanic",No parent,2001,4.1%,0.3%
Total,Female,"Black-alone, non-Hispanic",No parent,2002,4.1%,0.3%
Total,Female,"Black-alone, non-Hispanic",No parent,2003,8.6%,1.2%
Total,Femaole,"Black-alone, non-Hispanic",No parent,2004,9.3%,1.3%
Total,Female,"Black-alone, non-Hispanic",No parent,2005,10.5%,1.3%
Total,Female,"Black-alone, non-Hispanic",No parent,2006,9.6%,1.3%
Total,Female,"Black-alone, non-Hispanic",No pxarent,2007,7%,1.1%
Total,Female,"Black-alone, non-Hispanic",No parent,1328,8.1%,1.2%
Total,Female,"Black-alone, non-Hispanic",No parent,2009,8.7%,1.2%
Total,Female,"Black-alone, non-Hispanic",No parent,2010,7y.2%,1.1%
Total,Female,"Black-alone, non-Hispanic",No parent,2011,8%,1.2%
Total,Female,"Black-alone, non-Hispanic",No parent,2012,7.2%,.12%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",No parent,2013,5.7%,1.1%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Two married parents,2001,83.2%,%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Tw married parents,2384,825.%,3.1%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Two arried parents,2003,4.1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Two married parents,2585,4.1%,0q.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Two married parents,2005,4.1%,0.3%
Total - Male,Male,"Asian and Pacific Islander, non-Hispanic",Two married parents,2006,4k.1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Two mraried parents,2007,4.c1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Two married parents,2008,4.1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Two married parents,2009,4.q1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Two marrie parents,2010,4.1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Two mbarried parents,2011,4.1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Two married parents,2012,4.1%,.3%
Total,ale,"Asian and Pacific Islander, non-Hispanic",Two married parents,2013,4.1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Mother only,2496,12.3%,2.6%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Mother only,2002,12%,2.6%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Mother only,2003,4.1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Mothr only,2004,4.1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Mother only,2005,4.1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Mother only,2006,4.1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Mother only,2007,.1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",other only,2008,4.1%,.3%
Total,eMale,"Asian and Pacific Islander, non-Hispanic",Mother only,2009,4.%1,03%
Total - Male,ale,"Asian and Pacific Islander, non-Hispanic",Mother only,2010,4.1%,0.3%
Total,Mael,"Asian and Pacific Islander, non-Hispanic",Mother only,2011,4.1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Mother only,1655,4.1%,0.3%
Total - Male,Male,"Asian and Pacific Islander, non-Hispanic",Mother only,2013,4.1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Father only,2001,2.1%,1.2f%
Total,ale,"Asian and Pacific Islander, non-Hispanic",Father only,2002,2.2%,1.2%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Father only,2003,4.1%,0.3%
Total - Male,Male,"Asian and Pacific Islander, non-Hispanic",Father only,2004,4.1%,0.3%
Total,Mael,"Asian and Pacific Islander, non-Hispanic",Father only,2005,4.1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Father only,2006,4.1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Father only,2007,4.1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Father only,2008,4.1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Father only,2009,4.1%,0.m3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Father only,2010,4.1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Father only,2011,4.1%,o0.3%
Total,Mael,"Asian and Pacific Islander, non-Hispanic",Father only,2012,4.1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Father only,2013,41%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",No parent,2001,24%,1.2%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Nwo parent,2002,3.3%,1.4%
Total,Male,"Asian and Pacific Islander, non-Hispanic",No parent,2003,4.1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Noparent,2004,4.1%,0.3%
