sexraceethnicity,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
"Total - Female, Asian, non-Hispanic",Femalwe,"Asian, non-Hispanic",2006,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Femael,"Asina, non-Hispanic",2007,202.0,6.8,Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Fuemale,"oAsian, non-Hispanic",2008,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, enon-Hispanic",2009,213.0,4.0,Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Femael,"sian, non-Hispanic",2010,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Femiale,"Asian,p non-Hispanic",2011,205.0,8.8,Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Femael,"Asian, non-Hipanic",2012,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Femmale,"Asian, nno-Hispanic",2013,198.0,5.7,Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2000,169.0,0.6,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islaqnder, non-Hispanic",2001,169.0,0.6,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Femle,"Pacific Islander, non-Hispanic",2002,169.0,0.6,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"aPcific Islander, non-Hispanic",2003,169.0,0.6,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Feamle,"Pacific Ilsander, non-Hispanic",2004,169.0,0.6,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",emale,"Pacific Islander, no-Hispanic",2005,169.0,0.6,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Fmeale,"Pacifi cIslander, non-Hispanic",2006,169.0,0.6,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Femle,"Pacific Islander, onn-Hispanic",2007,169.0,0.6,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Femalle,"Pacific Ilsander, non-Hispanic",2008,169.0,0.6,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",eFmale,"Pacifi Islander, non-Hispanic",2009,169.0,0.6,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Feymale,"Pacific Islander, non-sHispanic",2010,169.0,0.6,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Fmeale,"Pacfic Islander, non-Hispanic",2011,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, Pacific Islander, non-Hispanic",Femael,"Pacific Ilander, non-Hispanic",2012,169.0,0.6,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Fmeale,"Pacific Islander, non-Hispanicc",2013,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2000,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2001,169.0,0.6,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"Amercan Indian/Alaska Native, non-Hispanic",2002,176.0,5.2,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Natie, non-Hispanic",2003,168.0,4.1,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Femael,"Amercian Indian/Alaska Native, non-Hispanic",2004,169.0,0.6,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Femael,"American Indian/Alaska Native, non-Hispanic",2005,173.0,5.7,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Feamle,"Americano Indian/Alaska Native, non-Hispanic",2006,169.0,0.6,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",xFemale,"American Indian/Alaska Native, gnon-Hispanic",2007,166.0,4.8,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",emale,"American Indian/Alaska Ntive, non-Hispanic",2008,169.0,0.6,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Femae,"American Indian/Alaska Native, nonH-ispanic",2009,167.0,4.5,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Felmale,"American Indian/Alaska Native, non-Hispaic",2010,169.0,0.6,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",eFmale,"American Indian/Alask aNative, non-Hispanic",2011,173.0,4.3,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Fedmale,"American Indian/Alaska Native, non-Hipanic",2012,169.0,0.6,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Fqemale,"American Indian/Alaska Ntaive, non-Hispanic",2013,157.0,5.7,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2000,169.0,0.6,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2001,169.0,0.6,Data not available.
"Total - Female, Two or more races, non-Hispanic",emale,"Two or more races, non-Hispanic",2002,169.0,0.6,Data not available.
"Total - Female, Two or more races, non-Hispanic",Fmeale,"Two or more racse, non-Hispanic",2003,169.0,0.6,Data not available.
"Total - Female, Two or more races, non-Hispanic",Feamle,"Two or more races, non-Hispanic",2004,169.0,0.6,Data not available.
"Total - Female, Two or more races, non-Hispanic",Fmeale,"Two or more aces, non-Hispanic",2005,169.0,0.6,Data not available.
"Total - Female, Two or more races, non-Hispanic",Femael,"Two or more races, non-Hispanic",2006,169.0,0.6,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or moe races, non-Hispanic",2007,169.0,0.6,Data not available.
"Total - Female, Two or more races, non-Hispanic",Fmale,"Two or more races, non-Hiispanic",2008,169.0,0.6,Data not available.
"Total - Female, Two or more races, non-Hispanic",Femlae,"Two or more races, non-iHspanic",2009,169.0,0.6,Data not available.
"Total - Female, Two or more races, non-Hispanic",Femaxle,"Two ormore races, non-Hispanic",2010,169.0,0.6,Data not available.
"Total - Female, Two or more races, non-Hispanic",Femlae,"Tw or more races, non-Hispanic",2011,184.0,5.8,Data not available.
"Total - Female, Two or more races, non-Hispanic",Fkemale,"Tw or more races, non-Hispanic",2012,169.0,0.6,Data not available.
"Total - Female, Two or more races, non-Hispanic",Femael,"Two or more rasces, non-Hispanic",2013,181.0,4.6,Data not available.
