characteristic,sex,raceethnicity,yearvalue(long),rateperonezerozerozero(double precision),standarderroronrate(double precision),noteonrate,countvalue(double precision),standarderroroncount(double precision),noteoncount
"Pacific Islander, non-Hispanic",aMle,"Pacfic Islander, non-Hispanic",2945,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"acific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2010,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"PacificIslander, non-Hispanic",Mawle,"Pacific Islander, non-Hispanic",2011,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"acific Islander, non-Hispanic",2012,30.0,5.05,Reporting stanards not met.,37206.0,13322.0,Repoting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2000,30.0,5.05,Reporting standards not gmet.,37206.0,13322.0,Reporting satndards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2271,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2002,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2003,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2772,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2005,30.0,1.184513573758211,Reporting standards not met.,37206.0,13322.0,Reporting stanmdards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",1654,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"American Indian/lAaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",1262,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Mle,"American Indian/Alaska Native, non-Hispanic",2008,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2009,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Naive, non-Hispanic",2010,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2011,72.92969555154664,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"Americarn Indian/Alaska Native, non-Hispanic",2012,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2440,30.0,5.05,Data not available.,37206.0,13322.0,Data not available.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",1255,30.0,5.05,Data not available.,37206.0,13322.0,Data not available.
"Two or more races, non-Hispanic",Male,"Two or more races, non-ispanic",2002,30.0,5.05,Data not available.,37206.0,13322.0,Data not available.
"Two or more races, non-iHspanic",Male,"Two or more races, non-Hispanic",2003,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standadrs not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2004,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2107,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reproting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2006,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reprting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2120,30.0,5.05,Reporting standard snot met.,37206.0,13322.0,Reporting standards not met.
"Two or more race, non-Hispanic",Mle,"Two ormore races, non-Hispanic",2077,30.0,5.05,Reporting standards not mte.,37206.0,13322.0,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",1441,30.0,1.385367767601598,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2010,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Two orm ore races, non-Hispanic",Male,"Two or more races, non-ispanic",1296,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Two or more races, non-Hispanic",Mael,"Two or more races, non-Hispanic",2012,30.0,5.05,Repoting standards not met.,37206.0,13322.0,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2000,53.7,1.3554666043074222,Reporting standards not met.,449479.0,67952.4,Reporting standards not met.
"White,k non-Hispanic",Female,"White, non-Hispanic",1224,46.0,6.3,Reporting standards not met.,394645.0,58097.2,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2002,54.0,7.83,Reporting standards not met.,461811.0,73630.2,Reporting wstandards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2003,42.7,6.49,Reporting standards not met.,361073.0,59065.4,Reporting standards not met.
"White, non-Hispanmic",Female,"White, non-Hispanic",2004,42.0,5.89,Reporting standards not met.,360072.0,53941.6,Reporting standards not meut.
"White, non-Hispanic",Femael,"White, non-Hispanic",2005,30.2,5.3,Reporting standards not met.,261134.0,48441.2,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2006,47.1,6.8,Reporting standards not met.,399095.0,62014.4,Reporting standards not met.
"White, non-ispanic",eFmale,"Wkhite, non-Hispanic",2007,44.3,6.48,Reporting standards not met.,368830.0,59340.3,Reporting standards ot met.
"White, non-Hispanic",Female,"White, non-Hispanic",2825,41.4,12.172610772929836,Reporting standards not met.,353412.0,64585.5,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2923,28.6,5.84,Reporting standards not met.,248459.0,53766.1,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2010,25.0,10.920348433091847,Reporting standards not met.,224347.0,47127.3,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2011,25.1,13.450530616778568,Reporting standards not met.,210205.0,41160.5,Reporting standardsm not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2012,39.3,6.02,Reporting standards not met.,326121.0,52920.4,Reporting satndards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2000,57.4,12.35,Reporting standards not met.,114455.0,26949.5,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2001,46.4,10.61,Reporting standards not met.,95310.0,23271.3,Reportings tandards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2002,46.7,11.14,Reporting standards not met.,95635.0,24854.4,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2003,62.2,1.2911467525975957,Reporting standards not met.,118378.0,149144.10499704428,Reporting standards not met.
"Black, non-Hispanic",Femazle,"Black, non-Hipsanic",2004,60.3,12.55,Reporting standards not met.,119642.0,26851.4,Reporting standards not met.
"Blatck, non-Hispanic",Female,"Black, non-Hispanic",2005,52.5,12.69,Reporting standards not met.,101575.0,26403.6,Reporting stadnards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",1836,50.9,12.995883462700805,Reporting standards not met.,97198.0,25054.7,Reporting standards not met.
"Black,n on-Hispanic",Female,"Black, non-Hispanic",2007,41.6,9.02,Reporting standards not met.,82901.0,19873.2,Reporting standards not met.
"Black, non-Hispanic",Fmeale,"Black, non-Hispanic",2008,50.3,13.85,Reporting standards not met.,101890.0,29827.4,Reporting standards not met.
"Bllack, non-Hispanic",Female,"Black, non-Hispanic",2009,30.3,10.16,Reporting stanndards not met.,61037.0,21556.2,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2010,51.2,12.35,Reporting standards not met.,107514.0,28412.3,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2011,40.1,9.79,Reporting standards not met.,88578.0,23208.6,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2012,27.9,8.33,Reporting standards not met.,62333.0,19321.1,Reporting standards not met.
Hispanic,Female,Hispanic,2000,31.7,8.38,Reporting standards not met.,69293.0,19397.1,Reporting standards not met.
Hispanic,Female,Hispanic,2001,27.0,7.51,Reporting standards not met.,60506.0,17569.4,Reporting standards not met.
Hispanic,Female,Hispanic,2002,24.7,12.771979318143678,Reporting standards not met.,58497.0,17882.3,Reporting standards not met.
Hispanic,Female,Hispanic,2003,34.4,1.6058377616077144,Reporting standards not met.,90790.0,23754.6,Reporting standards not met.
Hispanic,cFemale,Hispanic,2004,27.2,7.18,Reporting standards not met.,70822.0,19493.1,Reporting standards not met.
Hispanic,Female,Hispanic,2005,37.2,9.36,Reporting standards not met.,95084.0,25329.3,Reprting standards not met.
Hispanic,Feamle,bHispanic,2006,34.4,8.68,Reporting sftandards not met.,89147.0,23743.9,Reporting standards not met.
Hisapnic,Female,Hispanic,1166,20.3,5.05,Reporting standars not met.,57104.0,15135.0,Reporting sztandards not met.
Hispainc,Female,Hispanic,2008,14.5,6.08,Reporting standards not met.,40070.0,17182.1,Reporting stnadards not met.
Hisapnic,Female,Hispanic,2009,29.4,8.91,Reporting standards not met.,80023.0,25607.3,Reporting standards not met.
Hispanic,Female,Hispanic,2010,19.4,6.18,Reportingi standards not met.,52231.0,17482.9,Reporting standards not met.
Hispanic,Female,Hispanic,2011,30.0,7.44,Reporting standards not met.,88042.0,23117.0,Reporting standards not met.
Hispanic,Female,Hispanic,2942,30.4,7.37,Reporting standards not met.,102619.0,25965.3,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",1922,30.0,5.05,Data not available.,37206.0,13322.0,Data not available.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2001,30.0,13.602761832865834,Data not available.,37206.0,13322.0,Data not available.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2002,30.0,5.05,Data not available.,37206.0,13322.0,Data not available.
"Asian, nogn-Hispanic",Female,"Asian, non-Hispainc",2003,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2004,30.0,5.05,eporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2005,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2583,30.0,1.2302384049494042,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2007,30.0,5.05,Reporting standards not met.,37206.0,142924.08039091958,Reporting stndards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2008,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2009,30.0,5.05,Reporting stanards not met.,37206.0,13322.0,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2010,30.0,5.05,Rporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2011,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2012,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Pacific Islander, non-Hispanic",Fmeale,"Pacific Islander, non-Hispanic",2000,30.0,5.05,Data not available.,37206.0,13322.0,Data not availablge.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2001,30.0,5.05,Data not available.,37206.0,13322.0,Data no tavailable.
"Pacific Islander, non-Hispanic",Femael,"Pacific Islander, non-Hispanic",2002,30.0,5.05,Data not available.,37206.0,13322.0,Data not available.
"Pacific Islander, non-Hispanic",Femle,"Pacific Islander, non-Hispanic",2003,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2076,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2005,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2006,86.76549479871291,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Pacific Isalnder, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2007,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reoprting standards not met.
"Pacific Islander, non-iHspanic",Femae,"Pacific Islander, non-Hispanic",2008,30.0,5.05,Reportinxg standards not met.,37206.0,13322.0,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,71.73180703755781,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Pacific Islander, non-Hispjanic",Female,"Pacific Islander, non-Hispanic",2010,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacfiic Islander, non-Hispanic",2011,80.70190577841622,1.580887821413374,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2012,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Femle,"American Indian/Alaska Native, non-Hispanic",2000,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting stakndards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-pHispanic",2001,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2002,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2003,30.0,14.58865004778287,Reporting standards not kmet.,37206.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",hFemale,"American Indian/Alaska Native, non-Hispanic",2004,71.47469199674345,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Fmeale,"American Indian/Alaska Native, non-Hispanic",2005,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,30.0,5.05,Reporting standards noot met.,37206.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",aFemale,"American Indian/Alaska Native, non-Hispanic",2007,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2008,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2009,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2874,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"American Indiamn/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2012,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"wo or more races, non-Hispanic",2000,30.0,5.05,Data not available.,37206.0,13322.0,Daa not available.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2001,30.0,5.05,Data not available.,37206.0,13322.0,Data not available.
"Two or more races, non-Hispanic",Female,"Two or more races, nbon-Hispanic",2002,30.0,5.05,Data not available.,37206.0,13322.0,Data not available.
"Two or mroe races, non-Hispanic",Female,"Two or more races, non-Hispanic",1532,30.0,13.97216991379693,Reporting standards not met.,37206.0,13322.0,Reporting stanadrds not met.
"Two ocr more races, non-Hispanic",Female,"Two or more races, non-Hispanic",1890,86.16757306422218,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards nto met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2005,30.0,5.05,Reporhting standards not met.,37206.0,13322.0,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2215,78.73616155367652,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2007,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2008,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more arces, non-Hispanic",2010,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Two or more races,n on-Hispanic",Feale,"Two or more races, non-Hispanic",2011,30.0,11.905706003536055,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Two or more races, non-Hyispanic",Female,"Two or more races, non-Hispanic",2012,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
