AGENCY NO,STATE AGENCY,PROPERTY CLASSIFICATION,TYPE OF PROPERTY,NAME OF BUILDING,PHYSICAL ADDRESS,CITY,COUNTY,YEAR PROPERTY ACQUIRED,PURPOSE - BUILDING,SECTION,TOWNSHIP,RANGE,LEGAL DESCRIPTION,SQUARE FEET OF STRUCTURE (NUMBER ONLY),ACRES ASSOCIATED WITH A STRUCTURE (NUMBER ONLY),ADDITIONAL DESCRIPTION OF SIZE/SPACE (TEXT AND NUMBER),LIST VALUE,ADDITIONAL DESCRIPTION OF LIST VALUE,% OF PROPERTY BEING UTILIZED,YEAR BUILT,OCCUPANCY RATE OF THE BUILDING,ADDITIONAL DESCRIPTION OF OCCUPANCY RATE,STATE EMPLOYEES AT THIS LOCATION (FTE) NUMBER ONLY,ADDITIONAL DESCRIPTION OF FTE,% OCCUPIED BY THE STATE,ADDITIONAL DESCRIPTION OF % OCCUPIED BY STATE,% OF THE BUILDING BEING LEASED OR SUBLEASED,ADDITIONAL DESCRIPTION % BUILDING LEASED OR SUBLEASED,"USAGE BY STATE: DAILY, WEEKLY, MONTHLY - BUILDING",ACRES,ACRES USED BY STATE,ADDITIONAL DESCRIPTION OF ACRES (TEXT AND NUMBER),PURPOSE - LAND,"USAGE BY STATE: DAILY, WEEKLY, MONTHLY - LAND",% OF ACRES OF THE LAND BEING LEASED OR SUBLEASED,ADDITIONAL DESCRIPTION % LAND LEASED OR SUBLEASED,VACANT SQUARE FOOTAGE,LISTED ON THE NATIONAL REGISTER OF HISTORIC PLACES,LISTED WITH THE NATIONAL TRUST FOR  HISTORIC PRESERVATION,PROPERTY IS OF POTENTIAL HISTORIC SIGNIFICANCE,RISK MGMT #,AGENCY INVENTORY ID,ESTIMATED VALUE
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,LAUNDRY/WAREHOUSE,GRIFFIN MEMORIAL HOSPITAL,"900 EAST MAIN STREET, BLDG 33",NORMAN,CLEVELAND,1950,LAUNDRY - WAREHOUSE,29,9N,2W,"NE/4 OF SECTION 29, T9N, R2W",17792,.99,,,,0,1950,0,,,,0,,,,WEEKLY,,,,,,,,,,,,452-04555,,129373
240,EASTERN OKLAHOMA STATE COLLEGE,OWNED,DORMITORY,SALMON HALL,1301 W. MAIN,WILBURTON,LATIMER,1908,MEN'S DORMITORY,8,5N,19E,,"25,090",,,,,0,1968,0,,,,0,,,,,,,,,,,,,,,,240-01296,,125450
150,UNIVERSITY OF SCIENCE AND ARTS,OWNED,RESIDENCE HALL,ADDAMS HALL,1875 WEST ALABAMA AVE,CHICKASHA,GRADY,1939,VACANT RESIDENCE HALL,32,7N,7W,,"22,236",,,"200,000",,0,1939,,,,,0,,,,,,,,,,,,22236,yes,,,150-01175,,111180
530,OKLAHOMA PANHANDLE STATE UNIVERSITY,OWNED,ACADEMIC BUILDING,FRANKLIN HALL,227 COLLAGE STREET,GOODWELL,TEXAS,1914,VACANT,35,2,13,,"17,280",,,"1,200,000",,0,1914,0,,,,0,,,,,,,,,,,,,,,,530-04394,,86400
090,OMES,OWNED,LAND,,NE 28TH AND CRESTON DR,OKLAHOMA CITY,OKLAHOMA,,,24,12N,3W,SW QTR,,,,,,0,,,,,,,,,,,14.9,,VACANT,,,,,,,,,,,86132
230,EAST CENTRAL UNIVERSITY,OWNED,VACANT LOT,VACANT LOT,213 and 215 North Francis,ADA,PONTOTOC,,Future Parking,34,4N,6E,SW QTR,,0.22,,,,0,,,,,,,,,,,0.22,0.22,,FUTURE PARKING,,,,,,,,,,83000
105,OCIA,OWNED,LINCOLN RENAISSANCE LAND #7,,NE 28 & STYLES,OKLAHOMA CITY,OKLAHOMA,2008,VACANT LAND,22,12N,3W,,,,,"40,500",PURCHASE PRICE,0,,,,,,,,,,,0.4695,,,LINCOLN RENAISSANCE,,,,,,,,,,81804
230,EAST CENTRAL UNIVERSITY,OWNED,VACANT LOT,VACANT LOT,12th and Center SW Corner,ADA,PONTOTOC,,Future Parking,34,4N,6E,SW QTR,,0.22,,,,0,,,,,,,,,,,0.22,0.22,,FUTURE PARKING,,,,,,,,,,70000
230,EAST CENTRAL UNIVERSITY,OWNED,VACANT LOT,VACANT LOT,13th and Center SE Corner,ADA,PONTOTOC,,Future Parking,34,4N,6E,SW QTR,,0.31,,,,0,,,,,,,,,,,0.31,0.31,,FUTURE PARKING,,,,,,,,,,65000
150,UNIVERSITY OF SCIENCE AND ARTS,OWNED,RESIDENCE HALL,ROBERTSON HALL,1875 S. 17TH,CHICKASHA,GRADY,1935,VACANT RESIDENCE HALL,32,7N,7W,,"12,354",,,"200,000",,0,1935,0,,,,0,,,,,,,,,,,,12354,yes,,,150-01190,,61770
470,MURRAY STATE COLLEGE,OWNED,DORMITORY,POE HALL,802 S MURRAY CAMPUS,TISHOMINGO,JOHNSTON,1908,VACANT,9,4S,6E,,"11,976",,,"548,920.00",,0,1917,0,,,,,,,,,,,,,,,,11976,YES,,,470-04695,,59880
485,NORTHEASTERN STATE UNIVERSITY,OWNED,DORMITORY,WILSON HALL,703 N GRAND,TAHLEQUAH,CHEROKEE,1909,DORMITORY,28,17N,22E,,59252,,,"6,636,224",,0,1937,0,,2,,100,,,,DAILY,,,,,,,,,,,,485-04332,Bldg #32,59252
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,INPATIENT FORSENSIC CENTER,OKLAHOMA FORENSIC HOSPTIAL - BLDG 10,24800 S. 4420 ROAD,VINITA,CRAIG,1943,VACANT INPATIENT HOSPITAL,11,25N,20E,"SECTION 11, TOWNSHIP 25 NORTH, RANGE 20 EAST",58775,540,ACREAGE IS FOR TOTAL CAMPUS,,,0,1943,0,,,,0,,,,,,,,,,,,,,,,452-04278,,58775
531,ROSE STATE COLLEGE,OWNED,LAND,,NE 10TH AND MIDWEST BLVD,MIDWEST CITY,OKLAHOMA,2012,VACANT LAND,26,12N,2WIM,,,,VACANT LAND,"371,770",,0,,,,,,0,VACANT LAND,,,,10.9,,,EASEMENTS,VACANT LAND,,,,,,,,300778,58718
230,EAST CENTRAL UNIVERSITY,OWNED,VACANT LOT,FUTURE PARKING LOT,1036 E. 10TH STREET,ADA,PONTOTOC,,VACANT LOT,34,4N,6E,SW QTR,,,,,,0,,100,,,,100,,,,DAILY,.43,.43,,FUTURE PARKING LOT,,,,,,,,230-11344,,53500
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,INPATIENT FORSENSIC CENTER,OKLAHOMA FORENSIC HOSPTIAL - ADAMS HALL,24800 S. 4420 ROAD,VINITA,CRAIG,1951,VACANT INPATIENT HOSPITAL,11,25N,20E,"SECTION 11, TOWNSHIP 25 NORTH, RANGE 20 EAST",51445,540,ACREAGE IS FOR TOTAL CAMPUS,,,0,1951,0,,,,0,,,,,,,,,,,,,,,,452-04276,,51445
230,EAST CENTRAL UNIVERSITY,OWNED,FUTURE PARKING LOT,906 14TH,906 E. 14 ST,ADA,PONTOTOC,,VACANT LOT,34,4N,6E,SW QTR,0,,,0,,0,2012,0,,,,0,,0,,N/A,.20,.2,,FUTURE PARKING LOT,,,,,,,,,,48000
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,INPATIENT FORSENSIC CENTER,OKLAHOMA FORENSIC HOSPTIAL - BLDG 9,24800 S. 4420 ROAD,VINITA,CRAIG,1952,VACANT INPATIENT HOSPITAL,11,25N,20E,"SECTION 11, TOWNSHIP 25 NORTH, RANGE 20 EAST",40078,540,ACREAGE IS FOR TOTAL CAMPUS,,,0,1952,0,,,,0,,,,,,,,,,,,,,,,452-04277,,40078
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,INPATIENT FORSENSIC CENTER,OKLAHOMA FORENSIC HOSPITAL 7 BLDG,24800 S. 4420 ROAD,VINITA,CRAIG,1930,VACANT INPATIENT HOSPITAL,11,25N,20E,"SECTION 11, TOWNSHIP 25 NORTH, RANGE 20 EAST",38238,540,ACREAGE IS FOR TOTAL CAMPUS,,,0,1930,0,,,,0,,,,,,,,,,,,,,,,452-04273,,38238
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,INPATIENT FORSENSIC CENTER,OKLAHOMA FORENSIC HOSPITAL - BLDG 8,24800 S. 4420 ROAD,VINITA,CRAIG,1945,VACANT INPATIENT HOSPITAL,11,25N,20E,"SECTION 11, TOWNSHIP 25 NORTH, RANGE 20 EAST",38238,540,ACREAGE IS FOR TOTAL CAMPUS,,,0,1945,0,,,,0,,,,,,,,,,,,,,,,452-04275,,38238
105,OCIA,OWNED,LINCOLN RENAISSANCE LAND #5,,EUBANKS AND LINCOLN,OKLAHOMA CITY,OKLAHOMA,2001,VACANT LAND,22,12N,3W,,,,,"89,900",PURCHASE PRICE,0,,,,,,,,,,,0.2074,,,LINCOLN RENAISSANCE,,,,,,,,,,36136
230,EAST CENTRAL UNIVERSITY,OWNED,VACANT LOT,VACANT LOT,9th and Francis SW Corner,ADA,PONTOTOC,,Future Parking,34,4N,6E,SW QTR,,0.22,,,,0,,,,,,,,,,,0.22,0.22,,PARKING LOT,,,,,,,,,,30000
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,LAND,WARR ACRES LAND,5903 NW 52ND STREET,WARR ACRES,OKLAHOMA,20+,VACANT LAND,9,12N,4W,"PORTION OF BLK 2, SE 1/4, SE 1/4 OF SECTION 9, T12N, R4W",,,,,,0,,,,,,,,,,,0.9366,0,,VACANT LAND,,,,,,,,,,30000
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,INPATIENT FORSENSIC CENTER,OKLAHOMA FORENSIC HOSPITAL  - HAYS TREATMENT CENTER,24800 S. 4420 ROAD,VINITA,CRAIG,1953,VACANT INPATIENT HOSPITAL,11,25N,20E,"SECTION 11, TOWNSHIP 25 NORTH, RANGE 20 EAST",28574,540,ACREAGE IS FOR TOTAL CAMPUS,,,0,1953,0,,,,0,,,,,,,,,,,,,,,,452-04274,,28574
470,MURRAY STATE COLLEGE,OWNED,Rental House,House,406 S Murray,TISHOMINGO,JOHNSTON,2013,Rental House,,,,,"1,080",,,"28,000",,0,1955,0,,,,0,,,COLLEGE IS SELLING PROPERTY,,,,,,,,,,,,,,,28000
105,OCIA,OWNED,LINCOLN RENAISSANCE LAND #1,,629 NE 28TH,OKLAHOMA CITY,OKLAHOMA,2010,LAND BEHIND BANKING BUILDING,22,12N,3W,,,,,"57,500",PURCHASE PRICE,0,,,,,,,,,,,0.1492,,,LAND FOR BANKING BUILDING,,,,,,,,,,25997
230,EAST CENTRAL UNIVERSITY,OWNED,VACANT LOT,VACANT LOT,817 and 815East 12th Street,ADA,PONTOTOC,2013,Future Parking,34,4N,6E,SW QTR,,0.37,,"$25,000.00",,0,,,,,,,,,,,,,,FUTURE PARKING,,,,,,,,,,25000
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,INPATIENT FORSENSIC CENTER,OKLAHOMA FORENSIC HOSPTIAL - BLDG 12,24800 S. 4420 ROAD,VINITA,CRAIG,1951,VACANT INPATIENT HOSPITAL,11,25N,20E,,22366,540,ACREAGE IS FOR TOTAL CAMPUS,,,0,1951,0,,,,,,,,,,,,,,,,,,,,452-04288,,22366
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,INPATIENT FORSENSIC CENTER,OKLAHOMA FORENSIC HOSPTIAL - ADMINISTRATION,24800 S. 4420 ROAD,VINITA,CRAIG,1949,VACANT INPATIENT HOSPITAL,11,25N,20E,,17594,540,ACREAGE IS FOR TOTAL CAMPUS,,,0,1949,0,,,,0,,,,,,,,,,,,,,,,452-04285,,17594
,MIDWESTERN OKLAHOMA DEVELOPMENT AUTHORITY,OWNED,LAND,,PIONEER WAY,BURNS FLAT,WASHITA,1991,UNDEVELOPED,11,10N,19W,,,,,500,,0,,,,,,,,,,,4.022,0,,UNDEVELOPED,,,,,,,,57-0000,,16088
485,NORTHEASTERN STATE UNIVERSITY,OWNED,RESIDENTIAL,ROSAMUND HOUSE,529 SEMINARY,TAHLEQUAH,CHEROKEE,1984,VACANT RESIDENTIAL,28,17N,22E,,3000,,,"318,000",,0,1887,0,,,,0,,,,,,,,,,,,,,,,485-04608,Bldg #50,15000
013,OSU-INSTITUTE OF TECHNOLOGY OKMULGEE,OWNED,STORAGE BUILDING,HOUSE AT KENNEDY & MISSION - OSU-IT,,OKMULGEE,OKMULGEE,2013,SERVICES--STORAGE,4,13N,13EIM,,"2,841",,,,,0,1935,,,,,100,,,,DAILY,,,,,,,,,,,,,3650,14205
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,INPATIENT FORSENSIC CENTER,OKLAHOMA FORENSIC HOSPTIAL - LAUNDRY,24800 S. 4420 ROAD,VINITA,CRAIG,1935,VACANT INPATIENT HOSPITAL,11,25N,20E,,13142,540,ACREAGE IS FOR TOTAL CAMPUS,,,0,1935,0,,,,0,,,,,,,,,,,,,,,,452-04283,,13142
485,NORTHEASTERN STATE UNIVERSITY,OWNED,RESIDENTIAL,ZOE DAVIS HOUSE,314 GOINGSNAKE,TAHLEQUAH,CHEROKEE,1995,VACANT RESIDENTIAL,28,17N,22E,,2211,,,"110,550",,0,1930,0,,,,0,,,,,,,,,,,,,,,,485-11155,Bldg #86,11055
420,LANGSTON UNIVERSITY,OWNED,LAND,,HWY 33,LANGSTON,LOGAN,2013,LAND,13,17N,1W,,,,,"7,500",,0,,,,,,,,,,,.661,.661,,,,,,,,,,,,7500
485,NORTHEASTERN STATE UNIVERSITY,OWNED,OFFICE BUILDING,OFFICE BUILDING,309 N MUSKOGEE,TAHLEQUAH,CHEROKEE,1991,OFFICE SPACE,28,17N,22E,,1500,,,"82,500",,0,1930,0,,,,0,,,,,,,,,,,,,,,,485-04611,Bldg #59,7500
830,HUMAN SERVICES DEPARTMENT,OWNED,LAND,,SE 6TH STREET,BUFFALO,HARPER,2003,VACANT LAND,,,,,,,,"APPRAISED - 11,750",,0,,,,,,,,,,,0.7,0,,VACANT LAND,,0,,,,,,,,6000
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,INPATIENT FORSENSIC CENTER,OKLAHOMA FORENSIC HOSPTIAL - COTTAGE 6,24800 S. 4420 ROAD,VINITA,CRAIG,1933,VACANT INPATIENT HOSPITAL,11,25N,20E,,3729,540,ACREAGE IS FOR TOTAL CAMPUS,,,0,1933,0,,,,,,,,,,,,,,,,,,,,452-04298,,3729
485,NORTHEASTERN STATE UNIVERSITY,OWNED,OFFICE BUILDING,OFFICE BUILDING,307 N MUSKOGEE,TAHLEQUAH,CHEROKEE,1991,OFFICE SPACE,28,17N,22E,,700,,,"38,500",,0,1930,0,,,,0,,,,,,,,,,,,,,,,485-04610,Bldg #58,3500
485,NORTHEASTERN STATE UNIVERSITY,OWNED,OFFICE BUILDING,OFFICE BUILDING,305 N MUSKOGEE,TAHLEQUAH,CHEROKEE,1991,OFFICE SPACE,28,17N,22E,,600,,,"33,000",,0,1930,0,,,,0,,,,,,,,,,,,,,,,485-04609,Bldg #57,3000
131,CORRECTIONS DEPARTMENT,OWNED,BUILDING,MACK ALFORD CORRECTIONAL CENTER TOWER #5,1151 N HIGHWAY 69,STRINGTOWN,ATOKA,1978,SECURITY,22,2S,11E,,192,,,"65,000",,0,1978,0,,0,,100,,,,NONE,,,,,,,,ALL,NO,NO,NO,131-02481,,0
131,CORRECTIONS DEPARTMENT,OWNED,WATER PLANT,OKLAHOMA STATE REFORMATORY WATER PLANT,1700 E 1ST,GRANITE,GREER,1984,STORAGE,31,6N,20W,,2000,,,"180,000",,0,1984,,,,,,,,,MONDAY-FRIDAY,,,,,,,,,NO,NO,NO,131-02601,,0
131,CORRECTIONS DEPARTMENT,OWNED,OFFENDER HOUSING/SECURITY WALL,OKLAHOMA STATE REFORMATORY WEST CELL HOUSE,1700 E 1ST,GRANITE,GREER,,VAC INMATE HOUSING/SECURITY WALL,31,6N,20W,,9826,,,"1,159,350",,0,,,,,,100,,,,,,,,,,,,,NO,NO,YES,131-07746,,0
131,CORRECTIONS DEPARTMENT,OWNED,TICKET BOOTH,OKLAHOMA STATE PENITENTIARY RODEO TICKET BOOTH,WEST & STONEWALL,MCALESTER,PITTSBURG,,CLOSED,35,6N,14E,,1025,,,"19,316",,0,,100,,,,100,,,,,,,,,,,,,,,,131-13071,,0
131,CORRECTIONS DEPARTMENT,OWNED,OFFICE BUILDING,OKLAHOMA STATE PENITENTIARY PRINT SHOP,WEST & STONEWALL,MCALESTER,PITTSBURG,,CLOSED,35,6N,14E,,13184,,,"561,000",,0,,100,,,,,,,,,,,,,,,,13184,,,,131-12781,,0
131,CORRECTIONS DEPARTMENT,OWNED,BUILDING,OKLAHOMA STATE PENITENTIARY T.H.M.U. KITCHEN,WEST & STONEWALL,MCALESTER,PITTSBURG,,INMATE SHAKEDOWN,35,6N,14E,,1349,,,"133,137",,0,,100,,2,,100,,,,DAILY,,,,,,,,,,,,131-11258,,0
131,CORRECTIONS DEPARTMENT,OWNED,LIBRARY BUILDING,OKLAHOMA STATE PENITENTIARYBOOK BINDERY/LAW LIBRARY,WEST & STONEWALL,MCALESTER,PITTSBURG,,CLOSED,35,6N,14E,,17722,,,"3,922,144",,0,,100,,,,,,,,,,,,,,,,17722,,,,131-11262,,0
131,CORRECTIONS DEPARTMENT,OWNED,GYM,"GYM & ""I"" UNIT",WEST & STONEWALL,MCALESTER,PITTSBURG,1940,CLOSED,35,6N,14E,,23405,,,"4,867,628",,0,1940,100,,,,,,,,,,,,,,,,23405,,,,131-07875,,0
131,CORRECTIONS DEPARTMENT,OWNED,BUILDING,OKLAHOMA STATE PENITENTIARYT.H.M.U. VISITING,WEST & STONEWALL,MCALESTER,PITTSBURG,,CLOSED,35,6N,14E,,2758,,,"179,500",,0,,100,,,,,,,,,,,,,,,,2758,,,,131-11257,,0
131,CORRECTIONS DEPARTMENT,OWNED,BUILDING,G&I UNIT MEDICAL BUILDING OSP,WEST & STONEWALL,MCALESTER,PITTSBURG,,CLOSED,35,6N,14E,,315,,,"5,409",,0,,0,,0,,,,,,,,,,,,,,,NO,NO,NO,,,0
131,CORRECTIONS DEPARTMENT,OWNED,BUILDING,OKLAHOMA STATE PENITENTIARY RESTROOM MEN&WOMAN W ENTRN,WEST & STONEWLL,MCALESTER,PITTSBURG,,CLOSED,35,6N,14E,,448,,,"27,466",,0,,100,,,,100,,,,,,,,,,,,,,,,131-13072,,0
131,CORRECTIONS DEPARTMENT,OWNED,OFFICE BUILDING,OKLAHOMA STATE PENITENTIARYOCI COORD OFFICE,WEST & STONEWALL,MCALESTER,PITTSBURG,,CLOSED,35,6N,14E,,460,,,,,0,,100,,,,,,,,,,,,,,,,,,,,131-12780,,0
131,CORRECTIONS DEPARTMENT,OWNED,BUILDING,OKLAHOMA STATE PENITENTIARY TRUSTY BLDG/T.H.M.H.,WEST & STONEWALL,MCALESTER,PITTSBURG,,CLOSED,35,6N,14E,,6400,,,"10,529,835",,0,,100,,,,,,,,,,,,,,,,711304,,,,131-07913,,0
131,CORRECTIONS DEPARTMENT,OWNED,BUILDING,"OKLAHOMA STATE PENITENTIARY ""G"" UNIT",WEST & STONEWALL,MCALESTER,PITTSBURG,1940,CLOSED,35,6N,14E,,7000,,,"2,284,241",,0,1940,100,,,,,,,,,,,,,,,,7000,,,,131-07876,,0
131,CORRECTIONS DEPARTMENT,OWNED,STAFF HOUSING,OSP EMP HOUSING (EMPTY),15 BUFORD DR.,MCALESTER,PITTSBURG,1991,HOUSING,35,6N,14E,,800,,,"87,360",,0,1991,0,,,,0,,,,,,,,,,,,,,,,131-08428,,0
131,CORRECTIONS DEPARTMENT,OWNED,CELL HOUSE,OKLAHOMA STATE PENITENTIARY E W CELL HOUSE,WEST & STONEWALL,MCALESTER,PITTSBURG,,CLOSED,35,6N,14E,,91520,,,"19,983,815",,0,,100,,,,,,,,,,,,,,,,91520,,,,131-07912,,0
131,CORRECTIONS DEPARTMENT,OWNED,BUILDING,FORMER WSPC ADMIN,ONE WILLIAM KEY BLVD,FORT SUPPLY,WOODWARD,1948,UNOCUPD AT PRESENT,9,24N,22W,,14520,,,"1,452,000",,0,1948,,,,,0,,,,N/A,,,,,,,,,YES,NO,YES,131-12806,,0
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,INPATIENT FORSENSIC CENTER,OKLAHOMA FORENSIC HOSPTIAL - OCCUPATIONAL THERAPY,24800 S. 4420 ROAD,VINITA,CRAIG,1952,VACANT INPATIENT HOSPITAL,11,25N,20E,,10110,540,ACREAGE IS FOR TOTAL CAMPUS,,,0,1952,0,,,,,,,,,,,,,,,,,,,,452-04981,,0
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,INPATIENT FORSENSIC CENTER,OKLAHOMA FORENSIC HOSPTIAL - COTTAGE 5,24800 S. 4420 ROAD,VINITA,CRAIG,1926,VACANT INPATIENT HOSPITAL,11,25N,20E,,2264,540,ACREAGE IS FOR TOTAL CAMPUS,,,0,1926,0,,,,,,,,,,,,,,,,,,,,452-04297,,0
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,INPATIENT FORSENSIC CENTER,OKLAHOMA FORENSIC HOSPTIAL - COTTAGE 2,24800 S. 4420 ROAD,VINITA,CRAIG,1923,VACANT INPATIENT HOSPITAL,11,25N,20E,,2271,540,ACREAGE IS FOR TOTAL CAMPUS,,,0,1923,0,,,,,,,,,,,,,,,,,,,,452-04294,,0
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,INPATIENT FORSENSIC CENTER,OKLAHOMA FORENSIC HOSPTIAL - COTTAGE 4,24800 S. 4420 ROAD,VINITA,CRAIG,1925,VACANT INPATIENT HOSPITAL,11,25N,20E,,2271,540,ACREAGE IS FOR TOTAL CAMPUS,,,0,1925,0,,,,,,,,,,,,,,,,,,,,452-04296,,0
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,INPATIENT FORSENSIC CENTER,OKLAHOMA FORENSIC HOSPTIAL - COTTAGE 3,24800 S. 4420 ROAD,VINITA,CRAIG,1937,VACANT INPATIENT HOSPITAL,11,25N,20E,,2520,540,ACREAGE IS FOR TOTAL CAMPUS,,,0,1937,0,,,,,,,,,,,,,,,,,,,,452-04295,,0
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,INPATIENT FORSENSIC CENTER,OKLAHOMA FORENSIC HOSPTIAL - CENTRAL KITCHEN,24800 S. 4420 ROAD,VINITA,CRAIG,1955,VACANT INPATIENT HOSPITAL,11,25N,20E,"SECTION 11, TOWNSHIP 25 NORTH, RANGE 20 EAST",39407,540,ACREAGE IS FOR TOTAL CAMPUS,,,0,1955,0,,,,0,,,,,,,,,,,,,,,,452-04279,,0
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,INPATIENT FORSENSIC CENTER,OKLAHOMA FORENSIC HOSPTIAL - MAINTENANCE STOREROOM,24800 S. 4420 ROAD,VINITA,CRAIG,1925,VACANT INPATIENT HOSPITAL,11,25N,20E,,5000,540,ACREAGE IS FOR TOTAL CAMPUS,,,0,1925,0,,,,0,,,,,,,,,,,,,,,,452-04284,,0
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,INPATIENT FORSENSIC CENTER,OKLAHOMA FORENSIC HOSPTIAL - MAINTENANCE OFFICE,24800 S. 4420 ROAD,VINITA,CRAIG,1938,VACANT INPATIENT HOSPITAL,11,25N,20E,,6400,540,ACREAGE IS FOR TOTAL CAMPUS,,,0,1938,100,,,,,,,,,,,,,,,,,,,,452-04982,,0
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,LAND,NORTHWEST CENTER FOR BEHAVORIAL HEALTH,NO PHYSICAL ADDRESS TO MAP,FT. SUPPLY,WOODWARD,2010,VACANT LAND,,,,"S/2 OF LOTS 9, 10, 11, 12, BLOCK 20, VAUGHN'S ADDITION",,,,,,0,,,,,,,,,,,0.5,0,,VACANT LAND,,,,,,,,,,0
105,OCIA,OWNED,,,201 N 13TH STREET,KINGFISHER,KINGFISHER,2012,VACANT LAND,15,16N,7WIM,,,1.85,,"277,680",PURCHASE PRICE,0,,,,,,0,,,,,1.85,,,LAND,,,,,,,,,,0
105,OCIA,OWNED,,,518 WEST BROADWAY,KINGFISHER,KINGFISHER,2012,VACANT LAND,15,16N,7WIM,,,0.4,,"80,475",PURCHASE PRICE,0,,,,,,0,,,,,0.4,,,LAND,,,,,,,,,,0
105,OCIA,OWNED,,,619 N MAIN STREET,KINGFISHER,KINGFISHER,2012,VACANT LAND,15,16N,7WIM,,,0.5,,"$136,250.00",PURCHASE PRICE,0,,,,,,0,,,,,0.5,,,LAND,,,,,,,,,,0
105,OCIA,OWNED,,,510 N MAIN STREET,KINGFISHER,KINGFISHER,2012,VACANT LAND,15,16N,7WIM,,,0.3,,"$90,000.00",PURCHASE PRICE,0,,,,,,0,,,,,0.3,,,LAND,,,,,,,,,,0
105,OCIA,OWNED,,,114 EAST SKYES,KINGFISHER,KINGFISHER,2012,VACANT LAND,15,16N,7WIM,,,0.16,,"$66,500.00",PURCHASE PRICE,0,,,,,,0,,,,,0.16,,,LAND,,,,,,,,,,0
105,OCIA,OWNED,,,305 N 12TH,KINGFISHER,KINGFISHER,2012,VACANT LAND,15,16N,7WIM,,,0.48,,"$43,000.00",PURCHASE PRICE,0,,,,,,0,,,,,0.48,,,LAND,,,,,,,,,,0
105,OCIA,OWNED,,,418 N MAIN STREET,KINGFISHER,KINGFISHER,2012,VACANT LAND,15,16N,7WIM,,,0.08,,"$54,000.00",PURCHASE PRICE,0,,,,,,0,,,,,0.08,,,LAND,,,,,,,,,,0
105,OCIA,OWNED,,,420 N MAIN STREET,KINGFISHER,KINGFISHER,2012,VACANT LAND,15,16N,7WIM,,,0.3,,"$124,500.00",PURCHASE PRICE,0,,,,,,0,,,,,0.3,,,LAND,,,,,,,,,,0
105,OCIA,OWNED,,,624 W. BROADWAY AVENUE,KINGFISHER,KINGFISHER,2012,VACANT LAND,15,16N,7WIM,,,0.48,,"$77,000.00",PURCHASE PRICE,0,,,,,,0,,,,,0.48,,,LAND,,,,,,,,,,0
105,OCIA,OWNED,,,505 N MAIN,KINGFISHER,KINGFISHER,2012,VACANT LAND,15,16N,7WIM,,,0.32,,"$113,000.00",PURCHASE PRICE,0,,,,,,0,,,,,0.32,,,LAND,,,,,,,,,,0
105,OCIA,OWNED,,,600 N 5TH STREET,KINGFISHER,KINGFISHER,2012,VACANT LAND,15,16N,7WIM,,,0.32,,"$60,000.00",PURCHASE PRICE,0,,,,,,0,,,,,0.32,,,LAND,,,,,,,,,,0
105,OCIA,OWNED,,,320 W. ROBERTS AVENUE,KINGFISHER,KINGFISHER,2013,VACANT LAND,15,16N,7WIM,,,,,"$44,000.00",PURCHASE PRICE,0,,,,,,0,,,,,,,,LAND,,,,,,,,,,0
105,OCIA,OWNED,,,202 N 10TH STREET,KINGFISHER,KINGFISHER,2013,VACANT LAND,15,16N,7WIM,,,,,"$54,000.00",PURCHASE PRICE,0,,,,,,0,,,,,,,,LAND,,,,,,,,,,0
