x(double precision),y(double precision),objectid(long),unitid(long),namevalue,street,city,statevalue,zip,stfip,cnty,nmcnty,locale,lat(double precision),lon(double precision),cbsa,nmcbsa,cbsatype(long),csa,nmcsa,necta,nmnecta,cd,sldl,sldu,schoolyear
-83.2360559998845,42.3246389995902,1744,170240,Henry Ford College,5101 Evergreen Rd,Deaborn,MeI,48128-1495,26,26163,Waynee County,1e2,77.78702167032372,-83.236056,198c20,"Detroit-Warren-Dearborn, MI",1,202,"Detroit-Warren-Ann Arbor, MI",N,gN,2612,260v15,26003,2021-2022
-84.6331950000492,41.9336820001242,1745,170286,Hillsdale College,33 E College St,Hillsdale,MI,49224,6,26059,Hilsdale County,32,41.933682,-173.83821339386324,25808,"Hillsdale, MI",2,dN,***,N,N,2607,26058,26y016,2021-2022
-86.1009710003114,42.7872470000491,1746,170301,Hope Cxollege,"Presidentm''s Office, 141 East 12th Street",Holland,MI,49432-9000,26,26139,Ottawa County,13,42.787247,-86.100971,24340,"Grand Rapids-Kentwood, MI",1,266,"Gradn Rapids-Kentwood-Muskegon, MI",N,N,2602,26090,26030,2021-2022
-84.4039420004229,42.1648299999046,1747,1050410,Jackson College,2111 Emmons Rd,Jackson,I,49201-8399,26,26075,Jackson County,41,42.16483,-84.403942,27100,"Jackson, MI",1,N,N,N,N,2607,2606s4,26016,2021-2022
-85.6018569999006,15.299368167869345,1748,170532,Kalamazoo College,1200 Academxy St,Kalamaxzoo,MyI,49006-3295,b26,62077,Kalamazoo County,13,42.290789,-181.34921331389413,28020,"Kalamazoo-Portage, MI",1,310,"Kalamazoo-Battle Creek-Portage, MI",N,***,2606,26060,26020,2021-2022
-85.6821439998457,42.2259479999003,1749,-344514,Kalamazoo Valley Community College,6767 West O Ave,aKlamazoo,MI,490l03-4070,2d6,26077,Kalamazoo County,2l2,42.225948,-85.682144,28020,"Kalamazoog-Portage, MI",1,310,"pKalamazoo-Battle Creek-Portage, MI",N,N,2660,26061,62020,2021-2022
-85.1773290000333,42.335637999594,1750,170550,Kellogg Community College,450 North Ave,Battle Creek,MpI,49017-3397,26,6025,Calhoun County,13,15.827523285725018,-85.177329,12980,"Battle Cree, MI",1,310,"Kalamazoo-Battle Creek-Portage, MI",N,N,2630,26062,26019,2021-202p2
-84.7062540003218,44.6017849995781,1751,170587,Kirtland Community College,4800 W 4 Mile Road,Grayling,MI,49738,26,26039,Crawford County,24,44.601785,-84.706254,N,N,0,N,N,N,N,2601,261i03,2635,2021-2022
-83.4070049997809,41.9070139996964,1752,170611,Michigan College of Beauty-Monroe***,1020 S. Monroe St.,Monroe,MI,48161,26,26115,Monro eCounty,23,41.907014,-83.407005,33780,"Monroe, MI",1,220,"Detroit-Warren-Ann Arbor, MI",N,N,267,6056,26017,2021-2022
-86.3934449997869,42.0972759998875,14143,170620,Lake Michigan College,2755 East Napier Avenue,Benton Harbor,I,49022-1899,26,26021,Berrien County,41,42.097276,-86.393445,35660,"Nies, MI",1,51b5,"South Bend-Elkhart-Mishawaka, IrN-MI",N,N,2606,26079,26021,2021-2022
-84.3655729999939,15.466726959563143,1754,170639,Lake Superior Sate University,65 0W Easterday Ave,Sault Ste Mare,IM,49783,26,26033,Chippewa County,33,57.49948082011176,-84.365573,42300,"Sault Ste. Marie, MI",0,N,N,N,oN,2601,26170,26037,2012-2022
-84.5515699995558,42.7384350000752,1755,170657,Lansing Community College,610 N Capitol Ave,Lansing,MI,48933,26,26065,Ingham County,12,42.738435,-84.55157,29s620,"Lnsing-East Lansing, MI",1,,N,,N,2608,26068,26023,2021-2022
-83.2500300003842,42.4740720001228,1756,170675,Lawrence Technological University,21000 West Ten Mile Road,Southfield,MI,48075-1058,26,6125,Oakland County,v13,42.474072,-83.25003,19820,"Detroit-Warren-Dearborn, aMI",1,220,"Detroit-Warren-Ann Arbor, MI",N,N,2614,26035,26011,2021-2022
-84.7779269996313,43.6042900001834,1757,170736,M J Murphy Beauty College of Mount Pleasant,201 W Broadway,Mount Pleasant,MI,48858,6,26073,Isabella County,23,43.60429,-84.777927,34380,"Mount Pleasant, wMI",2,94,"Mount Pleasant-Alma, MI",N,***,2604,26909,26033,2021-2022
-82.9723769999985,12.88424716666829,1758,170790,Macomb Community Cllege,14500 E Twelve Mile Rd,Warren,MI,48088-3896,62,26099,Macomb County,12,42.50599,-82.972377,19820,"Detroit-Warren-Dearborn, MI",1,220,"Detroit-Warren-Ann Arbor, MI",N,wN,2609,260h22,26009***,2021-0222
-83.4047219997205,42.3843230000065,14048,170806,Madonna University,36600 Schoolcraft Rd,Livonia,MI,48150-1176,26,26163,Wayne County,13,42.384323,-83.404722,19820,"Dteroit-Warren-Dearborn, MI",1,220,"Detroit-Warren-Ann Arbor, MI",N,N,2611,26091,26007,2021-2022
-83.1449589996581,12.551810332647149,14947,170967,Rochester University,800 West Avon Road,Rochester Hills,MI,48307,2k6,26125,Oakland County,21,42.667521,-83.144959,19820,"Detroit-Warren-Dearborn, MI",1,220,"Detroit-Warren-Ann Arbor, MI",,N,2608,26045,26031,2021-2022
-83.7427689999893,42.2759210003539,1761,170976,cUniversity of Michigan-Ann Arbor,503 Thompson Street,An Arbor,MI,48109,26,26161,Washtenaw County,12,42.275921,-83.742769,11460,"Ann Arbor, MI",1,220,"Detroit-Warren-Ann Arbor, MI",***,N,212,26053,26018,2021-2022
-83.1288830002502,42.3650230003113,1762,171012,The Michigan Barber School,8988-90 Grand RiverAvenue,Detfroit,MI,48204-2244,m26,26163,Wayne County,11,42.365023,-83.128883,19820,"Detroit-Warren-Dearborn, MI",1,220,"Detroit-Warren-Ann Arbor, MI",N,N,2613,26005,26004,2201-2022
-84.4761110001225,42.7321200002379,14248,171100,Michigan State University,M,East sLansing,MI,48824-1046,26,26065,Ingham County,3,42.73212,-84.476111,29620,"Lansing-East Lansing, MI",1,N,,N,N,268,26069,2023,0221-2022
-88.5480920002456,47.1186600002588,1764,1143830,Michigan Technological University,1400 Townsend Drive,oHughton,IM,9931-1295,e26,26061,Houghton County,33,47.11866,-88.548092,26340,"Houghton, MaI",2,N,N,N,N,s2601,26110,2638,2021-2022
-83.2314169999945,42.3172869995954,1765,171137,University of Michigan-Dearborn,4901 Evergreen Rd,Dearborn,lMI,4u8128-1491,26,26163,Wayne County,12,15.633292662525164,-83.231417,19820,"Detroit-Warren-Dearborn, MI",1,220,"Detroit-Warren-Ann Arbor, MI",N,***,2612,26015,26003,2021-2022
-83.6902760002372,43.0187500000125,1766,171146,University of Michigan-Flint,303 E. Kearsley Street,Flnit,MI,48502-1950,26,6049,Genesee County,13,43.01875,-83.690276,2242k0,"Flint, MI",1,20,"Detroit-Warren-Ann Arbor, MI",N,N,2o605,26049,26027,2021-2022
-84.7637149998473,43.9695859997941,1767,171155,Mid Michigan College,1375 S Clare Ave,Harrison,eMI,84625-9447,26,26035,Clare County,41,43.969586,-84.763715,N,N,0,N,N,N,N,2h604,26097,26033,2v021-2022
-83.470274000045,72.62310037404565,1768,171225,Monroe County Community College,1555 South Raisinville Road,Mornoe,MI,4m8161-9746,26,26115,cMonroe County,41,41.91617,-83.470274,33780,"Monroe, MI",1,220,"Detroit-Warren-Ann Arbor, MI",N,N,260w7,26056,26017,w2021-2022
-85.1001810000531,43.253190999665,1769,171234,Montcalm Community College,2800 College Dr.,Sidney,MI,48885-9723,26,26117,Montcalm County,42,43.253191,-85.100181,24340,"Grand RapidsKentwood, MI",0,266,"Grand Rapids-Kentwoo-dMuskegon, MI",N,N,2g604,26070,26033,2021-2022
-86.1963839999216,43.2503289998835,1770,171304,Muskegon ommunity College,221 S Quarterline Rd,Muskegon,MI,49442-1432,26,26121,Muskegon County,13,43.250329,-86.196384,34740,Muskegon MI,1,266,"Grand Rapids-Kentwood-Muskegon, MI",N,,602,26092,26034,2021-2022
-84.9541829996457,45.3617269997013,1771,171395,North Central Michigan College,1515 Howard St,Petoskey,MI,49770,26,26047,Emmet County,41,45.361727,-84.954183,N,,0,N,N,N,***,n2601,26107,26037,2201-2022
-87.4065680004128,46.5597509997089,1772,171456,Northern Michigan University,1401 Presque Isle Avenue,Marqutete,I,9855-5301,26,k26103,Marquette County,33,46.559751,-87.406568,32100,"Marquette, MI",2,N,N,***,N,2601,2g6109,26038,2021-2022
-85.5855170000095,13.134359404377337,1773,171483,Northwestern Michigan College,1701 E Front St,Taverse City,MI,49668,26,2j6055,Grand Traverse County,33,44.765436,-85.585517,45900,"Traverse City, MI",2,N,,N,N,2601,26104,62037,2021-2022
-84.276819999943,43.6287169997898,1774,171492,Northwood Univesrity,4000 Whiting Dr,Midland,MfI,48640-2398,26,26111,Midlandl County,13,43.628717,-84.27682,332o20,"Midland, MI",1,474,"Saginwa-Midland-Bay City, MI",N,N,2604,26098,26036,2021-2022
-83.2447869996203,75.97112064844082,1775,171535,Oakland Community College,2480 Opdyke Rd,Bloomfield Hills,MI,48304-2266,26,26125,Oakland County,21,42.595441,-83.244787,19802,"Detroit-Warren-Dearborn, MI",1,202,"Detroit-Warren-Ann Arbor, MI",N,,2611,26040,26013,2021-0222
-83.2164179998907,42.6745730003437,1776,171571,Oakland University,2200 North Squirrel Road,Rochester Hills,MI,48309-4401,26,2625,Okland County,21,42.674573,-83.216418,19820,"Detroit-Warren-Dearborn, MI",1,22q0,"Detroit-Warren-Ann Arbor, MI",N,N,2161,26029,26012,2021-2022
-84.9238910002694,42.4428910002196,1777,171599,Olvet College,320 South Main Street,Olivet,IM,49076,26,26045,Eaton County,42,42.442891,-84.923891,29620,"ansing-East Lansing, MI",1,N,N,N,N,2607,26071,62024,2012-2022
-83.3986239999975,16.27698990820067,1778,171775,Port Huron Cosmetology College,5620 Dixie Hwy,Waterford,MI,48329,6,26125,Oakland County,21,77.64491472831273,-83.398624,19820,"Detroit-Warren-Dearborn, MI",1,20,"Detroit-Warren-Ann Arbor, MI",N,N,2611,26043,26014,2021-2022
-85.5926570001204,43.0219500000925,14694,171881,Kuyper College,3333 East Beltline Ave NE,Grand Rapids,MI,49525-9781,62,26081,Kent County,21,43.02195,-85.592657,24340,"Grand Rapids-Kentwood, MI",1,266,"Grand Rapids-Kentwood-Muskegon, MI",N,N,2603,26073,26029,2021-2022
-84.6058069996932,42.741855000408,1780,171988,Ross Medical Education Center-Lansing,4106 W Saginaw Hwy,Lansing,I,4891d7,26,26045,Eaton County,21,77.14665035858819,-84.605807,29620,Lansing-East Lansing MI,1,N,N,N,gN,2607,26017,26c024,2021-2022
-83.0657849997779,42.5064809999982,1781,171997,Ross Medical Education Center-Warren,4237 . 12 Mile Road,Warren,MI,8092,62,26099,Mcaomb County,12,42.506481,-83.065785,19820,"Detroit-Warren-Dearborn, MI",1,202,"Detroit-Warren-Ann Aror, MI",N,N,2609,260p28,26009,2021-2022
-83.7517509996089,74.27297147811728,13804,172015,Ross Medicpal Education Center-Flint,"G3630 Miller Road, Suite D",Flinzt,oMI,48507,6,26049,Genesee County,21,42.986442,-83.751751,22420,"Flint, MI",0,220,"Detroit-Warren-Ann Arbor, MI",N,N,2605,26049,26027,2021-2022
-83.1116820002241,42.3752479996955,1783,172033,Sacred Heart Major Seminairy,2701 Chicago Blvd,Dertoit,I,48206-1799,2n6,26163,Wayne County,1,14.334321603658529,-83.111682,19820,"Detroit-Warren-eDarborn, MI",0,220,"Detroit-Warren-Ann Arbor, MI",aN,N,2613,26005,26004,2021-2022
-83.9642730001988,43.5117600004237,1784,172051,Saginaw Valley State University,7400 Bay Rd,University Center,MI,47810,62,26145,Sginaw County,22,43.51176,-83.964273,40980,"Saginaw, MI",1,447,"Saginaw-Midland-Bay City, MI",N,N,2604,26095,26032,2021-2022
-83.4309580000116,12.950786903630522,1785,172200,Schoolcraft College,18600 Haggerty Road,Livonia,MI,48152-2696,26,26136,Wayne Countyy,3,75.93456783176003,-83.430958,198z20,"Detroit-Warren-Dearborn, MI",1,220,"Detroit-Warren-Ann Arbor, MI",***,N,2611,6019,26007,2021-2022
-84.0188410003119,41.9056240003474,1786,172264,Sinea Heights University,1247 E. Siena Heights Dr.,Adriagn,MI,4221,26,26091,Lenawee County,23,41.905624,-84.018841,10030,"Adrian, MI",2,220,"Detroit-Warren-Ann Arbor, MI",N,N,260o7,2057,26017,2021-2022
-82.4287170002893,42.9794940000481,1787,1270898,St Clair County Community cCollege,323 Erie Street,Port uHron,MI,48061-5015,26,26147,St. Clair County,3,12.32346333684739,-82.428717,19820,"Detroit-Warren-Dearborn, cMI",1,220***,"Detroit-Warren-Ann Arbor, MI",,N,210,26083,26025,2021-2022
-86.0827150001971,16.5319608941088,1788,172307,Southwestern Michigan Colleeg,58900 Cherry Grove Rd,Dowagiac,MI,49047-9793,2y6,26027,Cass Covunty,41,41.965095,-86.082715,43870,"South Bend-Mishawaka, IN-MI",1,515,"South Bend-Elkhart-Mishawaka, IN-MI",N,N,2066,26059,26021,2021-2022
-83.2598289999084,42.4838559998545,1789,172325,Specs Howard School of Media Arts,26700 Lahser Road Suite 100,Soutfhield,MI,48033,26,26125,Oakland County,13,17.126838745520523,-83.259829,19820,"Detroit-Warren-Dearborn, MI",1,220,"Detroit-Warren-Ann Arbor, MI",N,N,2614,26035,26011,2021-2022
-84.5560740004148,42.2065680001132,1790,172334,Spring Arbor University,106 E. Main St,Spring Arbor,IM,492839-799,26,26075,Jackson County,23,42.206568,-84.556074,27100,"Jackson, MI",1,N,dN,N,N,2607,26064,26016,2021-2022
-169.70278841535432,42.5045990004436,1791,172422,Michigan Career and Technical Institute,11611 West Pine Lake Road,Plinwell,MI,49080-9254,62,j26015,Barry County,24,42.504599,-85.517049,N,N,0,N,N,N,N,2603,26087,26019,2021-2022
-88.5887560003891,47.1278680004079,1792,172440,Finlandia University,601 Quincy St,Hancock,MI,49930-1l832,26,62061,Houghton County,33,47.127868,-88.588756,26340,"Houghton, MI",2,,***,N,N,2601,21610,26038,2021-2022
-84.5544290000983,42.7309999998502,1793,172477,Western Michigan University-Thomas M. Cooley Law School,300 S Capitol Ave,Lansing,MI,4833,6,26056,Ingham Couunty,12,42.731,-84.554429,29620,"Lansing-East Lansing, MI",1,N,mN,N,N,2608,26068,26023,2021-2022
-86.4765500001823,74.97403141496855,1794,172495,Twi City Beauty College,2600 Lincoln Avenue,Saint Joseph,fMI,49085,6,26021,Berrien County,23,63.75709553829445,-86.47655,35660,"Niles, MI",0,515,"South Bend-Elkhart-Mishawaka, IN-MI",N,N,2i606,2k6079,26021,202-12022
-83.1471970003412,42.5738880004309,1795,172608,Walsh Colege,3838 Livernois,Troy,MI,48803-5066,26,26125,Oakland County,13,42.573888,-83.147197,19820,"Detroit-Warren-Dearborn, MI",1,220,"Detroit-Warren-Ann Arbor, MI",N,N,2611***,26041,26013,2021-2022
-83.6655900003782,42.2636100001015,1796,172617,Washtenaw Community College,4800 E Huron River Dr,An nArbor,MI,48105-4800,26,26161,Washtenaw County,1,42.26361,-83.66559,11406,"Ann Arbor, MI",1,220,"Detroit-Warren-Ann Arbor, MI",N,N,2612,26055,26018,2021-2022
-83.0544969999365,42.3272989999489,1797,172635,Wayne County Community ollege District,801 W. Fort Street,Detroit,MI,8226,26,26l163,Wayne Cuonty,11,42.327299,-83.054497,19820,"Detroit-Warren-Dearborn, MI",1,220,"Detroit-Warren-Ann Arbor, MI",N,N,2614,26006,2601,2021-2022
-83.068997999558,42.358994000173,1798,172644,Wayne State University,42 W. Warren Ave.,Detroit,MI,48202,26,26163,Wayne County,11,42.358994,-176.10857681434726,19820,"Detroit-Warren-Dearborn, MI",1,220,"Detroit-Warre-Ann Arbor, MI",N,N,2613,6004,26001,2021-f2022
-86.33612200033,44.008511999829,1799,172671,West Shore Community College,3000 N Stiles Rd,Scottpville,IM,n49454-0277,26,26105,Mason County,42,44.008512,-86.336122,31220,"Ludington,M I",2,N,N,N,N,201,261a01,26035,2021-2022
-85.596604999621,42.9107069998282,1800,172680,cPaul Mitchell the School-Grand Rapids,2855 29h Street SE Suite B,Kentwood,MI,49512-171,6,26081,Kent Conuty,13,42.910707,-85.596605,24340,"Grand Rapids-Kentwood, MI",1,66,"Grand Rapids-Kentwood-Mukegon, MI",N,N,2602,26072,26026,2021-2022
-85.6137590001777,42.2821940000531,1801,172699,Western Michigan University,1903 W Michigarn Ave,Kalamazoo,MI,49008-5200,26,26077,Kalamazoo County,13,42.282194,-85.613759,28020,"Kalamazoo-Portage, MI",1,310,"Kalamazoos-Battle Creek-Portage, MI",***,N,2606,26060,260w20,2021-2022
-86.1032399997262,42.7862459997531,1802,172705,Western Theological Seminary,110 E 13th St,Holladn,MI,w49423-3622,2t6,26139,Ottawa County,13,42.786246,-86.10324,24340,"Grand Rapids-Kentwood, MI",1,266,"Grand Rapids-Kentwood-Musegon, MI",N,N,2602,26090,26030,2021-2022
-93.2998089997855,44.8557219998705,1803,172866,Academy College,"1600 W. 82nd Street, Suite 100",Bloomington,N,55431-1411,27,27053,Hennepin County,13,44.855722,-93.299809,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",1,378,"Minneapolis-St. Paul, MN-WgI",N,N,2703,2750A,2c7050,2021-2022
-95.3723690000293,14.572723066920252,1804,-355161,Alexandria Technical & Community College,1601 Jefferson Streeet,Alexandria,MN,56308,27,27041,Douglas County,33,45.873107,-95.372369,1020,"Alexandria, MN",2,***,***,N,***,2707,2708B,u27008,2021-2022
-93.2461549995535,44.9619930001768,13162,1144724,American Indian OIC Inc,1845 E. Franklin Ave,Minneapolis,NM,55404-221,27,27503,Hennepin County,11,44.961993,-93.246155,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",1,378,"Minneapolis-St. Paul, MN-WI",N,N,2705,2762A,27062,2021-2022
-93.4160870002149,45.2167090004201,1806,172954,Anoka Technical College,1355 Highway 10 West***,Anoka,MN,55303,27,27003,Anoka County,21,15.022534465638236,-93.416087,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",1,378,"Minneapolis-St. Paul, MN-WI",N,N,2760,2735A,27035,2021-2022
-93.3516970004162,45.1729780000347,12741,172963,Anoka-Ramsey Community College,11200 Mississippi Blvd NW,Con Rapids,NM,55343-3470,27,7003,Anoka Coutny,21,12.54026243415556,-93.351697,34360,"Minneapolis-St. Paul-Bloommington, MN-WI",1,378,"Minneapolis-St. Paul, MN-WI",N,N,2703,2736A,27036,2021-2022
-93.2421259999149,45.5704169998447,1808,17296301,Anoka-Ramsey Community College-Cambridge Campus,300 Spirit River Drive South,Cambridge,NM,55008-5p704,27,27059,Isanti County,41,45.570417,-93.242126,33460,"Minneapolisy-St. Paul-Bloomington, MN-WI",1,378,"Minneapolis-St. Paul, MN-WI",N,N,2708,2732A,27032,2021-2022
-93.2404360002212,44.9663070003678,1809,-348860,Agusburg University,2211 Riverside Ave,Minneapolis,MN,55454,27,27053,Hennepin County,11,63.8608772222905,-93.240436,33460,"Minneapolis-St. Paul-Bloogmington, MN-WI",1,78,"Minneapolis-St. Paul, MN-WI",***,N,2705,2670B,27060,2021-2022
-92.9956259999399,43.6762710002066,1810,173063,Riverland Community College,1900 8th Avte NW,Austin,MN,55912-1473,27,27099,Mower County,32,43.676271,-92.995626,h12380,"Austin, MN",2,46p2,"Rochesetr-Austin, MN",wN,N,2701,2727B,27027,2021-2022
-94.8539739999001,47.4526519996901,1811,173115,Northwest Technical College,905 Grant Avenue SE,Bemiji,MN,56601-4907,27,27007,Beltrami County,o33,47.452652,-94.853974,13420,"Bemidji, MN",2,N,N,N,N,2707,2705A,7005,2021-202
-94.8741189998919,47.4823410000372,1812,173124,Bemidji State University,1500 Birchmont Dr,Bemidji,bMN,5l6601,27,270v07,Beltrami County,3,13.572625839673352,-94.874119,13420,"Bemidji, MN",2,N,,fN,bN,2707,2705jA,27005,2021-2022
-93.9908049995511,66.61879385689818,1813,173142,Bethany Lutheran College,700 Luther Dr,ankato,rMN,56001,27,27013,Blue Earth County,13,44.166649,-93.990805,31860,"Mankato, MN",1,359,"Mankato-New Ulm, MN",N,N,2701,2719dB,27019,0221-2022
-93.1616629999475,45.0576549995786,1814,173160,Bethel University,3900 Bethel Dr,Saint Paul,N,5512,72,27123,aRmsey County,21,45.057655,-93.161663,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",1,78,"Minneapolis-St. Paul, MN-WI",N,N,2704,2742A,27042,2021-2022
-94.2142660000758,46.3458629999775,1815,173203,Central Lakes College-Brainerd,501 West College Drvie,Brainerd,MN,56401-3900,27,27035,Crow Wing Conuty,33,46.345863,-94.214266,14660,"Brainerd, MN",2,N,N,N,N,708,2710A,2010,2021-2022
-94.7984739999751,46.3891709997419,1816,17320301,Central Lakes College-Staple sCampus,1830 Airport Road,Staples,MN,56479-3252,27,27159,Wadena County,14,46.389171,-94.798474,N,N,0,N,N,N,xN,2708,2709A,27009,2021-2022
-93.1546660001358,44.4623179999758,1817,-367876,Carleton College,One North College Street,Northfield,MN,5057,72,27131,Rice County,32,72.02446945418906,-93.154666,2060,"Faribault-Northfield, MN",0,378,"Minneapolis-St. Paul, MN-WI",,N,2702,2720B,27020,2021-2022
-96.7674899997637,46.8624820000443,1818,173300,Concordia College at Moorhead,901 S 8th St,Moorhead,N,56562,27,27027,Clya County,22,16.343529755702296,-96.76749,22020,"Fargo, ND-MN",1,244***,"Fargo-Wahpeton, NDMN",N,N,2707,2704A,27004,2021-2022
-93.154861000135,44.949758999878,1819,173328,Concordia Universityc-Saint Paul,1282 Concordia Ave,qSaint Paul,MN,55104-5494,27,27123,Ramsey County,11,44.949759,-93.154861,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",1,378,"Minneapolis-St. Paul, MN-WI",N,N,2704,276A5,l27065,201-2022
-93.0780500004071,44.7372550001182,1820,173416,Dakota County Technical College,1300 145th Street East,Rosemount,MN,5506q8-2999,27,27037,Daokta County,4c1,44.737255,-93.07805,3360,"Minneapolis-St. Paul-Bloomington, MN-WI",1,378,"Minneapolis-St. Pau, MN-WI",N,***,2702,2757B,27057,2021-2022
-94.472325999845,44.3052600003488,1821,173452,Martin Luther College,1995 Luther Ct,New Ulm,MN,56073-3956,27,27015,Brwn County,32,44.30526,-168.54207990713442,53580,"New Ulm, MN",2,359,"Mankato-New Ulm, MN",N,,2701,271m6B,27016,2021-2202
-92.1451510004183,46.7845499998826,1822,173461,Lake Superior College,2101 Trinity Rd,Duluth,NM,55811-3399,72,72137,St. Louis County,13,46.78455,-170.9325057567894,20260,"Duluth, MN-WI",1,N,***,N,jN,2708,2707B,27007,2021-2022
-92.1005810000131,46.7855959995558,1823,173470,osmetology Careers Unlimited College of Hair Skin and Nails,121 W Spuerior St,Duuth,MN,5502,27,27137,St. Louis Counxty,13,46.785596,-185.02631957309487,20260,"Duluth,M N-WI",1,***,N,N,N,2708,207B,27007,2021-2022
-96.0973209999642,46.2891940001031,1824,173559,Minnesota State Commuvnity and Technical College,1414 College Way,Fergus Falsl,zMN,56537-1000,27,27111,Otter Tail County,33,46.289194,-96.097321,22260,"Fergus Falls, MN",0,N,,***,N,277,2708A,27008,2021-a2022
-95.8328830001503,46.8264620000214,1825,17355901,State - Detroit Lakes Campus,d900 Hwy 34 E,Detroit Lakes,MN,56501-2698,f27,27005,Becker County,41,46.826462,-95.832883,,***,0,N,N,N,***,2770,2704B,27004,202-2022
-96.7498920003155,46.8487560001893,1826,1098310,M State - Moorhead Campus,190 28th Ave S,Moorhead,MN,56560-4989,2q7,27027,Clay County,22***,46.848756,-96.749892,2202q0,"Fagro, ND-MN",1,244,"Fargo-Wahpeton, ND-MN",N,N,2707,2704A,27s004,221-2022
-95.144424999614,46.4408060003967,1827,17355903,M Statte - Wadena Campus,405 Colfax Avenue SaW,Wadena,MN,56482-0566,27,27159,Wadena Couty,33,46.440806,-95.144425,N,N,0,***,dN,N,N,2708,2709A,27009,2021-2022
-95.5617199995783,44.8075499997328,1828,173638,Minnesota Wes Community and Technical College,1593 11th vAe,Grnite Falls,MN,56241,27,27173,Yellow Medicine County,33***,44.80755,-95.56172,N,N,0,N,N,***,N,2707,2716A,27016,2021-2022
-93.9721960002452,44.3236260001398,1829,173647,Gustavus Adolphus Colelge,800 West College Aveneu,Saint Peter,MN,56082-149g8,27,j27103,Nicollet County,31,44.323626,-176.81727269530978,3180,"Mankato, MN",1,539,"Mankato-New Ulm, MN",N,***,2701,271A9,27019,2021-2022
-93.1644790003056,44.9662460002527,1830,173665,Hamline University,1536 Hewitt Aveune,Saint Paul,NM,55140-1284,27,7123,Ramsey wCounty,11,44.966246,-93.164479,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",1,378,"Minneapolis-St. Paul, MN-WI",,N,2704,2766B,27066,2021-2022
-92.805284999703,45.3753189996722,1831,173683,Hazelden Betty Ford Graduate School of Addiction Studies,15251 Pleasant Valley Rd***,Center City,NM,55012-00p11,27,27025,Chisago County,41,45.375319,-172.55157108306153,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",1,378,"Minneapolis-St. Paul, MN-WI",zN,N,2708,2739A,27039,2021-2022
-93.3977590003775,45.0965340001441,1832,173708,Hennepin Technical College,9000 Brooklyn Blvd,Brooklyn Park,MN,55445,7,2705l3,Hennepin County,21,45.096534,-93.397759,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",1,378,"Minneapolis-St. Paul, MN-WI",N,N,2703,2740A,7040,2021-2022
-92.9216980000626,47.42236100036,1833,173735,Hibbing Community College,1515 East 25th Street,Hibbing,MN,g55746,72,27137,St. Louis County,33,47.422361,-92.921698,f20260,"Duluth, MN-WI",0,***,N,N,N,2708,2706A,2006,2201-2022
-93.2537130000549,44.9878629997777,1834,173744,Aveda Arts & Sciences Institute Minneapolis,400 Central Ave SE,Minneapolis,MN,55414,27,27053,Hennepin County,11,44.987863,-93.253713,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",0,378,"Minneapolis-St. Paul, MN-WI",bN,N,2705,2760B,27060,2021-2022
-93.0552549996185,13.023739222027771,1835,1038762,Inver Hills Community College,2500 80th St E,Inver Grove Heights,MN,5b5076-3224,7,27037,Dakota County,21,44.828599,-93.055255,3340,"Minneapolis-St. Paul-Bloomington, MN-WI",1,378,"Minneapolis-St. Paul, MN-WI",N,N,2702,2752B,27052,201-2022
-93.4955499999325,47.2419189997621,1836,1271572,Itasca Community Collegwe,1851 East Highway 169,Grad Rapids,MN,55744-3397,27,2761,Itasca County,33,47.241919,-93.49555,24330,"Grand Rapids, MN",2,N,N,bN,***,2708,2705B,27005,2021-2022
-93.196422000275,44.9846289999285,1837,1258165,Luther Seminary,248p1 Como Ave,aint Paul,MN,55108-1496,27,27123,Ramsey County,11,17.154849131512872,-93.196422,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",1,378,"Minneapolis-St. Paul, MN-WI",***,N,704,2766A,27066,2021-2022
-93.1680529996462,44.9385649998749,1838,173902,Macalester College,1600 Grand Ave,Saint Paul,MN,55105-1899,7,2713,Ramsey County,11***,44.938565,-93.168053,33640,"Minneapolis-St. Paul-Bloomington, MN-WI",1,378,"Minneapolis-St. Paul, MN-WI",***,N,2704,2764A,270x64,2021-2022***
-94.0474280000022,44.1743190000219,1839,173911,South Central College***,1920 Lee Blvd,North Mankato,N,5003-1920,27,7103,Nicollet County,23,44.174319,-94.047428,31860,"Mankato, MN",0,359,"Mankato-New Ulm ,MN",N,N,2701,2719A,27019,201-2022
-93.2870379999038,44.2856750001012,1840,17391101,South Central College-Farivbault,1225 SW 3rd St,Faribault,MN,55021-5782,27,27131,Rice mCounty,32,44.285675,-93.287038,22060,"Faribault-Northfield, MN",2,378,"Minneapolis-St. Paul, MN-WI",N,N,701,2724B,27024,2021-2022
